"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"1041",1998,4,6,29.328,-83.1645,0.9,19.6,0.1,"5.5",NA,NA,NA,7.5,"FWC"
"1042",1998,4,6,29.341833,-83.170167,0.6,19.6,6,"3.4",NA,NA,NA,7.1,"FWC"
"1043",1998,4,6,29.355667,-83.174333,0.3,21,2.3,"6.7",NA,NA,NA,7.6,"FWC"
"1044",1998,4,6,29.364833,-83.190667,0.4,22.4,9.2,"6",NA,NA,NA,7.6,"FWC"
"1045",1998,4,6,29.338667,-83.144333,0.9,22.2,0.1,"5.4",NA,NA,NA,7.2,"FWC"
"1046",1998,4,6,29.3255,-83.161667,0.4,21.8,0.1,"5.6",NA,NA,NA,7.6,"FWC"
"1047",1998,4,6,29.318167,-83.1625,0.4,20.8,0.1,"6",NA,NA,NA,7.6,"FWC"
"1048",1998,4,6,29.314667,-83.176333,0.3,22.8,0.4,"6",NA,NA,NA,7.5,"FWC"
"1049",1998,4,7,29.157333,-83.059667,0.6,21.4,13.2,"6.7",NA,NA,NA,7.7,"FWC"
"1050",1998,4,7,29.161667,-83.043333,0.5,21.9,18.7,"7",NA,NA,NA,7.9,"FWC"
"1051",1998,4,7,29.189667,-83.060667,0.5,21.9,10.2,"7.6",NA,NA,NA,8,"FWC"
"1052",1998,4,7,29.244833,-83.052333,0.5,22.9,3.2,"7.3",NA,NA,NA,8,"FWC"
"1053",1998,4,7,29.234667,-83.060667,0.4,23.6,1.8,"7.1",NA,NA,NA,8,"FWC"
"1054",1998,4,7,29.232667,-83.0635,0.3,24,3.8,"7.1",NA,NA,NA,7.9,"FWC"
"1055",1998,4,7,29.208167,-83.0855,0.6,23.9,15.8,"7.1",NA,NA,NA,7.9,"FWC"
"1056",1998,4,7,29.193833,-83.091667,0.4,23.4,19.1,"7.1",NA,NA,NA,7.9,"FWC"
"1057",1998,4,7,29.192,-83.077,0.3,24.1,11.7,"8.4",NA,NA,NA,8,"FWC"
"1058",1998,4,7,29.1725,-83.066667,0.2,24.7,14.7,"9.6",NA,NA,NA,8.2,"FWC"
"1059",1998,4,8,29.2735,-83.105167,0.5,21.9,0.2,"6.4",NA,NA,NA,7.4,"FWC"
"1060",1998,4,8,29.2695,-83.081667,0.4,22.5,0.7,"6.5",NA,NA,NA,7.7,"FWC"
"1061",1998,4,8,29.264667,-83.083833,0.5,22.6,0.7,"6.7",NA,NA,NA,7.7,"FWC"
"1062",1998,4,8,29.255333,-83.077333,0.5,22.7,0.9,"7.2",NA,NA,NA,7.8,"FWC"
"1063",1998,4,8,29.257,-83.075667,0.5,22.8,1.1,"7.2",NA,NA,NA,7.9,"FWC"
"1064",1998,4,8,29.2415,-83.077667,1,23,8.1,"7",NA,NA,NA,7.8,"FWC"
"1065",1998,4,13,29.126833,-83.051167,1.1,18.9,14.5,"7.3",NA,NA,NA,8,"FWC"
"1066",1998,4,13,29.210333,-83.086833,0.4,19.2,7.8,"7.8",NA,NA,NA,8,"FWC"
"1067",1998,4,13,29.138167,-83.041167,0.5,20.2,14.5,"8",NA,NA,NA,8.1,"FWC"
"1068",1998,4,13,29.097333,-83.027833,0.6,21,21.9,"8",NA,NA,NA,8.1,"FWC"
"1069",1998,4,13,29.095667,-83.063167,0.6,21.8,21.8,"8.7",NA,NA,NA,8.3,"FWC"
"1070",1998,4,13,29.100333,-83.076167,0.6,21.7,22.8,"8.8",NA,NA,NA,8.3,"FWC"
"1071",1998,4,15,29.136667,-83.028333,0.5,20.9,17.3,"7.3",NA,NA,NA,7.9,"FWC"
"1072",1998,4,15,29.122,-83.084833,0.3,22.2,22.1,"8.9",NA,NA,NA,8.3,"FWC"
"1073",1998,4,15,29.223167,-83.087,0.6,22.1,15.7,"8.2",NA,NA,NA,8.2,"FWC"
"1074",1998,4,15,29.096167,-83.0695,0.4,23.2,23.4,"9",NA,NA,NA,8.3,"FWC"
"1075",1998,4,15,29.097833,-83.029667,0.6,23.1,23.4,"8.9",NA,NA,NA,8.3,"FWC"
"1076",1998,4,20,29.2085,-83.120167,0.4,21.6,12.9,"6.8",NA,NA,NA,7.9,"FWC"
