"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"1201",1998,8,4,29.1265,-83.033833,0.6,28.7,30,"5.3",NA,NA,NA,7.8,"FWC"
"1202",1998,8,4,29.101667,-83.060833,0.4,29,29.8,"6.2",NA,NA,NA,7.8,"FWC"
"1203",1998,8,4,29.127167,-83.0865,0.6,28.9,30.9,"5.2",NA,NA,NA,7.8,"FWC"
"1204",1998,8,6,29.155833,-83.059167,0.5,28.9,27.9,"6.8",NA,NA,NA,8.3,"FWC"
"1205",1998,8,6,29.183167,-83.0535,0.6,30.1,25.9,"8",NA,NA,NA,8.5,"FWC"
"1206",1998,8,6,29.1575,-83.0675,0.6,31,28.5,"8.8",NA,NA,NA,8.6,"FWC"
"1207",1998,8,10,29.082,-83.011667,0.3,29.1,28.1,"4.2",NA,NA,NA,8.2,"FWC"
"1208",1998,8,10,29.076333,-82.997667,0.3,28.9,27.9,"4.5",NA,NA,NA,8.3,"FWC"
"1209",1998,8,10,29.084333,-83.007167,0.3,29.5,27.9,"6.5",NA,NA,NA,8.5,"FWC"
"1210",1998,8,10,29.122833,-82.979167,0.3,29.7,24.7,"6.2",NA,NA,NA,8.5,"FWC"
"1211",1998,8,10,29.102,-83.061167,0.2,30.9,26.8,"7.6",NA,NA,NA,8.6,"FWC"
"1212",1998,8,10,29.141333,-83.014667,0.2,33.7,24.8,"11.9",NA,NA,NA,8.9,"FWC"
"1213",1998,8,10,29.157667,-83.006333,0.3,31.5,24.9,"8.5",NA,NA,NA,8.7,"FWC"
"1214",1998,8,11,29.21,-83.086667,0.3,30,25.2,"5.3",NA,NA,NA,8.6,"FWC"
"1215",1998,8,11,29.170833,-83.104333,0.3,30.8,28.4,"5.2",NA,NA,NA,8.6,"FWC"
"1216",1998,8,11,29.1955,-83.127667,0.5,30.5,23.4,"7.4",NA,NA,NA,8.8,"FWC"
"1217",1998,8,11,29.269167,-83.095833,0.3,29.2,4.5,"5.5",NA,NA,NA,8.2,"FWC"
"1218",1998,8,11,29.286667,-83.101333,0.9,29.3,2.2,"4.7",NA,NA,NA,8.1,"FWC"
"1219",1998,8,11,29.2505,-83.0725,0.2,33.2,14.7,"11.2",NA,NA,NA,8.6,"FWC"
"1220",1998,8,11,29.253667,-83.0755,0.3,33.2,14.7,"11.2",NA,NA,NA,8,"FWC"
"1221",1998,8,11,29.256667,-83.0775,0.6,32.3,13.1,"13",NA,NA,NA,9,"FWC"
"1222",1998,8,11,29.198667,-83.070833,0.6,32.1,26.9,"7.2",NA,NA,NA,8.8,"FWC"
"1223",1998,8,12,29.3085,-83.174,0.4,29.6,9.1,"5.4",NA,NA,NA,8.3,"FWC"
"1224",1998,8,12,29.319167,-83.200167,0.5,30.6,17,"5.4",NA,NA,NA,8.4,"FWC"
"1225",1998,8,12,29.2895,-83.1885,0.5,31,21,"6",NA,NA,NA,8.6,"FWC"
"1226",1998,8,12,29.266167,-83.188333,0.6,31.5,22.7,"7.6",NA,NA,NA,8.7,"FWC"
"1227",1998,8,12,29.249333,-83.174833,0.2,32.5,21.7,"9.6",NA,NA,NA,8.9,"FWC"
"1228",1998,8,12,29.286833,-83.164,0.2,30.2,0.4,"7",NA,NA,NA,8.7,"FWC"
"1229",1998,8,12,29.291167,-83.167833,0.3,33.1,10.8,"8",NA,NA,NA,8.6,"FWC"
"1230",1998,8,17,29.290667,-83.074,0.5,30.8,3.2,"7.3",NA,NA,NA,8.8,"FWC"
"1231",1998,8,17,29.274,-83.116167,0.4,30.1,7.4,"5.5",NA,NA,NA,8.5,"FWC"
"1232",1998,8,17,29.2795,-83.124833,0.5,31.5,9.6,"4.4",NA,NA,NA,8.5,"FWC"
"1233",1998,8,17,29.290333,-83.118333,0.7,30.9,6.9,"5.3",NA,NA,NA,8.6,"FWC"
"1234",1998,8,17,29.295333,-83.150833,0.8,29.7,1.3,"6.1",NA,NA,NA,8.7,"FWC"
"1235",1998,8,17,29.317667,-83.159,0.5,30.1,1.4,"6",NA,NA,NA,8.6,"FWC"
"1236",1998,8,17,29.350667,-83.187333,0.5,32.2,16.6,"8.3",NA,NA,NA,8.9,"FWC"
"1237",1998,8,19,29.240167,-83.054667,0.3,28,13.8,"3.1",NA,NA,NA,8.2,"FWC"
"1238",1998,8,19,29.197167,-83.059167,0.3,28.5,22.7,"3.7",NA,NA,NA,8.5,"FWC"
"1239",1998,8,19,29.1735,-83.041333,0.5,29,24.5,"4.8",NA,NA,NA,8.6,"FWC"
"1240",1998,8,19,29.170667,-83.033833,0.5,29.4,25.9,"4.1",NA,NA,NA,8.7,"FWC"
"23452",1998,8,25,29.34633333,-83.174,0.2,NA,NA,NA,30.8,13.4,NA,8.1,"FDACS"
"23453",1998,8,25,29.355,-83.17333333,0.2,NA,NA,NA,29.4,13.1,NA,7.5,"FDACS"
