"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"11364",2012,2,1,29.0945,-83.068133,1,16.4,32.5,"7.8",16.5,32.4,8.2,8,"FWC"
"11365",2012,2,1,29.09665,-83.062366,0.4,15.8,32.3,"6.6",15.8,32.3,7.1,7.9,"FWC"
"11366",2012,2,1,29.096966,-83.0354,0.4,16.3,32.7,"8",16.3,32.7,8,8.1,"FWC"
"11367",2012,2,1,29.119283,-83.02925,0.7,16.5,32.2,"7.9",16.5,32.2,8.1,8,"FWC"
"11368",2012,2,1,29.154533,-82.9859,0.4,16.6,30.6,"8.3",16.5,30.6,8.4,8.1,"FWC"
"11369",2012,2,1,29.153366,-82.991183,1.5,16.3,30.7,"8",16.3,30.7,8,8,"FWC"
"11370",2012,2,1,29.163616,-83.001583,1,16.6,30.6,"8.3",16.6,30.5,8.8,8.2,"FWC"
"11371",2012,2,1,29.154466,-83.017266,0.7,17.1,31.2,"7.9",17.2,31.2,8.8,8,"FWC"
"11372",2012,2,2,29.19555,-83.08495,0.7,17.1,29.2,"7.5",17.1,29.2,7.5,8,"FWC"
"11373",2012,2,2,29.206166,-83.086983,0.8,17,29.3,"7.8",17,29.1,7.7,8,"FWC"
"11374",2012,2,2,29.22115,-83.088766,0.8,16.9,28.7,"7.9",16.9,28.7,7.9,8.1,"FWC"
"11375",2012,2,2,29.239916,-83.082016,0.7,17.1,26.5,"8.1",17.2,26.1,8.1,8.1,"FWC"
"11376",2012,2,2,29.2605,-83.070683,0.2,17.4,13.7,"6.9",NA,NA,NA,7.7,"FWC"
"11377",2012,2,3,29.10195,-83.062683,0.6,17.5,32.1,"7.5",17.6,32.1,7.7,8,"FWC"
"11378",2012,2,3,29.10115,-83.0754,0.4,17.6,32.4,"6.7",17.6,32.4,6.7,7.9,"FWC"
"11379",2012,2,3,29.123383,-83.090183,0.2,18.2,32.4,"7.4",NA,NA,NA,8,"FWC"
"11380",2012,2,3,29.12485,-83.089233,0.7,17.9,32.5,"7.7",17.9,32.5,7.9,8,"FWC"
"11381",2012,2,3,29.232616,-83.065033,1.6,19.3,25.9,"8.1",19.3,24.7,8,8,"FWC"
"11382",2012,2,3,29.201216,-83.065816,0.2,20.6,28.6,"8",NA,NA,NA,8,"FWC"
"11383",2012,2,4,29.12415,-82.966166,2,19.4,30.3,"7.7",19.4,30.3,8,8,"FWC"
"11384",2012,2,4,29.11295,-83.023883,3.3,19.2,31.9,"8.1",19.4,31.8,8.5,7.9,"FWC"
"11385",2012,2,4,29.089433,-83.002633,2,19.4,33.1,"8.1",19.4,33.1,8.7,8.1,"FWC"
"11386",2012,2,4,29.094233,-83.0291,0.5,19.4,32.9,"8",19.4,32.9,8.3,8.1,"FWC"
"11387",2012,2,4,29.09735,-83.028416,0.4,20.2,32.8,"8.4",20.3,32.8,8.3,8.1,"FWC"
"11388",2012,2,4,29.097266,-83.034866,0.5,19.7,32.9,"8.1",19.7,32.9,8.1,8.1,"FWC"
"11389",2012,2,4,29.055333,-82.97045,3.2,18.8,34.3,"7.9",18.9,34.3,8.1,8.1,"FWC"
"11390",2012,2,4,29.121633,-83.150083,5.1,18.2,34.6,"8.1",19.1,34.6,8.1,8.1,"FWC"
"11391",2012,2,4,29.145766,-83.070933,0.6,20.8,32.3,"8.5",21.7,31.9,8.4,8.1,"FWC"
"11392",2012,2,4,29.147133,-83.064766,0.4,20.7,32,"8.1",20.7,32,8.2,8.1,"FWC"
"11393",2012,2,5,29.146866,-83.073333,1.3,11.7,27.6,"10.5",11.6,27.9,10.4,8.2,"FWC"
"11394",2012,2,5,29.155,-83.06475,1.5,11.8,26.8,"10.9",11.8,26.5,10.8,8.2,"FWC"
