"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"11298",2012,1,1,29.12565,-83.015366,1.7,9,26.5,"10.5",9.7,25.4,11.6,8.1,"FWC"
"11299",2012,1,1,29.135333,-82.99555,2.1,10.1,27.3,"10.3",10.1,25.3,11.1,8.1,"FWC"
"11300",2012,1,1,29.113083,-82.9733,2.2,10.3,30.1,"10.1",9.8,27.9,11.9,8.1,"FWC"
"11301",2012,1,1,29.0714,-82.954533,2.4,12.1,33.1,"9.2",12.1,33.1,10,8.1,"FWC"
"11302",2012,1,1,29.032983,-83.013933,4.4,13.5,33.5,"8.8",12.9,32.8,9.5,8.1,"FWC"
"11303",2012,1,1,29.08295,-83.0704,0.4,10.9,28.4,"10.6",10.9,28.4,10.6,8.2,"FWC"
"11304",2012,1,1,29.096116,-83.075316,0.7,11.4,29.4,"10.5",11.1,28.7,11,8.2,"FWC"
"11305",2012,1,1,29.113816,-83.050633,0.7,10.7,26.1,"10.8",10.6,24.8,10.9,8.2,"FWC"
"11306",2012,1,2,29.12585,-83.070383,0.9,11,28,"11.4",10.9,27.9,12.3,8,"FWC"
"11307",2012,1,2,29.155916,-83.093033,0.8,11.8,29.3,"11.5",11.9,29.2,11.6,7.9,"FWC"
"11308",2012,1,2,29.180433,-83.068683,0.5,10.8,24.6,"12.2",10.9,24.6,12.3,8,"FWC"
"11309",2012,1,2,29.156866,-83.06745,0.3,10.9,25.5,"13",11,25.2,13,8,"FWC"
"11310",2012,1,2,29.131266,-83.0921,0.5,11.2,27.8,"11.4",11.1,27.6,11.5,7.9,"FWC"
"11311",2012,1,2,29.102833,-83.0705,0.5,10.7,27.9,"12.1",10.7,27.7,12.2,7.9,"FWC"
"11312",2012,1,2,29.101883,-83.061266,0.6,11.2,27.8,"12",11.1,27.7,12.1,8,"FWC"
"11313",2012,1,2,29.096733,-83.03505,0.5,13.6,29.3,"12.6",13.6,29.3,12.5,8,"FWC"
"11314",2012,1,3,29.1403,-83.014583,0.2,11.8,27.1,"11.1",NA,NA,NA,8,"FWC"
"11315",2012,1,3,29.141583,-83.014883,0.7,12,27.1,"12.1",12.1,27.2,12.5,8,"FWC"
"11316",2012,1,3,29.155466,-83.0123,1.2,12.5,27,"12.2",12.7,26.9,12.1,8.1,"FWC"
"11317",2012,1,3,29.155883,-83.01185,0.2,13.2,26.9,"11.9",NA,NA,NA,8.1,"FWC"
"11318",2012,1,3,29.169033,-82.959416,0.5,12.7,29.4,"10.5",12.7,29.4,10.9,8,"FWC"
"11319",2012,1,3,29.17,-82.998016,0.5,13.3,28.6,"10.8",13.2,28.6,10.9,8,"FWC"
"11320",2012,1,3,29.153316,-82.992466,0.7,12.7,27.3,"11.2",12.7,27.2,11.7,8,"FWC"
"11321",2012,1,3,29.137966,-83.0265,0.6,12.6,27.9,"11.2",12.7,27.9,11.9,8,"FWC"
"11322",2012,1,4,29.262516,-83.184866,0.4,14.7,30.1,"12.5",14.7,30.1,12.9,7.9,"FWC"
