"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"1161",1998,7,8,29.0995,-83.066,0.5,30.4,28.7,"3.3",NA,NA,NA,8.3,"FWC"
"1162",1998,7,8,29.097667,-83.061333,0.3,29.7,28.7,"3.8",NA,NA,NA,8.2,"FWC"
"1163",1998,7,8,29.127167,-83.0535,0.4,31.5,25.8,"5.2",NA,NA,NA,8.4,"FWC"
"1164",1998,7,8,29.129667,-83.069833,0.2,31.8,27.6,"5.5",NA,NA,NA,8.5,"FWC"
"1165",1998,7,8,29.155667,-83.067833,0.3,32.3,23.7,"6.5",NA,NA,NA,8.5,"FWC"
"1166",1998,7,8,29.172667,-83.061167,0.2,32.8,20.1,"5.9",NA,NA,NA,8.4,"FWC"
"1167",1998,7,9,29.1315,-83.069,0.8,30.4,28.7,"5",NA,NA,NA,8.5,"FWC"
"1168",1998,7,9,29.147,-83.073,0.5,30.8,22.9,"5.5",NA,NA,NA,8.4,"FWC"
"1169",1998,7,9,29.174333,-83.041,0.3,30.4,20.4,"6",NA,NA,NA,8.4,"FWC"
"1170",1998,7,9,29.185667,-83.0615,0.6,31.1,22.3,"7.2",NA,NA,NA,8.6,"FWC"
"1171",1998,7,9,29.123833,-83.09,0.8,31.4,30.2,"7.1",NA,NA,NA,8.7,"FWC"
"1172",1998,7,9,29.0965,-83.0705,0.5,32.4,29.7,"9",NA,NA,NA,8.8,"FWC"
"1173",1998,7,13,29.262333,-83.0835,0.4,28.7,3.6,"5.2",NA,NA,NA,8.5,"FWC"
"1174",1998,7,13,29.2375,-83.080833,0.5,30.1,13.6,"6.5",NA,NA,NA,8.7,"FWC"
"1175",1998,7,13,29.2375,-83.097167,0.3,30.1,9.4,"6.2",NA,NA,NA,8.7,"FWC"
"1176",1998,7,13,29.197667,-83.093667,0.4,30.8,15.5,"7.4",NA,NA,NA,8.9,"FWC"
"1177",1998,7,13,29.1945,-83.082667,0.6,31.6,15,"7.4",NA,NA,NA,8.9,"FWC"
"1178",1998,7,13,29.190167,-83.0855,0.5,32.2,17.1,"7.9",NA,NA,NA,9,"FWC"
"1179",1998,7,14,29.325,-83.158167,0.4,28.3,4.8,"5.1",NA,NA,NA,8.3,"FWC"
"1180",1998,7,14,29.365833,-83.1925,0.3,30.1,26.4,"5.4",NA,NA,NA,8.2,"FWC"
"1181",1998,7,14,29.270833,-83.1775,0.6,31.2,17.2,"7.6",NA,NA,NA,8.7,"FWC"
"1182",1998,7,14,29.257333,-83.168167,0.5,31.9,21.6,"9.6",NA,NA,NA,8.9,"FWC"
"1183",1998,7,16,29.143167,-82.983167,0.6,28.8,26.3,"5.4",NA,NA,NA,8.6,"FWC"
"1184",1998,7,16,29.144167,-83.005833,0.5,29,26.7,"5.4",NA,NA,NA,8.7,"FWC"
"1185",1998,7,20,29.098167,-83.084667,0.5,29.5,31.4,"4.1",NA,NA,NA,8.7,"FWC"
"1186",1998,7,20,29.0935,-83.025833,0.6,29.4,30.1,"4.1",NA,NA,NA,8.8,"FWC"
"1187",1998,7,20,29.151167,-82.9905,0.3,29.9,27.5,"5.5",NA,NA,NA,8.8,"FWC"
"1188",1998,7,20,29.218333,-83.063667,0.5,30.6,20.2,"5.9",NA,NA,NA,8.8,"FWC"
"1189",1998,7,21,29.3565,-83.159833,0.4,29.1,13.5,"4",NA,NA,NA,8.2,"FWC"
"1190",1998,7,21,29.338833,-83.159833,0.6,30.2,16.1,"4.8",NA,NA,NA,8.8,"FWC"
"1191",1998,7,21,29.336167,-83.147,0.6,28.5,1.4,"6.7",NA,NA,NA,8.9,"FWC"
"1192",1998,7,21,29.296167,-83.153833,0.6,28.2,1.3,"7.2",NA,NA,NA,9,"FWC"
