"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"1001",1998,3,16,29.245,-83.162667,0.5,15,5.6,"7.9",NA,NA,NA,7.3,"FWC"
"1002",1998,3,16,29.279,-83.184167,0.5,15,1.5,"7.3",NA,NA,NA,7.2,"FWC"
"1003",1998,3,16,29.2765,-83.157167,0.4,15.8,0,"7.3",NA,NA,NA,7.5,"FWC"
"1004",1998,3,16,29.289333,-83.148,0.6,17.3,0,"7.4",NA,NA,NA,7.4,"FWC"
"1005",1998,3,16,29.311667,-83.171333,0.6,17.1,0,"7.2",NA,NA,NA,7.6,"FWC"
"1006",1998,3,16,29.3655,-83.202333,0.7,18.9,11.3,"8.6",NA,NA,NA,7.9,"FWC"
"1007",1998,3,16,29.329833,-83.176,0.5,17.2,16.5,"7.9",NA,NA,NA,7.9,"FWC"
"1008",1998,3,17,29.165667,-83.104167,0.4,17,23.6,"8.3",NA,NA,NA,8.2,"FWC"
"1009",1998,3,17,29.205667,-83.0885,0.5,17.4,18.9,"8",NA,NA,NA,8.1,"FWC"
"1010",1998,3,17,29.187,-83.072833,0.2,17.4,18.9,"8",NA,NA,NA,8.1,"FWC"
"1011",1998,3,17,29.124667,-83.088667,0.9,17.7,24.4,"8.7",NA,NA,NA,8.3,"FWC"
"1012",1998,3,17,29.1275,-83.051,0.9,17.4,22.8,"8.6",NA,NA,NA,8.3,"FWC"
"1013",1998,3,17,29.0975,-83.0725,0.6,18.7,24,"9",NA,NA,NA,8.3,"FWC"
"1014",1998,3,18,29.147333,-83.073667,0.3,18.2,22.3,"8.2",NA,NA,NA,8.2,"FWC"
"1015",1998,3,18,29.155167,-83.0645,0.4,19.2,18.1,"8",NA,NA,NA,8.2,"FWC"
"1016",1998,3,18,29.223833,-83.086,0.5,20.5,19.4,"8.9",NA,NA,NA,8.2,"FWC"
"1017",1998,3,18,29.141667,-83.015,0.8,18.5,16.3,"8.4",NA,NA,NA,8.3,"FWC"
"1018",1998,3,18,29.155833,-83.01,0.8,20,14.7,"8.8",NA,NA,NA,8.4,"FWC"
"1019",1998,3,18,29.140333,-83.0225,0.3,19.1,16.9,"8.1",NA,NA,NA,8.3,"FWC"
"1020",1998,3,20,29.165667,-83.047,0.5,18.4,14.9,"7.1",NA,NA,NA,8.1,"FWC"
"1021",1998,3,20,29.179,-82.994833,0.3,19.3,10.3,"7.5",NA,NA,NA,8.3,"FWC"
"1022",1998,3,20,29.170667,-82.973833,0.4,19.5,11.6,"7.9",NA,NA,NA,8.3,"FWC"
