"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"1081",1998,5,5,29.128333,-83.0495,1.3,22.5,20.1,"6.6",NA,NA,NA,8.6,"FWC"
"1082",1998,5,5,29.0955,-83.064,0.4,22.4,23.7,"6.4",NA,NA,NA,8.6,"FWC"
"1083",1998,5,5,29.096333,-83.070333,0.5,23,23.8,"7",NA,NA,NA,8.7,"FWC"
"1084",1998,5,5,29.171,-83.039167,0.4,24.3,14.4,"8.6",NA,NA,NA,8.8,"FWC"
"1085",1998,5,5,29.164667,-83.039333,0.4,24.1,16.4,"7.9",NA,NA,NA,8.7,"FWC"
"1086",1998,5,5,29.147,-83.0735,0.5,25.5,18.4,"8.6",NA,NA,NA,8.8,"FWC"
"1087",1998,5,5,29.132167,-83.069,0.4,24.3,19.9,"8.2",NA,NA,NA,8.8,"FWC"
"1088",1998,5,6,29.288333,-83.1435,0.6,21.7,0.2,"6.8",NA,NA,NA,8.3,"FWC"
"1089",1998,5,6,29.29,-83.145333,0.6,21.7,0.2,"6.8",NA,NA,NA,8.3,"FWC"
"1090",1998,5,6,29.296333,-83.154,0.5,22.1,0.2,"6.7",NA,NA,NA,8.3,"FWC"
"1091",1998,5,6,29.3285,-83.1685,0.8,24.4,0.3,"8.3",NA,NA,NA,8.6,"FWC"
"1092",1998,5,6,29.359,-83.188,0.5,25.4,2.4,"10.3",NA,NA,NA,9.1,"FWC"
"1093",1998,5,6,29.361,-83.185,0.3,26,2,"11.6",NA,NA,NA,9.2,"FWC"
"1094",1998,5,6,29.363667,-83.179667,0.3,27.4,3.5,"11",NA,NA,NA,9,"FWC"
"1095",1998,5,6,29.348167,-83.182333,0.3,28.2,2.4,"12.8",NA,NA,NA,9.4,"FWC"
"1096",1998,5,6,29.324167,-83.162333,0.4,25.4,0.4,"7.7",NA,NA,NA,8.4,"FWC"
"1097",1998,5,7,29.195333,-83.069333,0.5,25.4,11.7,"7.7",NA,NA,NA,8.8,"FWC"
"1098",1998,5,7,29.2325,-83.065,1.1,26.1,7.9,"7.3",NA,NA,NA,8.7,"FWC"
"1099",1998,5,7,29.239333,-83.055,0.6,26.4,4.6,"6.8",NA,NA,NA,8.6,"FWC"
"1100",1998,5,7,29.225333,-83.073167,0.5,27.3,8.1,"9.4",NA,NA,NA,8.9,"FWC"
"1101",1998,5,7,29.197,-83.066167,0.5,27.2,11.4,"7.6",NA,NA,NA,8.6,"FWC"
"1102",1998,5,7,29.170333,-83.059333,0.3,28,14,"7.1",NA,NA,NA,8.7,"FWC"
"1103",1998,5,12,29.074333,-83.024,0.6,25.1,25.4,"6.4",NA,NA,NA,8.8,"FWC"
"1104",1998,5,12,29.0915,-83.087667,0.4,25.5,23.5,"6.2",NA,NA,NA,8.6,"FWC"
"1105",1998,5,12,29.085167,-83.075833,0.6,25.3,18.7,"7.7",NA,NA,NA,8.9,"FWC"
"1106",1998,5,12,29.100667,-83.076333,0.4,26.2,16.6,"8.3",NA,NA,NA,9,"FWC"
"1107",1998,5,12,29.129167,-83.091667,0.3,26.7,11.4,"8.5",NA,NA,NA,8.9,"FWC"
"1108",1998,5,12,29.173833,-82.998667,0.4,26.9,19.9,"7.6",NA,NA,NA,8.6,"FWC"
"1109",1998,5,13,29.318667,-83.2005,1.6,26.3,16.7,"6.4",24.7,5,7.2,8.9,"FWC"
"1110",1998,5,13,29.318333,-83.192833,0.4,24.5,2.3,"6.6",NA,NA,NA,8.7,"FWC"
"1111",1998,5,13,29.268,-83.182167,0.6,24.9,2.1,"7.5",NA,NA,NA,8.9,"FWC"
"1112",1998,5,13,29.2855,-83.103333,0.3,26.6,0.3,"6.2",NA,NA,NA,8.6,"FWC"
"1113",1998,5,13,29.274833,-83.114167,0.6,23.7,0.2,"5.7",NA,NA,NA,8.7,"FWC"
"1114",1998,5,13,29.306167,-83.172667,0.3,25.5,0.2,"7.9",NA,NA,NA,8.8,"FWC"
"1115",1998,5,13,29.311333,-83.160167,0.6,25.4,0.2,"7.6",NA,NA,NA,8.8,"FWC"
"1116",1998,5,13,29.362,-83.155667,0.5,26.8,3.8,"5.6",NA,NA,NA,8.4,"FWC"
"1117",1998,5,13,29.339833,-83.159667,0.5,27.7,1.6,"10.4",NA,NA,NA,9.2,"FWC"
"1118",1998,5,18,29.229833,-83.141167,0.5,27.2,14.7,"6.9",NA,NA,NA,9,"FWC"
"1119",1998,5,18,29.175667,-83.1135,0.5,27.9,14.5,"7.5",NA,NA,NA,9.1,"FWC"
"1120",1998,5,18,29.163833,-83.030167,0.3,29.7,18,"8.7",NA,NA,NA,9,"FWC"
"23277",1998,5,14,29.3085,-83.16416667,NA,NA,NA,NA,NA,NA,NA,7.8,"FDACS"
"23278",1998,5,14,29.31516667,-83.16333333,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23279",1998,5,14,29.3285,-83.15416667,NA,NA,NA,NA,NA,NA,NA,7.6,"FDACS"
"23280",1998,5,14,29.34633333,-83.174,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23281",1998,5,14,29.3235,-83.157,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23282",1998,5,14,29.355,-83.17333333,NA,NA,NA,NA,NA,NA,NA,7.6,"FDACS"
"23283",1998,5,14,29.1665,-83.0315,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23284",1998,5,14,29.362,-83.1815,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23285",1998,5,14,29.34933333,-83.21066667,NA,NA,NA,NA,NA,NA,NA,8,"FDACS"
"23286",1998,5,14,29.36133333,-83.213,NA,NA,NA,NA,NA,NA,NA,7.8,"FDACS"
"23287",1998,5,14,29.3445,-83.19233333,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23288",1998,5,14,29.13683333,-83.03066667,NA,NA,NA,NA,NA,NA,NA,8.1,"FDACS"
"23289",1998,5,14,29.34333333,-83.192,NA,NA,NA,NA,NA,NA,NA,8.2,"FDACS"
"23290",1998,5,14,29.32,-83.19166667,NA,NA,NA,NA,NA,NA,NA,8.2,"FDACS"
"23291",1998,5,14,29.31866667,-83.19866667,NA,NA,NA,NA,NA,NA,NA,7.9,"FDACS"
"23292",1998,5,14,29.31016667,-83.19933333,NA,NA,NA,NA,NA,NA,NA,7.9,"FDACS"
"23293",1998,5,14,29.305,-83.17633333,NA,NA,NA,NA,NA,NA,NA,8.4,"FDACS"
"23294",1998,5,14,29.2635,-83.171,NA,NA,NA,NA,NA,NA,NA,7.8,"FDACS"
"23295",1998,5,14,29.25483333,-83.14583333,NA,NA,NA,NA,NA,NA,NA,8.1,"FDACS"
"23296",1998,5,14,29.16333333,-83.04666667,NA,NA,NA,NA,NA,NA,NA,8.1,"FDACS"
"23297",1998,5,14,29.24816667,-83.15416667,NA,NA,NA,NA,NA,NA,NA,8,"FDACS"
"23298",1998,5,14,29.258,-83.11283333,NA,NA,NA,NA,NA,NA,NA,8.4,"FDACS"
"23299",1998,5,14,29.25666667,-83.1,NA,NA,NA,NA,NA,NA,NA,8.4,"FDACS"
"23300",1998,5,14,29.243,-83.0945,NA,NA,NA,NA,NA,NA,NA,8.5,"FDACS"
"23301",1998,5,14,29.279,-83.0885,NA,NA,NA,NA,NA,NA,NA,8.5,"FDACS"
"23302",1998,5,14,29.23116667,-83.0855,NA,NA,NA,NA,NA,NA,NA,8.1,"FDACS"
"23303",1998,5,14,29.24483333,-83.074,NA,NA,NA,NA,NA,NA,NA,8.4,"FDACS"
