"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"23249",1998,4,23,29.249,-83.1705,0.3,20.5,12.5,"7.9",20.5,12.5,8,7.8,"FDACS"
"23250",1998,4,23,29.24033333,-83.16333333,0.3,21,15.1,"7.6",21,15.1,7.8,7.8,"FDACS"
"23251",1998,4,23,29.3615,-83.18983333,0.3,17.3,3.6,"8.9",17.4,3.5,8.8,8,"FDACS"
"23252",1998,4,23,29.25633333,-83.07833333,0.3,19.5,1,"8.6",19.5,0.9,8.7,8.1,"FDACS"
"23253",1998,4,23,29.23733333,-83.08233333,0.3,19.3,2,"8.5",19.3,1.8,8.7,8,"FDACS"
"23254",1998,4,23,29.2745,-83.17333333,0.3,19.2,8.6,"8.2",19.2,8.5,8.4,7.7,"FDACS"
"23255",1998,4,23,29.2245,-83.0795,0.3,19.5,3.3,"8.7",19.5,3,9.1,8.1,"FDACS"
"23256",1998,4,23,29.2245,-83.07983333,0.3,19.5,3.3,"8.7",19.5,3,9.1,8.1,"FDACS"
"23257",1998,4,23,29.34933333,-83.21066667,0.4,19.5,7,"8.5",19.5,7,8.6,8.1,"FDACS"
"23258",1998,4,23,29.32,-83.19166667,0.4,19.2,5.1,"8.5",19.1,4.2,8.6,8,"FDACS"
"23259",1998,4,23,29.31866667,-83.19866667,0.4,20.3,16.2,"8.4",19.8,9.1,8.8,8,"FDACS"
"23260",1998,4,23,29.24816667,-83.15416667,0.4,19.8,12.8,"8.1",19.6,9.6,8.5,7.8,"FDACS"
"23261",1998,4,23,29.243,-83.0945,0.4,19.1,0.2,"8.8",19.1,0.2,8.9,8.2,"FDACS"
"23262",1998,4,23,29.25366667,-83.10166667,0.4,18.7,0.2,"8.8",18.7,0.2,8.9,8.2,"FDACS"
"23263",1998,4,23,29.2965,-83.19033333,0.4,19.5,11.2,"8.1",19.5,8.3,8.5,8.1,"FDACS"
"23264",1998,4,23,29.23133333,-83.12866667,0.4,19.8,13.6,"7.8",19.6,4.5,8.4,7.8,"FDACS"
"23265",1998,4,23,29.36133333,-83.213,0.5,19.6,9.7,"8.5",19.6,9.8,8.5,7.9,"FDACS"
"23266",1998,4,23,29.13683333,-83.03066667,0.5,20,12.5,"8.3",19.6,9.1,8.6,8,"FDACS"
"23267",1998,4,23,29.25483333,-83.14583333,0.5,19.3,4.8,"8.2",19.3,4.3,8.3,7.8,"FDACS"
"23268",1998,4,23,29.16333333,-83.04666667,0.5,19.3,4.8,"8.2",19.3,4.3,8.3,7.8,"FDACS"
"23269",1998,4,23,29.258,-83.11283333,0.5,19.7,4.8,"7",19.6,0.8,7.5,8,"FDACS"
"23270",1998,4,23,29.24483333,-83.074,0.5,19.7,1.1,"8.7",19.6,1,8.8,8.1,"FDACS"
"23271",1998,4,23,29.21833333,-83.12,0.5,19.7,13.5,"7.9",19.4,4.8,8.1,7.8,"FDACS"
"23272",1998,4,23,29.2635,-83.171,0.6,19.9,10.1,"8",19.6,9.9,8.2,7.8,"FDACS"
"23273",1998,4,23,29.26833333,-83.13233333,0.6,19.8,11.7,"7.2",19.5,4,7.8,7.8,"FDACS"
"23274",1998,4,23,29.31016667,-83.19933333,0.8,20.3,15.8,"8.2",19.9,9.5,8.7,8,"FDACS"
"23275",1998,4,23,29.2875,-83.1655,0.9,20.4,0.1,"6",20.4,0.1,6.2,8.1,"FDACS"
"23276",1998,4,23,29.279,-83.0885,1.2,20.5,0.1,"6.2",20.6,0.1,6.3,8.1,"FDACS"
"23277",1998,5,14,29.3085,-83.16416667,NA,NA,NA,NA,NA,NA,NA,7.8,"FDACS"
"23278",1998,5,14,29.31516667,-83.16333333,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23279",1998,5,14,29.3285,-83.15416667,NA,NA,NA,NA,NA,NA,NA,7.6,"FDACS"
"23280",1998,5,14,29.34633333,-83.174,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23281",1998,5,14,29.3235,-83.157,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23282",1998,5,14,29.355,-83.17333333,NA,NA,NA,NA,NA,NA,NA,7.6,"FDACS"
"23283",1998,5,14,29.1665,-83.0315,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23284",1998,5,14,29.362,-83.1815,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23285",1998,5,14,29.34933333,-83.21066667,NA,NA,NA,NA,NA,NA,NA,8,"FDACS"
"23286",1998,5,14,29.36133333,-83.213,NA,NA,NA,NA,NA,NA,NA,7.8,"FDACS"
"23287",1998,5,14,29.3445,-83.19233333,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23288",1998,5,14,29.13683333,-83.03066667,NA,NA,NA,NA,NA,NA,NA,8.1,"FDACS"
"23289",1998,5,14,29.34333333,-83.192,NA,NA,NA,NA,NA,NA,NA,8.2,"FDACS"
"23290",1998,5,14,29.32,-83.19166667,NA,NA,NA,NA,NA,NA,NA,8.2,"FDACS"
"23291",1998,5,14,29.31866667,-83.19866667,NA,NA,NA,NA,NA,NA,NA,7.9,"FDACS"
"23292",1998,5,14,29.31016667,-83.19933333,NA,NA,NA,NA,NA,NA,NA,7.9,"FDACS"
"23293",1998,5,14,29.305,-83.17633333,NA,NA,NA,NA,NA,NA,NA,8.4,"FDACS"
"23294",1998,5,14,29.2635,-83.171,NA,NA,NA,NA,NA,NA,NA,7.8,"FDACS"
"23295",1998,5,14,29.25483333,-83.14583333,NA,NA,NA,NA,NA,NA,NA,8.1,"FDACS"
"23296",1998,5,14,29.16333333,-83.04666667,NA,NA,NA,NA,NA,NA,NA,8.1,"FDACS"
"23297",1998,5,14,29.24816667,-83.15416667,NA,NA,NA,NA,NA,NA,NA,8,"FDACS"
"23298",1998,5,14,29.258,-83.11283333,NA,NA,NA,NA,NA,NA,NA,8.4,"FDACS"
"23299",1998,5,14,29.25666667,-83.1,NA,NA,NA,NA,NA,NA,NA,8.4,"FDACS"
"23300",1998,5,14,29.243,-83.0945,NA,NA,NA,NA,NA,NA,NA,8.5,"FDACS"
"23301",1998,5,14,29.279,-83.0885,NA,NA,NA,NA,NA,NA,NA,8.5,"FDACS"
"23302",1998,5,14,29.23116667,-83.0855,NA,NA,NA,NA,NA,NA,NA,8.1,"FDACS"
"23303",1998,5,14,29.24483333,-83.074,NA,NA,NA,NA,NA,NA,NA,8.4,"FDACS"
"23304",1998,5,14,29.249,-83.1705,NA,NA,NA,NA,NA,NA,NA,7.8,"FDACS"
"23305",1998,5,14,29.25366667,-83.10166667,NA,NA,NA,NA,NA,NA,NA,8.6,"FDACS"
"23306",1998,5,14,29.315,-83.11966667,NA,NA,NA,NA,NA,NA,NA,8.5,"FDACS"
"23307",1998,5,14,29.24033333,-83.16333333,NA,NA,NA,NA,NA,NA,NA,8,"FDACS"
"23308",1998,5,14,29.32516667,-83.139,NA,NA,NA,NA,NA,NA,NA,8.5,"FDACS"
"23309",1998,5,14,29.2965,-83.19033333,NA,NA,NA,NA,NA,NA,NA,8,"FDACS"
"23310",1998,5,14,29.2995,-83.18833333,NA,NA,NA,NA,NA,NA,NA,8,"FDACS"
"23311",1998,5,14,29.36566667,-83.2,NA,NA,NA,NA,NA,NA,NA,7.8,"FDACS"
"23312",1998,5,14,29.3615,-83.18983333,NA,NA,NA,NA,NA,NA,NA,7.8,"FDACS"
"23313",1998,5,14,29.34766667,-83.182,NA,NA,NA,NA,NA,NA,NA,7.7,"FDACS"
"23314",1998,5,14,29.34016667,-83.1715,NA,NA,NA,NA,NA,NA,NA,7.5,"FDACS"
"23675",1998,10,27,29.3085,-83.16416667,0.5,21.4,2.3,"6.1",21.3,0.4,6.5,8,"FDACS"
"23676",1998,10,27,29.355,-83.17333333,0.5,21.7,16.8,"5.6",21.7,16.8,6.1,7.8,"FDACS"
"23677",1998,10,27,29.36133333,-83.213,0.5,21.2,23.7,"7",21.2,23.7,7,8.1,"FDACS"
