"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"1241",1998,9,8,29.078833,-83.038,0.6,28.4,29,"5",NA,NA,NA,8.1,"FWC"
"1242",1998,9,8,29.110833,-83.031333,0.5,28.4,27.1,"5.3",NA,NA,NA,8.2,"FWC"
"1243",1998,9,8,29.117333,-83.0325,0.5,28.4,27.8,"6",NA,NA,NA,8.3,"FWC"
"1244",1998,9,8,29.144167,-82.961333,0.6,28.1,21.5,"4.3",NA,NA,NA,7.8,"FWC"
"1245",1998,9,8,29.1395,-83.015333,0.2,29.2,26.2,"6.6",NA,NA,NA,8.2,"FWC"
"1246",1998,9,8,29.102333,-83.061833,0.2,29.7,27.7,"7",NA,NA,NA,8.3,"FWC"
"1247",1998,9,8,29.1295,-83.07,0.3,30.7,29.5,"5.5",NA,NA,NA,8.2,"FWC"
"1248",1998,9,8,29.1225,-83.084833,0.3,30.3,29.4,"8.7",NA,NA,NA,8.4,"FWC"
"1249",1998,9,9,29.279167,-83.125333,0.3,27.3,6.7,"4.1",NA,NA,NA,7.8,"FWC"
"1250",1998,9,9,29.2505,-83.159833,0.3,28.2,18.2,"4.8",NA,NA,NA,8,"FWC"
"1251",1998,9,9,29.285167,-83.103833,0.6,27,2.1,"4.1",NA,NA,NA,7.9,"FWC"
"1252",1998,9,9,29.296,-83.093167,0.6,27.2,3.1,"4.6",NA,NA,NA,7.9,"FWC"
"1253",1998,9,9,29.293833,-83.0825,0.3,29.4,5.7,"7",NA,NA,NA,8,"FWC"
"1254",1998,9,9,29.296667,-83.153333,0.5,28.7,2.5,"6.5",NA,NA,NA,8.1,"FWC"
"1255",1998,9,9,29.285333,-83.139667,0.8,30.2,4.3,"6.2",NA,NA,NA,8.2,"FWC"
"1256",1998,9,10,29.168667,-83.058167,0.2,25.9,27.3,"4.1",NA,NA,NA,8.1,"FWC"
"1257",1998,9,10,29.179,-83.084667,0.5,26.5,25.9,"6",NA,NA,NA,8.2,"FWC"
"1258",1998,9,10,29.188333,-83.084667,0.2,27.4,25.7,"7.8",NA,NA,NA,8.5,"FWC"
"1259",1998,9,10,29.189667,-83.075333,0.3,27,25,"8.3",NA,NA,NA,8.4,"FWC"
"1260",1998,9,10,29.1875,-83.074167,0.4,27,26,"7.1",NA,NA,NA,8.4,"FWC"
"1261",1998,9,15,29.174167,-83.043833,0.5,27.1,26,"6",NA,NA,NA,8.4,"FWC"
"1262",1998,9,16,29.364167,-83.183,0.6,26.8,20.3,"5.7",NA,NA,NA,8.5,"FWC"
"1263",1998,9,16,29.2885,-83.1335,0.7,27,18.9,"6.8",NA,NA,NA,8.5,"FWC"
"1264",1998,9,16,29.328167,-83.168,0.6,27.3,21.9,"4.5",NA,NA,NA,8.5,"FWC"
"1265",1998,9,16,29.325,-83.165167,0.4,27.1,7.3,"5.8",NA,NA,NA,8.1,"FWC"
"1266",1998,9,16,29.319667,-83.187833,0.2,27.1,12.9,"5.5",NA,NA,NA,8.3,"FWC"
"1267",1998,9,17,29.218667,-83.074333,0.6,26.9,27.4,"4.8",NA,NA,NA,8.4,"FWC"
"1268",1998,9,17,29.257667,-83.0555,0.6,27.1,25.5,"4.1",NA,NA,NA,8,"FWC"
"1269",1998,9,17,29.257167,-83.077167,0.6,27.3,27.3,"5.4",NA,NA,NA,8.5,"FWC"
"1270",1998,9,17,29.234333,-83.0575,0.6,27.7,26.2,"6.2",NA,NA,NA,8.4,"FWC"
"1271",1998,9,22,29.139333,-83.106,0.3,28.1,29.7,"5.3",NA,NA,NA,8.5,"FWC"
"1272",1998,9,22,29.1285,-83.049833,0.5,28.3,24.9,"5.6",NA,NA,NA,8.6,"FWC"
"1273",1998,9,22,29.126667,-83.030667,0.4,29.3,24.5,"7.1",NA,NA,NA,8.8,"FWC"
