Year,Month,Day,Lat,Lon,Depth,Bottom_temp,Bottom_sal,Bottom_DO,Surface_temp,Surface_sal,Surface_DO,pH,Data_source
1996,6,6,29.1705,-82.975167,0.2,30.3,28.8,6,NA,NA,NA,7.6,FWC
1996,6,6,29.169167,-83.005,0.2,33.1,28.2,8.7,NA,NA,NA,7.8,FWC
1996,6,6,29.164,-82.974333,0.5,28.3,30,4.7,NA,NA,NA,7.6,FWC
1996,6,6,29.1665,-82.9865,0.5,29.8,29.8,6.8,NA,NA,NA,7.7,FWC
1996,6,6,29.154667,-83.012833,0.6,27.5,28.1,5.1,NA,NA,NA,7.7,FWC
1996,6,6,29.151333,-82.959,0.6,27.6,30.3,5.4,NA,NA,NA,7.7,FWC
1996,6,11,29.135167,-83.052667,0.3,27.5,29,5,NA,NA,NA,7.6,FWC
1996,6,11,29.1255,-83.034167,0.4,26.8,30.8,6.7,NA,NA,NA,7.9,FWC
1996,6,11,29.143,-83.045333,0.5,26.9,28.4,4.8,NA,NA,NA,7.6,FWC
1996,6,11,29.126167,-83.068667,0.6,27.3,30.5,7,NA,NA,NA,7.5,FWC
1996,6,11,29.1175,-83.059667,0.6,27.1,30.4,7,NA,NA,NA,NA,FWC
1996,6,11,29.121667,-83.027667,0.9,25.9,30.1,3.9,NA,NA,NA,7.7,FWC
1996,6,12,29.190167,-83.086333,0.3,30.2,27,8,NA,NA,NA,7.9,FWC
1996,6,12,29.209833,-83.086,0.5,31.4,22,8.8,NA,NA,NA,8,FWC
1996,6,12,29.1855,-83.074,0.6,28.1,26.3,6.3,NA,NA,NA,7.7,FWC
1996,6,12,29.197167,-83.077667,0.6,28.8,26.1,7.1,NA,NA,NA,NA,FWC
1996,6,12,29.272167,-83.098167,0.6,29.2,7,8.2,NA,NA,NA,8,FWC
1996,6,13,29.131167,-83.028167,0.2,28.6,30.5,7.1,NA,NA,NA,8,FWC
1996,6,13,29.125,-82.992333,0.2,28.4,30.6,6.7,NA,NA,NA,7.9,FWC
1996,6,13,29.109,-82.955833,0.2,28.8,27.8,7.1,NA,NA,NA,7.9,FWC
1996,6,13,29.0585,-83.0055,0.2,28.7,31.7,6.6,NA,NA,NA,7.1,FWC
1996,6,13,29.025,-83.004667,0.2,28.6,31.6,6.7,NA,NA,NA,7.9,FWC
1996,6,13,29.0275,-83.051,0.2,29.3,32.7,6.6,NA,NA,NA,NA,FWC
1996,6,13,29.049333,-83.058167,0.2,29.5,32.5,6.5,NA,NA,NA,NA,FWC
1996,6,13,29.075167,-83.034833,0.6,29.8,31.5,7.4,NA,NA,NA,7.3,FWC
1996,6,13,29.0895,-83.070833,1,29.7,31.6,7.5,NA,NA,NA,7.4,FWC
1996,6,13,29.131167,-83.028167,2.4,28.7,30.4,7,NA,NA,NA,7.6,FWC
1996,6,13,29.125,-82.992333,2.7,28.8,30.6,6.6,NA,NA,NA,7.9,FWC
1996,6,13,29.109,-82.955833,3.1,28.8,28,6.9,NA,NA,NA,7.9,FWC
1996,6,13,29.0585,-83.0055,4.6,28.7,31.8,6.7,NA,NA,NA,7.6,FWC
1996,6,13,29.025,-83.004667,4.8,28.5,31.8,6.4,NA,NA,NA,NA,FWC
1996,6,13,29.049333,-83.058167,5.6,28.7,32.5,7,NA,NA,NA,NA,FWC
1996,6,13,29.0275,-83.051,6,28.8,32.7,6.4,NA,NA,NA,NA,FWC
1996,6,17,29.0855,-83.104167,0.2,29.4,32.8,6.7,NA,NA,NA,NA,FWC
1996,6,17,29.064167,-83.1385,0.2,29.1,34,7.1,NA,NA,NA,NA,FWC
1996,6,17,29.100833,-83.165667,0.2,29.5,34.3,7.1,NA,NA,NA,NA,FWC
1996,6,17,29.139833,-83.100667,0.2,29.5,32.4,7.7,NA,NA,NA,NA,FWC
1996,6,17,29.113833,-83.074333,0.3,29.1,31.2,7.8,NA,NA,NA,NA,FWC
1996,6,17,29.096667,-83.026833,0.4,28.5,30.9,7.6,NA,NA,NA,NA,FWC
1996,6,17,29.1385,-82.974333,0.6,27.3,27.6,6.1,NA,NA,NA,NA,FWC
1996,6,17,29.0855,-83.104167,4.2,28.9,33,6.8,NA,NA,NA,NA,FWC
1996,6,17,29.139833,-83.100667,5.6,29.3,32.5,7.1,NA,NA,NA,NA,FWC
1996,6,17,29.100833,-83.165667,6.3,29,34.4,7.2,NA,NA,NA,NA,FWC
1996,6,17,29.064167,-83.1385,6.8,28.8,34,7.1,NA,NA,NA,NA,FWC
1996,6,18,29.182333,-83.1305,0.2,28.6,32,6.7,NA,NA,NA,NA,FWC
1996,6,18,29.2055,-83.133833,0.2,27.6,27.9,6.3,NA,NA,NA,NA,FWC
1996,6,18,29.2295,-83.159333,0.2,27.4,23.2,6.5,NA,NA,NA,NA,FWC
1996,6,18,29.2775,-83.198333,0.2,27.5,19.4,6.3,NA,NA,NA,NA,FWC
1996,6,18,29.245667,-83.151667,0.2,27.5,20.4,6.5,NA,NA,NA,NA,FWC
1996,6,18,29.2085,-83.107167,0.2,28.8,27.7,7.9,NA,NA,NA,NA,FWC
1996,6,18,29.2295,-83.159333,1.9,27.9,30.4,5.9,NA,NA,NA,NA,FWC
