Verified,SHA,Dilution,Date_samp,Station,SHA_status,Time_samp,W_depth,Surface_sal,Surface_temp,Surface_DO,Bottom_sal,Bottom_temp,Bottom_DO,Wind_dir,Wind_speed,pH,Turbidity,Fecal_coliform,Tide,Date_received,Time_received
V,28,3,810709,451,1,1301,4,220,298,,,,,125,2,,,2,4,,
V,28,3,810709,441,1,1142,4,220,305,,,,,315,4,,,2,3,,
V,28,3,810813,451,2,1552,4,320,323,,,,,225,6,,,2,3,,
V,28,3,810813,441,2,1556,4,310,315,,,,,225,6,,,2,3,,
V,28,3,810917,451,2,1308,4,300,283,,,,,225,7,,,2,7,,
V,28,3,810917,441,2,1313,4,280,283,,,,,225,7,,,2,7,,
V,28,3,811015,451,1,1457,4,280,233,,,,,45,8,,,2,8,,
V,28,3,811015,441,1,1501,4,270,230,,,,,45,8,,,2,8,,
V,28,3,811112,451,1,1348,4,237,189,,,,,45,10,,,7,8,,
V,28,3,811112,441,1,1353,4,227,186,,,,,45,10,,,13,8,,
V,28,3,811210,451,1,1233,4,212,110,,,,,315,15,,,11,8,,
V,28,3,811210,441,1,1240,4,171,106,,,,,315,15,,,33,8,,
V,28,3,820121,451,1,1257,4,230,220,,,,,180,5,,,2,1,,
V,28,3,820121,441,1,1302,4,210,220,,,,,180,5,,,2,1,,
V,28,3,820304,451,2,1233,4,199,180,,,,,125,8,,,2,2,,
V,28,3,820304,441,2,1237,4,189,179,,,,,125,8,,,2,3,,
V,28,3,820422,451,2,1225,4,200,268,,,,,315,10,,,2,8,,
V,28,3,820422,441,2,1229,4,200,275,,,,,315,10,,,5,8,,
V,28,3,820805,451,1,1303,4,195,292,,,,,90,8,,,2,8,,
V,28,3,820805,441,1,1307,4,204,292,,,,,90,8,,,2,8,,
V,28,3,820930,451,1,1251,4,259,252,,261,253,,90,12,,,2,1,,
V,28,3,820930,441,1,1255,4,256,254,,259,252,,90,12,,,2,1,,
V,28,3,830127,451,1,1359,4,233,122,80,250,120,80,225,8,82,680,5,1,,
V,28,3,830127,441,1,1405,4,248,120,79,249,121,79,225,8,82,420,5,1,,
V,28,3,830525,420,2,1256,4,98,269,,119,277,,325,8,79,,5,1,,
V,28,3,830525,410,2,1300,4,125,276,,126,277,,325,8,79,,2,1,,
V,28,3,830525,401,2,1305,6,97,280,,133,276,,325,8,80,,2,1,,
V,28,3,830525,400,2,1309,4,89,284,,125,270,,325,8,80,,2,1,,
V,28,3,830526,451,2,1337,4,109,266,,112,258,,315,15,,,2,1,,
V,28,3,830526,441,2,1343,4,80,267,,78,265,,315,15,,,2,1,,
V,28,3,830804,451,1,1209,4,270,297,,273,299,,135,4,,,2,2,,
V,28,3,830804,441,1,1212,4,264,296,,298,290,,135,4,,,2,2,,
V,28,3,830928,207,1,,,,,,,,,,,80,250,49,,,
V,28,3,830928,226,1,,,,,,,,,,,82,140,2,,,
V,28,3,830928,246,1,,,,,,,,,,,80,150,79,,,
V,28,3,830928,410,1,,,,,,,,,,,80,550,33,,,
V,28,3,830928,204,1,750,6,75,229,,99,229,,45,6,79,280,79,2,,
V,28,3,830928,434,1,755,6,176,224,,224,225,,45,6,81,290,8,2,,
V,28,3,830928,424,1,801,4,166,217,,203,231,,45,6,81,450,2,3,,
V,28,3,830928,208,1,838,4,143,219,,144,219,,45,6,80,720,11,3,,
V,28,3,830928,420,1,940,4,198,219,,,,,45,6,80,370,33,3,,
V,28,3,830928,210,1,1149,4,42,218,,,,,45,6,81,620,170,5,,
V,28,3,830928,206,1,815,4,173,219,,174,221,,45,6,80,330,2,3,,
V,28,3,830928,202,1,1347,4,1,236,,,,,,,80,150,70,6,,
V,28,3,830928,200,1,1341,4,1,235,,,,,,,80,220,130,6,,
V,28,3,830928,444,1,1344,4,0,230,,,,,,,80,150,70,6,,
V,28,3,830928,480,1,1415,6,2,238,,,,,,,80,150,70,6,,
V,28,3,830928,460,1,1419,6,1,243,,,,,,,80,150,79,6,,
V,28,3,830928,401,1,1238,4,126,241,,,,,,,80,550,70,5,,
V,28,3,830928,228,1,837,10,66,224,,,,,,9,80,120,33,3,,
V,28,3,830928,224,1,855,4,234,220,,,,,,9,82,140,2,3,,
V,28,3,830928,220,1,901,6,229,221,,,,,,9,83,190,2,3,,
V,28,3,830928,216,1,908,6,228,222,,,,,,9,83,140,2,3,,
V,28,3,830928,214,1,916,4,220,224,,,,,,9,82,150,2,3,,
V,28,3,830928,218,1,929,6,215,227,,,,,,9,82,400,2,3,,
V,28,3,830928,222,1,943,6,185,227,,,,,,9,81,180,13,3,,
V,28,3,830928,450,1,1016,6,54,236,,,,,45,14,81,160,79,4,,
V,28,3,830928,425,1,1027,6,152,235,,,,,45,14,81,150,23,4,,
V,28,3,830928,230,1,1038,6,150,235,,,,,45,14,81,150,13,4,,
V,28,3,830928,232,1,1048,6,154,234,,,,,45,14,81,120,5,4,,
V,28,3,830928,234,1,1104,6,141,234,,,,,45,14,81,230,2,4,,
V,28,3,830928,445,1,1116,4,170,242,,,,,45,14,83,200,8,4,,
V,28,3,830928,236,1,1217,6,35,229,,,,,45,14,81,150,70,5,,
V,28,3,830928,238,1,1136,4,117,230,,,,,45,14,80,240,49,4,,
V,28,3,830928,240,1,1147,2,100,234,,,,,45,14,80,350,33,5,,
V,28,3,830928,442,1,1201,2,124,247,,,,,45,14,81,300,8,5,,
V,28,3,830928,431,1,1207,4,78,236,,,,,45,14,80,170,130,5,,
V,28,3,830928,435,1,1227,6,3,228,,,,,45,14,81,150,79,5,,
V,28,3,830928,242,1,1231,6,2,232,,,,,45,14,80,120,110,5,,
V,28,3,830928,244,1,1240,6,3,230,,,,,45,14,80,140,70,5,,
V,28,3,830929,210,1,,,,,,,,,,,,930,33,,,
V,28,3,830929,442,1,,,,,,,,,,,,180,17,,,
V,28,3,830929,204,1,803,6,99,227,,171,233,,,,,310,23,2,,
V,28,3,830929,434,1,807,6,208,222,,228,221,,,,,220,22,2,,
V,28,3,830929,424,1,810,4,215,229,,228,231,,,,,200,2,2,,
V,28,3,830929,206,1,850,4,194,220,,194,222,,,,,440,2,2,,
V,28,3,830929,208,1,919,4,174,222,,174,222,,,,,450,27,3,,
V,28,3,830929,420,1,1007,4,204,222,,,,,,,,650,23,3,,
V,28,3,830929,410,1,1027,4,182,221,,,,,,,,530,7,3,,
V,28,3,830929,212,1,1116,2,36,212,,,,,,,,380,33,4,,
V,28,3,830929,207,1,1142,4,9,230,,171,228,,,,,180,350,4,,
V,28,3,830929,202,1,1154,6,4,231,,5,230,,,,,500,240,4,,
V,28,3,830929,246,1,900,6,3,223,,1,223,,90,7,,150,49,3,,
V,28,3,830929,228,1,914,8,87,224,,236,221,,90,7,,160,33,3,,
V,28,3,830929,200,1,907,8,21,229,,94,224,,90,7,,160,70,3,,
V,28,3,830929,226,1,919,10,253,222,,268,228,,90,7,,180,2,3,,
V,28,3,830929,224,1,925,6,257,221,,263,226,,90,7,,160,2,3,,
V,28,3,830929,220,1,930,8,236,215,,240,218,,90,7,,160,2,3,,
V,28,3,830929,216,1,942,6,223,216,,235,218,,90,7,,180,2,3,,
V,28,3,830929,214,1,938,6,218,218,,223,223,,90,7,,160,2,3,,
V,28,3,830929,401,1,948,4,211,225,,220,224,,90,7,,630,2,3,,
V,28,3,830929,218,1,954,10,227,273,,230,223,,90,7,,230,2,3,,
V,28,3,830929,222,1,959,4,241,222,,237,220,,90,7,,130,2,3,,
V,28,3,830929,444,1,1012,4,5,226,,20,223,,90,7,,140,70,3,,
V,28,3,830929,480,1,1017,6,35,225,,35,222,,90,7,,150,22,3,,
V,28,3,830929,460,1,1021,4,49,227,,,,,90,7,,180,70,3,,
V,28,3,830929,450,1,1037,4,157,240,,210,237,,90,7,,170,33,3,,
V,28,3,830929,425,1,1044,6,182,230,,245,233,,90,7,,180,23,3,,
V,28,3,830929,230,1,1052,6,187,217,,255,228,,90,7,,190,11,3,,
V,28,3,830929,232,1,1057,6,194,228,,197,226,,90,7,,170,8,3,,
V,28,3,830929,234,1,1109,8,157,241,,204,243,,90,7,,350,7,4,,
V,28,3,830929,445,1,1114,4,165,241,,181,240,,90,7,,250,2,4,,
V,28,3,830929,238,1,1155,4,128,235,,130,233,,90,7,,290,79,4,,
V,28,3,830929,240,1,1201,4,120,237,,,,,90,7,,310,49,4,,
V,28,3,830929,431,1,1214,4,123,238,,122,235,,90,7,,170,49,4,,
V,28,3,830929,236,1,1223,10,77,236,,104,234,,90,7,,200,79,4,,
V,28,3,830929,435,1,1229,12,3,227,,3,230,,90,7,,300,350,4,,
V,28,3,830929,242,1,1234,16,0,230,,3,225,,90,7,,130,350,4,,
V,28,3,830929,244,1,1239,14,0,225,,2,227,,90,7,,120,33,4,,
V,28,3,831011,228,1,1011,10,33,247,61,34,248,61,45,8,,,79,4,,
V,28,3,831011,226,1,1002,10,231,256,60,273,254,57,45,8,,,2,4,,
V,28,3,831011,224,1,908,6,251,251,72,251,251,72,45,8,,,2,3,,
V,28,3,831011,220,1,931,8,254,250,74,254,254,74,45,8,,,2,4,,
V,28,3,831011,216,1,923,6,252,253,69,252,254,69,45,8,,,2,4,,
V,28,3,831011,214,1,918,6,233,252,67,234,251,67,45,8,,,2,4,,
V,28,3,831011,401,1,836,4,252,248,61,,,,45,8,,,2,3,,
V,28,3,831011,400,1,857,4,189,250,57,,,,45,8,,,2,3,,
V,28,3,831011,212,1,900,4,174,249,55,,,,45,8,,,2,3,,
V,28,3,831011,410,1,755,4,217,249,64,,,,45,8,,,2,3,,
V,28,3,831011,210,1,816,4,203,248,57,,,,45,8,,,4,3,,
V,28,3,831011,420,1,740,4,208,248,62,,,,45,8,,,2,3,,
V,28,3,831011,218,1,940,10,241,252,72,241,252,72,45,8,,,2,4,,
V,28,3,831011,206,1,744,6,191,251,61,192,250,61,45,8,,,2,3,,
V,28,3,831011,208,1,749,4,182,249,58,,,,45,8,,,2,3,,
V,28,3,831011,424,1,936,4,176,250,58,,,,45,8,,,2,4,,
V,28,3,831011,222,1,954,4,223,253,68,221,255,68,45,8,,,2,4,,
V,28,3,831011,434,1,731,6,213,253,60,250,253,55,45,8,,,2,3,,
V,28,3,831011,204,1,720,6,105,251,59,112,254,59,45,8,,,21,3,,
V,28,3,831011,207,1,726,4,103,250,61,145,256,59,45,8,,,130,3,,
V,28,3,831012,200,1,752,8,85,246,62,154,256,54,90,3,,140,130,2,,
V,28,3,831012,202,1,758,6,104,250,57,219,252,49,90,3,,130,49,3,,
V,28,3,831012,444,1,803,6,96,250,62,128,255,58,90,3,,130,140,3,,
V,28,3,831012,480,1,807,6,106,249,69,151,254,61,90,3,,150,220,3,,
V,28,3,831012,460,1,812,4,123,250,74,173,255,70,90,3,,240,22,3,,
V,28,3,831012,450,1,819,4,135,250,75,,,,90,3,,150,22,3,,
V,28,3,831012,425,1,828,6,157,248,70,219,263,65,90,3,,160,23,3,,
V,28,3,831012,230,1,832,6,218,255,69,263,263,63,90,3,,170,2,3,,
V,28,3,831012,232,1,841,8,245,260,73,287,265,58,135,7,,220,2,3,,
V,28,3,831012,234,1,849,8,212,259,68,262,262,57,135,7,,180,6,3,,
V,28,3,831012,445,1,858,4,256,264,46,264,264,46,135,7,,300,22,3,,
V,28,3,831012,238,1,906,4,192,260,48,197,260,48,135,7,,400,2,3,,
V,28,3,831012,240,1,912,4,193,262,49,,,,135,7,,580,2,3,,
V,28,3,831012,442,1,925,4,169,264,48,,,,135,7,,230,8,3,,
V,28,3,831012,431,1,931,4,113,256,59,,,,135,7,,300,22,3,,
V,28,3,831012,236,1,934,10,99,256,58,100,253,57,135,7,,310,49,3,,
V,28,3,831012,435,1,942,12,55,249,61,69,251,60,135,7,,130,220,3,,
V,28,3,831012,242,1,949,16,12,244,65,14,244,65,135,7,,220,94,3,,
V,28,3,831012,244,1,953,14,2,238,70,2,244,69,135,7,,200,130,3,,
V,28,3,831012,246,1,958,14,4,240,68,4,242,67,135,7,,260,130,3,,
V,28,3,840125,451,1,1245,4,220,143,103,248,125,114,315,4,,260,17,5,,
V,28,3,840125,441,1,1250,6,216,128,116,245,120,112,315,4,,260,13,5,,
V,28,3,840126,451,2,1115,6,238,140,92,243,131,93,118,8,81,300,2,2,,
V,28,3,840126,441,2,1124,6,250,133,94,272,121,95,118,8,81,340,2,2,,
V,28,3,840208,451,2,1657,8,168,118,107,215,114,98,315,6,80,120,2,8,,
V,28,3,840208,441,2,1702,8,175,112,105,233,117,99,315,6,80,520,2,8,,
V,28,3,840223,204,1,1022,8,7,154,80,8,153,77,260,9,74,420,220,4,,
V,28,3,840223,207,1,1028,4,3,150,86,,,,260,9,75,700,49,4,,
V,28,3,840223,202,1,1033,8,1,153,73,2,155,71,260,9,74,300,33,4,,
V,28,3,840223,434,1,1039,4,20,151,93,,,,310,14,75,680,240,4,,
V,28,3,840223,222,1,1048,4,119,151,84,,,,310,14,75,500,70,4,,
V,28,3,840223,424,1,1052,4,104,150,90,,,,310,14,77,680,23,4,,
V,28,3,840223,206,1,1105,4,123,151,82,,,,310,14,77,320,33,4,,
V,28,3,840223,208,1,1111,4,48,154,84,,,,310,14,77,300,79,5,,
V,28,3,840223,420,1,1120,4,154,154,86,,,,310,14,77,1400,13,5,,
V,28,3,840223,218,1,1130,4,178,154,82,,,,310,14,78,1200,2,5,,
V,28,3,840223,410,1,1140,4,102,153,82,,,,310,14,78,320,170,5,,
V,28,3,840223,210,1,1156,4,54,156,78,,,,310,14,79,280,920,5,,
V,28,3,840223,401,1,1205,4,150,163,84,,,,300,8,79,1200,49,5,,
V,28,3,840223,400,1,1214,2,143,160,81,,,,300,8,78,1800,49,5,,
V,28,3,840223,212,1,1227,2,152,169,86,,,,300,8,79,480,21,5,,
V,28,3,840223,214,1,1240,6,195,166,82,200,165,82,282,14,79,580,2,5,,
V,28,3,840223,216,1,1248,8,220,161,82,220,161,80,282,14,79,520,2,6,,
V,28,3,840223,220,1,1256,8,220,160,80,221,160,81,282,14,79,280,2,6,,
V,28,3,840223,224,1,1302,4,222,160,84,,,,282,14,79,880,2,6,,
V,28,3,840223,226,1,1307,10,187,155,82,272,147,73,282,14,79,520,8,6,,
V,28,3,840223,250,1,1315,4,22,168,78,,,,292,14,78,420,240,6,,
V,28,3,840223,228,1,1322,8,3,164,73,2,164,72,292,14,79,280,17,6,,
V,28,3,840223,200,1,1327,6,3,159,69,3,162,68,262,13,72,300,17,6,,
V,28,3,840223,444,1,1331,6,3,161,71,4,160,68,262,13,73,280,49,6,,
V,28,3,840223,480,1,1338,4,2,160,74,,,,262,13,73,300,33,6,,
V,28,3,840223,460,1,1343,4,4,171,80,,,,262,13,74,420,33,6,,
V,28,3,840223,450,1,1349,4,40,171,86,,,,262,13,74,360,46,6,,
V,28,3,840223,425,1,1354,6,63,171,83,81,164,81,262,13,75,680,70,6,,
V,28,3,840223,230,1,1400,6,153,159,83,156,156,78,262,13,78,420,17,6,,
V,28,3,840223,232,1,1405,6,117,160,86,116,162,85,262,13,78,500,49,6,,
V,28,3,840223,234,1,1410,6,59,164,81,57,165,80,262,13,77,500,79,6,,
V,28,3,840223,235,1,1416,4,57,170,86,,,,262,13,77,580,22,7,,
V,28,3,840223,237,1,1420,4,76,171,88,,,,262,13,78,600,31,7,,
V,28,3,840223,445,1,1423,4,49,175,88,,,,290,13,78,720,46,7,,
V,28,3,840223,238,1,1430,2,117,182,85,,,,290,13,78,1200,7,7,,
V,28,3,840223,240,1,1435,2,113,179,82,,,,290,13,78,500,23,7,,
V,28,3,840223,442,1,1442,4,53,174,84,,,,290,13,78,1600,49,7,,
V,28,3,840223,241,1,1451,2,9,170,82,,,,290,9,78,320,23,7,,
V,28,3,840223,431,1,1454,4,3,162,71,,,,290,9,78,280,22,7,,
V,28,3,840223,236,1,1456,12,23,170,82,24,167,79,290,9,76,400,49,7,,
V,28,3,840223,435,1,1458,12,2,157,70,3,160,66,290,9,78,280,17,7,,
V,28,3,840223,242,1,1509,16,3,157,71,3,159,66,290,9,76,280,49,7,,
V,28,3,840223,244,1,1516,18,3,159,68,4,156,66,290,9,75,260,33,7,,
V,28,3,840223,246,1,1521,18,3,158,68,3,159,67,290,9,75,280,17,7,,
V,28,3,840507,451,1,1442,6,207,293,80,206,296,71,190,9,81,600,2,7,,
V,28,3,840507,441,1,1446,6,194,297,80,192,286,76,190,9,81,600,2,7,,
V,28,3,840509,204,1,1017,6,0,226,70,0,222,63,30,5,79,680,49,1,,
V,28,3,840509,207,1,1010,2,0,220,71,,,,30,5,79,700,13,1,,
V,28,3,840509,202,1,1001,6,0,228,56,0,228,50,30,5,78,640,14,1,,
V,28,3,840509,434,1,1022,2,3,220,76,,,,30,5,78,600,49,1,,
V,28,3,840509,222,1,1035,4,80,245,76,,,,12,14,77,520,2,1,,
V,28,3,840509,424,1,1043,4,3,222,78,,,,12,14,80,680,17,1,,
V,28,3,840509,206,1,1057,4,8,225,83,,,,12,14,79,620,33,2,,
V,28,3,840509,208,1,1132,2,11,214,83,,,,12,14,79,600,49,2,,
V,28,3,840509,420,1,1145,2,82,227,82,,,,12,14,79,640,13,2,,
V,28,3,840509,218,1,1150,6,22,237,80,28,238,74,32,10,79,620,4,2,,
V,28,3,840509,410,1,1158,4,12,234,80,,,,32,10,79,500,8,2,,
V,28,3,840509,210,1,1204,4,13,225,83,,,,32,10,79,460,14,2,,
V,28,3,840509,401,1,1212,4,16,228,87,,,,40,14,80,420,5,2,,
V,28,3,840509,400,1,1216,2,22,237,82,,,,40,14,80,440,8,2,,
V,28,3,840509,212,1,1229,4,21,232,88,,,,40,14,80,400,5,3,,
V,28,3,840509,214,1,1240,6,40,248,79,41,252,75,40,14,79,420,2,3,,
V,28,3,840509,216,1,1246,6,121,254,76,171,257,68,40,14,79,220,2,3,,
V,28,3,840509,220,1,1255,8,87,249,81,170,255,70,15,9,79,1000,2,3,,
V,28,3,840509,224,1,1302,8,146,255,74,197,259,58,15,9,79,600,2,3,,
V,28,3,840509,226,1,1310,8,66,239,83,200,268,55,15,9,80,800,2,3,,
V,28,3,840509,250,1,1316,2,0,221,86,,,,15,9,81,800,17,3,,
V,28,3,840509,228,1,1321,6,0,234,72,0,235,60,15,9,79,640,49,3,,
V,28,3,840509,200,1,1329,6,0,228,63,0,228,56,30,1,73,700,23,3,,
V,28,3,840509,444,1,1332,6,0,213,63,0,227,58,30,1,73,680,8,3,,
V,28,3,840509,480,1,1335,6,0,224,72,,,,30,1,73,680,2,3,,
V,28,3,840509,460,1,1337,4,0,228,67,,,,30,1,73,680,11,3,,
V,28,3,840509,450,1,1342,2,0,218,86,,,,50,7,76,700,8,3,,
V,28,3,840509,425,1,1345,8,0,217,87,0,217,83,50,7,75,780,17,4,,
V,28,3,840509,230,1,1350,6,32,224,84,52,223,82,50,7,78,1000,8,4,,
V,28,3,840509,232,1,1354,6,50,231,88,60,228,84,50,7,78,890,13,4,,
V,28,3,840509,234,1,1358,6,31,230,76,41,229,72,50,7,79,1000,11,4,,
V,28,3,840509,235,1,1407,4,5,226,78,,,,50,7,79,820,33,4,,
V,28,3,840509,237,1,1410,4,16,232,80,,,,50,7,79,1200,7,4,,
V,28,3,840509,445,1,1413,4,38,244,82,,,,7,3,80,1200,4,4,,
V,28,3,840509,238,1,1417,6,11,237,85,,,,7,3,80,1000,8,4,,
V,28,3,840509,240,1,1418,2,18,234,77,,,,7,3,80,800,5,4,,
V,28,3,840509,442,1,1424,4,10,233,84,,,,7,3,80,1000,2,4,,
V,28,3,840509,241,1,1431,2,0,235,73,,,,7,3,80,640,8,4,,
