station,lat_d,lat_m,lat,lon_d,lon_m,lon
10,29,10.8,29.18,83,1.64,-83.02733333
50,29,11.21,29.18683333,83,4.17,-83.0695
51,29,10.63,29.17716667,83,3.75,-83.0625
52,29,11.33,29.18883333,83,9.89,-83.16483333
53,29,11.75,29.19583333,83,3.89,-83.06483333
54,29,10.9,29.18166667,83,3.22,-83.05366667
55,29,11.39,29.18983333,83,3.35,-83.05583333
56,29,11.61,29.1935,83,3.53,-83.05883333
57,29,12.22,29.20366667,83,3.75,-83.0625
80,29,8.96,29.14933333,83,4.8,-83.08
81,29,9.88,29.16466667,83,4.18,-83.06966667
90,29,9.22,29.15366667,83,4.14,-83.069
101,29,26.21,29.43683333,83,17.73,-83.2955
110,29,26.66,29.44433333,83,17.77,-83.29616667
111,29,9.7,29.16166667,83,2.8,-83.04666667
112,29,26.54,29.44233333,83,18.67,-83.31116667
112,29,10.1,29.16833333,83,2.26,-83.03766667
117,29,27.52,29.45866667,83,18.44,-83.30733333
118,29,27.51,29.4585,83,19.3,-83.32166667
118,29,12.35,29.20583333,83,4.87,-83.08116667
120,29,28.3,29.47166667,83,19.17,-83.3195
121,29,28.45,29.47416667,83,20.2,-83.33666667
122,29,28.6,29.47666667,83,19.57,-83.32616667
125,29,29.18,29.48633333,83,21.5,-83.35833333
130,29,9.25,29.15416667,83,2.58,-83.043
140,29,25.38,29.423,83,18.9,-83.315
140,29,9.23,29.15383333,83,2.9,-83.04833333
141,29,24.6,29.41,83,18.44,-83.30733333
150,29,26.23,29.43716667,83,17.44,-83.29066667
155,29,26.29,29.43816667,83,17.1,-83.285
160,29,26.18,29.43633333,83,15.99,-83.2665
164,29,25.59,29.4265,83,16.77,-83.2795
165,29,25.59,29.4265,83,16.38,-83.273
170,29,8.4,29.14,83,1,-83.01666667
180,29,9.11,29.15183333,83,0.84,-83.014
188,29,22.51,29.37516667,83,11.82,-83.197
190,29,23.96,29.39933333,83,12.3,-83.205
190,29,9.25,29.15416667,83,1.29,-83.0215
198,29,25.32,29.422,83,13.46,-83.22433333
199,29,25.51,29.42516667,83,13.46,-83.22433333
200,29,9.38,29.15633333,83,1.31,-83.02183333
201,29,18.51,29.3085,83,9.85,-83.16416667
202,29,18.91,29.31516667,83,9.8,-83.16333333
204,29,19.71,29.3285,83,9.25,-83.15416667
206,29,20.78,29.34633333,83,10.44,-83.174
207,29,19.41,29.3235,83,9.42,-83.157
208,29,21.3,29.355,83,10.4,-83.17333333
210,29,21.72,29.362,83,10.89,-83.1815
210,29,9.99,29.1665,83,1.89,-83.0315
214,29,20.96,29.34933333,83,12.64,-83.21066667
216,29,21.68,29.36133333,83,12.78,-83.213
218,29,20.67,29.3445,83,11.54,-83.19233333
220,29,8.21,29.13683333,83,1.84,-83.03066667
222,29,20.6,29.34333333,83,11.52,-83.192
223,29,19.2,29.32,83,11.5,-83.19166667
224,29,19.12,29.31866667,83,11.92,-83.19866667
226,29,18.61,29.31016667,83,11.96,-83.19933333
228,29,18.3,29.305,83,10.58,-83.17633333
229,29,15.81,29.2635,83,10.26,-83.171
230,29,15.29,29.25483333,83,8.75,-83.14583333
230,29,9.8,29.16333333,83,2.8,-83.04666667
231,29,14.89,29.24816667,83,9.25,-83.15416667
232,29,15.48,29.258,83,6.77,-83.11283333
234,29,15.4,29.25666667,83,6,-83.1
235,29,14.58,29.243,83,5.67,-83.0945
236,29,16.74,29.279,83,5.31,-83.0885
237,29,13.87,29.23116667,83,5.13,-83.0855
238,29,14.69,29.24483333,83,4.44,-83.074
239,29,14.94,29.249,83,10.23,-83.1705
241,29,15.22,29.25366667,83,6.1,-83.10166667
244,29,18.9,29.315,83,7.18,-83.11966667
245,29,14.42,29.24033333,83,9.8,-83.16333333
246,29,19.51,29.32516667,83,8.34,-83.139
247,29,17.79,29.2965,83,11.42,-83.19033333
250,29,17.97,29.2995,83,11.3,-83.18833333
360,29,24.53,29.40883333,83,15.93,-83.2655
361,29,24.19,29.40316667,83,13.29,-83.2215
362,29,23.93,29.39883333,83,13.81,-83.23016667
370,29,25.84,29.43066667,83,15.42,-83.257
371,29,24.97,29.41616667,83,15.8,-83.26333333
372,29,25.57,29.42616667,83,14.99,-83.24983333
373,29,25,29.41666667,83,14.4,-83.24
374,29,22.97,29.38283333,83,13.44,-83.224
375,29,25.3,29.42166667,83,13.6,-83.22666667
376,29,23.78,29.39633333,83,13.15,-83.21916667
377,29,22.78,29.37966667,83,12.82,-83.21366667
378,29,23.35,29.38916667,83,13.1,-83.21833333
380,29,25.84,29.43066667,83,14.2,-83.23666667
381,29,25.24,29.42066667,83,13.79,-83.22983333
383,29,25.13,29.41883333,83,12.72,-83.212
384,29,26.7,29.445,83,14.5,-83.24166667
390,29,23.81,29.39683333,83,12.7,-83.21166667
393,29,23.14,29.38566667,83,11.77,-83.19616667
394,29,24.61,29.41016667,83,12.91,-83.21516667
395,29,24.8,29.41333333,83,12.8,-83.21333333
396,29,23.11,29.38516667,83,12.61,-83.21016667
397,29,22.32,29.372,83,12.6,-83.21
400,29,22.4,29.37333333,83,12.21,-83.2035
401,29,21.94,29.36566667,83,12,-83.2
410,29,21.69,29.3615,83,11.39,-83.18983333
420,29,20.86,29.34766667,83,10.92,-83.182
424,29,20.41,29.34016667,83,10.29,-83.1715
425,29,16.1,29.26833333,83,7.94,-83.13233333
428,29,18.17,29.30283333,83,9.34,-83.15566667
430,29,17.25,29.2875,83,9.93,-83.1655
431,29,16.6,29.27666667,83,6.43,-83.10716667
434,29,19.74,29.329,83,10.43,-83.17383333
435,29,16.65,29.2775,83,6.73,-83.11216667
441,29,13,29.21666667,83,5.38,-83.08966667
442,29,15.38,29.25633333,83,4.7,-83.07833333
445,29,14.24,29.23733333,83,4.94,-83.08233333
448,29,13.1,29.21833333,83,7.2,-83.12
449,29,13.88,29.23133333,83,7.72,-83.12866667
450,29,16.2,29.27,83,8.6,-83.14333333
451,29,11.9,29.19833333,83,5.28,-83.088
452,29,12.72,29.212,83,3.65,-83.06083333
453,29,12.9,29.215,83,4.39,-83.07316667
460,29,16.47,29.2745,83,10.4,-83.17333333
481,29,13.47,29.2245,83,4.79,-83.07983333
481,29,13.47,29.2245,83,4.77,-83.0795
482,29,13.84,29.23066667,83,4.54,-83.07566667
483,29,14.14,29.23566667,83,4.57,-83.07616667
484,29,14.28,29.238,83,4.16,-83.06933333
520,29,9.23,29.15383333,83,0.45,-83.0075
521,29,9.75,29.1625,83,0.2,-83.00333333
522,29,9.88,29.16466667,83,0.29,-83.00483333
690,29,8.4,29.14,83,0.75,-83.0125
700,29,7.38,29.123,83,0.1,-83.00166667
702,29,7.49,29.12483333,83,2.17,-83.03616667
704,29,7.21,29.12016667,83,1.32,-83.022
710,29,8.23,29.13716667,83,2.58,-83.043
711,29,7.98,29.133,83,1.3,-83.02166667
712,29,6.38,29.10633333,83,3.1,-83.05166667
713,29,7.51,29.12516667,83,4.91,-83.08183333
714,29,8.14,29.13566667,83,3.4,-83.05666667
715,29,6.89,29.11483333,83,4.67,-83.07783333
716,29,5.97,29.0995,83,3.92,-83.06533333
