TripID,Reference,Project_1,Project_2,Project_3,WorkUp,Stratum,Gear,Rep,LocationInstrument,Longitude,Latitude,End_Longitude,End_Latitude,Station_1,Station_2,Station_3,PrimaryInvestigator,Crew1,Crew2,Crew3,Crew4,TimeZone,StartDepth,Zone,Subzone,Grid,TempInstrument,CondInstrument,pHInstrument,SalInstrument,DisO2Instrument,HydroInstrument,Secchi_on_bottom,Secchi_depth,Sediment_Depth,SAM,BottomVegCover,Seagrass_habitat_descriptor,Distance_to_edge,TotalShoreCover,Total_Over_Site,TotalShoreDamaged,Intermittent_land,Dist_to_Shore,Dist_to_ShoreType,Dist_to_MHTM,BycatchQuantity,BankDistance,Bank,ShoreDistance,Event,Procedural_exception,RecordPerson,Historic_Reference,Flag,Currelat,Winrelat,Wng_dpth,Twist,NetWidth,Panels,Enddepth,Dist_tow,Bearing,Fishing_mode,Guide,Target_species_primary,Target_species_secondary,Electro_TransectDistance,Electro_Model,Electro_PedalTime,Electro_Pulse,Electro_Amps,Electro_Voltage,Electro_current,Net_Ind,SeineSlope,work_up,starttime,date,soaktime,searchtime,endtime
CKM19960606,CKM1996060601,AM,.,.,S,.,22,1,D,-83.012833,29.154667,,,.,,,,,,,,EDT,1.2,C,,246,45,45,45,45,45,45,NO,0.6,,,0,,,,,,,,,,3,0,G,0,,,,CKR960109,,0,0,0.2,,,,,,,,,,,,,,,,,,.,,,31500,13306,,,
CKM19960606,CKM1996060602,AM,.,.,S,B,20,1,D,-82.959,29.151333,,,.,,,,,,,,EDT,1.2,C,,249,45,45,45,45,45,45,YES,1.2,,,,,,,,,,,,,7,,U,,,,,CKR960110,,0,0,1.2,,,,,,,,,,,,,,,,,,.,,,37800,13306,,,
CKM19960606,CKM1996060603,AM,.,.,S,B,20,1,D,-82.974333,29.164,,,.,,,,,,,,EDT,1,C,,248,45,45,45,45,45,45,NO,0.7,,,0,,,,,,,,,,2.5,,U,,,,,CKR960111,,0,0,1,,,,,,,,,,,,,,,,,,.,,,42300,13306,,,
CKM19960606,CKM1996060604,AM,.,.,S,.,22,1,D,-82.975167,29.1705,,,.,,,,,,,,EDT,0.4,C,,222,45,45,45,45,45,45,YES,0.4,,,0,,,,,,,,,,5,5,G,2,,,,CKR960112,,0,0,0,,,,,,,,,,,,,,,,,,.,,,43800,13306,,,
CKM19960606,CKM1996060605,AM,.,.,S,.,22,1,D,-82.9865,29.1665,,,.,,,,,,,,EDT,1,C,,247,45,45,45,45,45,45,NO,0.4,,,0,,,,,,,,,,4,2,G,0,,,,CKR960113,,0,0,0,,,,,,,,,,,,,,,,,,.,,,46800,13306,,,
CKM19960606,CKM1996060606,AM,.,.,S,B,20,1,D,-83.005,29.169167,,,.,,,,,,,,EDT,0.4,C,,220,45,45,45,45,45,45,NO,0.2,,,0,,,,,,,,,,0,15,U,15,,,,CKR960114,,0,0,0.4,,,,,,,,,,,,,,,,,,.,,,49500,13306,,,
CKM19960611,CKM1996061101,AM,.,.,S,B,20,1,D,-83.027667,29.121667,,,.,,,,,,,,EDT,1.8,C,,291,45,45,45,45,45,45,NO,0.9,,,0,,,,,,,,,,50,8,G,10,,,,CKR960115,,0,0,1.6,,,,,,,,,,,,,,,,,,.,,,33000,13311,,,
CKM19960611,CKM1996061102,AM,.,.,S,.,22,1,D,-83.034167,29.1255,,,.,,,,,,,,EDT,0.9,C,,290,45,45,45,45,45,45,YES,0.9,,,0,,,,,,,,,,20,0,G,0,,,,CKR960116,,0,0,0.9,,,,,,,,,,,,,,,,,,.,,,37200,13311,,,
CKM19960611,CKM1996061103,AM,.,.,S,.,22,1,D,-83.045333,29.143,,,.,,,,,,,,EDT,1,C,,267,45,45,45,45,45,45,NO,0.7,,,0,,,,,,,,,,2,4,G,5,,,,CKR960117,,0,0,1,,,,,,,,,,,,,,,,,,.,,,41100,13311,,,
CKM19960611,CKM1996061104,AM,.,.,S,B,20,1,D,-83.052667,29.135167,,,.,,,,,,,,EDT,0.6,C,,266,45,45,45,45,45,45,YES,0.6,,,0,,,,,,,,,,0.5,5,G,5,,,,CKR960118,,0,180,1.3,,,,,,,,,,,,,,,,,,.,,,44700,13311,,,
