Reference,Depth,Beg_end,Temperature,Conductivity,pH,Salinity,DissolvedO2,Flag
CKM1996060601,0.6,B,27.5,43.5,7.7,28.1,5.1,
CKM1996060602,0.6,B,27.6,46.6,7.7,30.3,5.4,
CKM1996060603,0.5,B,28.3,46.3,7.6,30,4.7,
CKM1996060604,0.2,B,30.3,44.2,7.6,28.8,6,
CKM1996060605,0.5,B,29.8,46,7.7,29.8,6.8,
CKM1996060606,0.2,B,33.1,43.8,7.8,28.2,8.7,
CKM1996061101,0.9,B,25.9,46.3,7.7,30.1,3.9,
CKM1996061102,0.4,B,26.8,47.3,7.9,30.8,6.7,
CKM1996061103,0.5,B,26.9,44,7.6,28.4,4.8,
CKM1996061104,0.3,B,27.5,44.8,7.6,29,5,
CKM1996061105,0.6,B,27.3,46.8,7.5,30.5,7,
CKM1996061106,0.6,B,27.1,46.8,,30.4,7,
CKM1996061201,0.6,B,28.1,41.2,7.7,26.3,6.3,
CKM1996061202,0.6,B,28.8,40.9,,26.1,7.1,
CKM1996061203,0.3,B,30.2,42,7.9,27,8,
CKM1996061204,0.6,B,29.2,12.6,8,7,8.2,
CKM1996061205,0.5,B,31.4,35,8,22,8.8,
CKM1996061301,0.2,B,28.6,46.8,8,30.5,7.1,
CKM1996061301,2.4,B,28.7,46.7,7.6,30.4,7,
CKM1996061302,0.2,B,28.4,46.9,7.9,30.6,6.7,
CKM1996061302,2.7,B,28.8,47.1,7.9,30.6,6.6,
CKM1996061303,0.2,B,28.8,43.2,7.9,27.8,7.1,
CKM1996061303,3.1,B,28.8,43.4,7.9,28,6.9,
CKM1996061304,0.2,B,28.7,48.6,7.1,31.7,6.6,
CKM1996061304,4.6,B,28.7,48.7,7.6,31.8,6.7,
CKM1996061305,0.2,B,28.6,48.4,7.9,31.6,6.7,
CKM1996061305,4.8,B,28.5,48.7,,31.8,6.4,
CKM1996061306,0.2,B,29.3,50,,32.7,6.6,
CKM1996061306,6,B,28.8,49.9,,32.7,6.4,
CKM1996061307,0.2,B,29.5,49.6,,32.5,6.5,
CKM1996061307,5.6,B,28.7,49.6,,32.5,7,
CKM1996061308,0.6,B,29.8,48.3,7.3,31.5,7.4,
CKM1996061309,1,B,29.7,48.4,7.4,31.6,7.5,
CKM1996061701,0.6,B,27.3,42.9,,27.6,6.1,
CKM1996061702,0.4,B,28.5,47.4,,30.9,7.6,
CKM1996061703,0.3,B,29.1,48,,31.2,7.8,
CKM1996061704,0.2,B,29.4,50,,32.8,6.7,
CKM1996061704,4.2,B,28.9,50.4,,33,6.8,
CKM1996061705,0.2,B,29.1,51.7,,34,7.1,
CKM1996061705,6.8,B,28.8,51.7,,34,7.1,
