LATITUDE,LONGITUDE,SEASON,TYPE,COUNTY,LOCATION,STATION,YYYY,MM,DD,TIME,DEPTH (m),SECCHI (m),TEMP (°C),SAL (°/°°),DO (mg/L),pH,WIND (mph),WIND DIR,TN (µg/L),TP (µg/L),CHL (µg/L)(uncorrected),CHL (µg/L)(corrected),COLOR (Pt-Co units),Kd average,Kd Z >= 0.5 m average,Notes,Samplers,Monthly Estuary Averages:,Dates,TEMP (°C),SAL (°/°°),DO (mg/L),pH,TN (µg/L),TP (µg/L),CHL (µg/L)(uncorrected),Color (PCU),Kd Z >= 0.5 m average,Notes:
29.32723,-83.10382,Summer,River/Stream,Dixie,Suwannee,1,1997,7,25,.,6.0,0.8,28.00,0.00,.,.,,,1050,85,0.60,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.30833,-83.14667,Summer,River/Stream,Dixie,Suwannee,2,1997,7,25,.,2.2,0.8,29.00,0.00,.,.,,,1030,87,0.70,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.34167,-83.19167,Summer,Estuary,Dixie,Suwannee,3,1997,7,25,.,1.1,0.7,31.00,15.00,.,.,,,770,82,6.00,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.30417,-83.17600,Summer,Estuary,Dixie,Suwannee,4,1997,7,25,.,1.4,0.7,29.00,0.00,.,.,,,860,83,1.20,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.27500,-83.16167,Summer,Estuary,Dixie,Suwannee,5,1997,7,25,.,1.2,1.0,32.00,8.00,.,.,,,650,79,21.70,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.24167,-83.14167,Summer,Estuary,Dixie,Suwannee,6,1997,7,25,.,2.4,1.2,31.00,20.00,.,.,,,470,58,9.50,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.30833,-83.24167,Summer,Estuary,Dixie,Suwannee,7,1997,7,25,.,4.1,1.6,30.50,22.00,.,.,,,420,47,9.10,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.27500,-83.22500,Summer,Estuary,Dixie,Suwannee,8,1997,7,25,.,3.9,1.7,31.00,23.00,.,.,,,440,46,6.60,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.24167,-83.20833,Summer,Estuary,Dixie,Suwannee,9,1997,7,25,.,4.0,2.2,31.00,27.00,.,.,,,300,39,6.70,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.20833,-83.19167,Summer,Estuary,Dixie,Suwannee,10,1997,7,25,.,3.4,2.5,31.00,31.00,.,.,,,200,18,1.90,,.,.,.,,"J.H., J.Lo.",,7/25/1997,30.81,18.25,#DIV/0!,#DIV/0!,514,57,7.84,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Summer,River/Stream,Dixie,Suwannee,1,1997,8,26,.,5.6,0.5,27.00,0.00,.,.,,,1290,104,0.50,,.,.,.,,"J.H., B.K.",,,,,,,,,,,,
29.30833,-83.14667,Summer,River/Stream,Dixie,Suwannee,2,1997,8,26,.,3.2,0.4,27.50,0.00,.,.,,,1230,111,0.50,,.,.,.,,"J.H., B.K.",,,,,,,,,,,,
29.34167,-83.19167,Summer,Estuary,Dixie,Suwannee,3,1997,8,26,.,1.7,0.9,26.50,26.00,.,.,,,500,46,11.40,,.,.,.,,"J.H., B.K.",,,,,,,,,,,,
29.30417,-83.17600,Summer,Estuary,Dixie,Suwannee,4,1997,8,26,.,1.8,0.6,27.50,6.00,.,.,,,650,64,1.20,,.,.,.,,"J.H., B.K.",,,,,,,,,,,,
29.27500,-83.16167,Summer,Estuary,Dixie,Suwannee,5,1997,8,26,.,1.3,Bottom,27.50,13.00,.,.,,,820,85,0.90,,.,.,.,,"J.H., B.K.",,,,,,,,,,,,
29.24167,-83.14167,Summer,Estuary,Dixie,Suwannee,6,1997,8,26,.,2.3,1.1,27.50,21.00,.,.,,,490,50,2.80,,.,.,.,,"J.H., B.K.",,,,,,,,,,,,
29.30833,-83.24167,Summer,Estuary,Dixie,Suwannee,7,1997,8,26,.,4.7,2.1,27.50,29.00,.,.,,,250,23,5.10,,.,.,.,,"J.H., B.K.",,,,,,,,,,,,
29.27500,-83.22500,Summer,Estuary,Dixie,Suwannee,8,1997,8,26,.,4.4,1.5,27.50,28.00,.,.,,,250,25,6.00,,.,.,.,,"J.H., B.K.",,,,,,,,,,,,
29.24167,-83.20833,Summer,Estuary,Dixie,Suwannee,9,1997,8,26,.,4.3,1.7,27.00,27.00,.,.,,,330,31,5.10,,.,.,.,,"J.H., B.K.",,,,,,,,,,,,
29.20833,-83.19167,Summer,Estuary,Dixie,Suwannee,10,1997,8,26,.,3.9,1.8,27.50,27.00,.,.,,,360,31,5.00,,.,.,.,,"J.H., B.K.",,8/26/1997,27.31,22.13,#DIV/0!,#DIV/0!,456,44,4.69,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Fall,River/Stream,Dixie,Suwannee,1,1997,9,23,.,5.5,2.5,27.20,0.00,6.70,.,,,1130,71,2.90,,.,.,.,,"E.B., D.C., J.H., B.K.",,,,,,,,,,,,
29.30833,-83.14667,Fall,River/Stream,Dixie,Suwannee,2,1997,9,23,.,5.0,1.8,27.50,0.00,6.30,.,,,1160,61,3.80,,.,.,.,,"E.B., D.C., J.H., B.K.",,,,,,,,,,,,
29.34167,-83.19167,Fall,Estuary,Dixie,Suwannee,3,1997,9,24,.,1.8,0.8,29.20,19.00,5.90,.,,,630,94,20.20,,.,.,.,,"E.B., D.C., J.H., B.K.",,,,,,,,,,,,
29.30417,-83.17600,Fall,Estuary,Dixie,Suwannee,4,1997,9,24,.,1.6,0.9,28.70,9.00,6.70,.,,,550,65,9.90,,.,.,.,,"E.B., D.C., J.H., B.K.",,,,,,,,,,,,
29.27500,-83.16167,Fall,Estuary,Dixie,Suwannee,5,1997,9,23,.,1.4,Bottom,31.90,12.00,9.80,.,,,530,66,15.90,,.,.,.,,"E.B., D.C., J.H., B.K.",,,,,,,,,,,,
29.24167,-83.14167,Fall,Estuary,Dixie,Suwannee,6,1997,9,26,.,2.8,1.1,28.60,31.00,.,.,,,470,61,7.30,,.,.,.,,"E.B., D.C., J.H., B.K.",,,,,,,,,,,,
29.30833,-83.24167,Fall,Estuary,Dixie,Suwannee,7,1997,9,26,.,4.1,1.6,28.60,31.00,.,.,,,340,32,7.10,,.,.,.,,"E.B., D.C., J.H., B.K.",,,,,,,,,,,,
29.27500,-83.22500,Fall,Estuary,Dixie,Suwannee,8,1997,9,26,.,3.7,1.3,29.00,33.00,.,.,,,410,48,11.20,,.,.,.,,"E.B., D.C., J.H., B.K.",,,,,,,,,,,,
29.24167,-83.20833,Fall,Estuary,Dixie,Suwannee,9,1997,9,26,.,3.6,1.0,29.00,33.00,.,.,,,390,48,11.70,,.,.,.,,"E.B., D.C., J.H., B.K.",,,,,,,,,,,,
29.20833,-83.19167,Fall,Estuary,Dixie,Suwannee,10,1997,9,26,.,3.9,1.0,29.00,35.00,.,.,,,400,49,11.50,,.,.,.,,"E.B., D.C., J.H., B.K.",,9/26/1997,29.25,25.38,7.47,#DIV/0!,465,58,11.85,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Fall,River/Stream,Dixie,Suwannee,1,1997,11,3,.,2.7,0.8,21.50,0.00,.,.,,,780,162,1.00,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.30833,-83.14667,Fall,River/Stream,Dixie,Suwannee,2,1997,11,3,.,1.8,0.8,21.00,0.00,.,.,,,830,118,0.70,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.34167,-83.19167,Fall,Estuary,Dixie,Suwannee,3,1997,11,3,.,2.4,1.1,20.50,20.00,.,.,,,560,53,21.60,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.30417,-83.17600,Fall,Estuary,Dixie,Suwannee,4,1997,11,3,.,4.2,1.7,22.00,7.00,.,.,,,890,106,15.80,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.27500,-83.16167,Fall,Estuary,Dixie,Suwannee,5,1997,11,3,.,4.1,2.0,21.50,15.00,.,.,,,660,76,15.20,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.24167,-83.14167,Fall,Estuary,Dixie,Suwannee,6,1997,11,3,.,5.1,0.8,21.50,14.00,.,.,,,600,63,14.30,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.30833,-83.24167,Fall,Estuary,Dixie,Suwannee,7,1997,11,3,.,1.5,0.8,20.50,29.00,.,.,,,270,20,5.10,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.27500,-83.22500,Fall,Estuary,Dixie,Suwannee,8,1997,11,3,.,2.3,0.9,20.50,25.00,.,.,,,280,19,5.30,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.24167,-83.20833,Fall,Estuary,Dixie,Suwannee,9,1997,11,3,.,3.9,2.0,21.00,24.00,.,.,,,330,27,8.10,,.,.,.,,"J.H., J.Lo.",,,,,,,,,,,,
29.20833,-83.19167,Fall,Estuary,Dixie,Suwannee,10,1997,11,3,.,3.6,1.8,21.50,22.00,.,.,,,500,45,6.80,,.,.,.,,"J.H., J.Lo.",,11/3/1997,21.13,19.50,#DIV/0!,#DIV/0!,511,51,11.53,#DIV/0!,#DIV/0!,
29.32723,-83.10382,Fall,River/Stream,Dixie,Suwannee,1,1997,11,25,.,6.3,0.8,15.50,0.00,.,.,,,550,74,0.90,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.30833,-83.14667,Fall,River/Stream,Dixie,Suwannee,2,1997,11,25,.,1.5,1.1,15.50,0.00,.,.,,,740,72,0.40,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.34167,-83.19167,Fall,Estuary,Dixie,Suwannee,3,1997,11,25,.,1.1,0.6,16.00,23.00,.,.,,,330,27,5.40,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.30417,-83.17600,Fall,Estuary,Dixie,Suwannee,4,1997,11,25,.,4.5,1.8,15.50,0.00,.,.,,,520,58,0.50,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.27500,-83.16167,Fall,Estuary,Dixie,Suwannee,5,1997,11,25,.,3.9,1.5,15.50,9.00,.,.,,,340,47,4.20,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
29.24167,-83.14167,Fall,Estuary,Dixie,Suwannee,6,1997,11,25,.,4.1,0.8,15.50,14.00,.,.,,,520,51,3.30,,.,.,.,,"J.H., K.H.",,,,,,,,,,,,
