FID,Join_Count,TARGET_FID,Num,N,E,Elev,Transect,Element_id
0,1,0,5,1790988.082,303420.066,-1.673,9,11b
1,1,1,6,1790987.853,303418.649,-2.144,9,11b
2,1,2,7,1790985.472,303417.412,-2.206,9,11b
3,1,3,8,1790983.192,303416.954,-2.146,9,11b
4,1,4,9,1790981.15,303416.219,-1.982,9,11b
5,1,5,10,1790981.808,303414.191,-1.977,9,11b
6,1,6,11,1790980.108,303414.394,-1.95,9,11b
7,1,7,12,1790979.267,303413.242,-2.118,9,11b
8,1,8,13,1790979.129,303411.083,-2.177,9,11b
9,1,9,14,1790977.371,303409.784,-2.021,9,11b
10,1,10,15,1790974.958,303411.194,-1.332,9,11b
11,1,11,16,1790976.799,303408.005,-1.818,9,11b
12,1,12,17,1790974.517,303407.715,-1.864,9,11b
13,1,13,18,1790972.814,303406.493,-2.056,9,11b
14,1,14,19,1790973.238,303405.053,-1.902,9,11b
15,1,15,20,1790971.862,303405.806,-2.006,9,11b
16,1,17,25,1791008.836,303405.031,-1.757,8,11b
17,1,18,26,1791006.586,303401.965,-1.666,8,11b
18,1,19,27,1791002.957,303402.927,-1.936,8,11b
19,1,20,28,1791004.221,303399.812,-2.025,8,11b
20,1,21,29,1791002.834,303399.666,-2.123,8,11b
21,1,22,32,1790999.97,303394.516,-1.759,8,11b
22,1,23,33,1790998.159,303393.182,-1.802,8,11b
23,1,24,34,1790998.039,303391.379,-1.51,8,11b
24,1,25,35,1790995.968,303390.302,-1.999,8,11b
25,1,26,36,1790993.987,303387.954,-1.582,8,11b
26,1,27,37,1790993.964,303385.336,-1.955,8,11b
27,1,28,40,1791017.374,303362.288,-1.611,7,11b
28,1,29,41,1791017.946,303363.483,-1.673,7,11b
29,1,30,42,1791018.291,303364.731,-2.043,7,11b
30,1,31,43,1791019.886,303366.056,-2.033,7,11b
31,1,32,44,1791019.152,303367.475,-1.689,7,11b
32,1,33,45,1791019.77,303368.667,-1.765,7,11b
33,1,34,46,1791021.324,303368.374,-1.328,7,11b
34,1,35,47,1791022.502,303369.247,-1.499,7,11b
35,1,36,48,1791022.944,303370.624,-1.22,7,11b
36,1,37,49,1791023.993,303371.119,-1.256,7,11b
37,1,38,50,1791023.975,303372.243,-1.338,7,11b
38,1,39,51,1791024.409,303372.815,-1.275,7,11b
39,1,40,52,1791025.219,303373.863,-1.462,7,11b
40,1,41,53,1791024.744,303375.361,-1.372,7,11b
41,1,42,54,1791025.872,303375.812,-1.827,7,11b
42,1,43,55,1791028.732,303374.722,-1.467,7,11b
43,1,44,56,1791027.904,303376.456,-1.86,7,11b
44,1,45,57,1791029.403,303376.182,-1.611,7,11b
45,1,46,58,1791029.731,303377.668,-1.756,7,11b
46,1,47,59,1791030.714,303378.675,-1.707,7,11b
47,1,48,60,1791031.957,303379.459,-1.75,7,11b
48,1,49,61,1791033.416,303379.516,-1.522,7,11b
49,1,50,62,1791033.954,303380.773,-1.841,7,11b
50,1,51,63,1791035.028,303382.096,-1.469,7,11b
51,1,52,64,1791036.585,303383.543,-2.128,7,11b
52,1,53,67,1791077.374,303348.362,-1.554,6,11b
53,1,54,68,1791076.199,303346.664,-1.252,6,11b
54,1,55,69,1791076.506,303342.827,-1.304,6,11b
55,1,56,70,1791074.227,303342.116,-2.015,6,11b
56,1,57,71,1791073.752,303340.246,-1.663,6,11b
