Transect,Element,Easting_start,Northing_start,Easting_end,Northing_end,Type
1,12,303580.69,1790804.87,303549.07,1790779.76,GFY
2,12,303638.04,1790742.77,303613.87,1790709.54,GFY
3,12,303715.78,1790676.86,303669.63,1790637.99,GFY
4,12,303781.66,1790608.26,303732.40,1790572.91,GFY
5,12,303828.95,1790530.24,303803.73,1790499.51,GFY
6,12,303610.19,1790768.31,303585.66,1790750.52,Random
7,12,303740.61,1790628.12,303715.00,1790610.76,Random
8,12,303803.11,1790559.55,303780.76,1790539.80,Random
1,13,304046.50,1790240.85,304014.99,1790215.78,GFY
2,13,304090.32,1790177.93,304068.83,1790141.02,GFY
3,13,304153.47,1790117.74,304123.64,1790090.39,GFY
4,13,304058.82,1790226.28,304029.67,1790195.26,Random
5,13,304113.44,1790152.66,304087.40,1790135.74,Random
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
