<<<<<<< HEAD
Number,X,Y,Elev,Transect,Element,Type,
1704,1791930.498,302751.586,-1.69,1,10B,GS,
1705,1791929.074,302751.437,-1.329,1,10B,ROCK TOP,
1706,1791926.422,302748.293,-1.613,1,10B,ROCK TOP,
1707,1791924.166,302746.533,-1.429,1,10B,ROCK TOP,
1708,1791923.678,302745.817,-1.638,1,10B,ROCK TOP,
1709,1791921.975,302744.348,-1.416,1,10B,ROCK TOP,
1710,1791920.8,302743.213,-1.782,1,10B,ROCK TOP,
1711,1791919.854,302742.478,-1.345,1,10B,ROCK TOP,
1712,1791918.807,302740.81,-1.448,1,10B,ROCK TOP,
1713,1791917.483,302739.111,-1.422,1,10B,ROCK TOP,
1714,1791915.433,302739.704,-1.163,1,10B,ROCK TOP,
1715,1791915.279,302737.352,-1.603,1,10B,ROCK TOP,
1716,1791914.578,302736.474,-1.396,1,10B,ROCK TOP,
1717,1791913.665,302735.097,-1.748,1,10B,ROCK TOP,
1718,1791912.904,302733.644,-1.358,1,10B,ROCK TOP,
1719,1791911.943,302732.45,-1.357,1,10B,ROCK TOP,
1720,1791910.617,302731.148,-1.455,1,10B,ROCK TOP,
1721,1791909.973,302730.576,-1.292,1,10B,ROCK TOP,
1722,1791909.071,302730.256,-2.005,1,10B,GS,
1682,1791881.148,302752.831,-2.557,2,10B,GS,
1683,1791881.073,302753.526,-1.945,2,10B,ROCK TOP,
1684,1791881.243,302755.426,-1.784,2,10B,ROCK TOP,
1685,1791883.157,302756.203,-1.726,2,10B,ROCK TOP,
1686,1791882.244,302758.647,-1.583,2,10B,ROCK TOP,
1687,1791883.393,302760.192,-1.882,2,10B,ROCK TOP,
1688,1791885.996,302761.665,-1.7,2,10B,ROCK TOP,
1689,1791886.19,302762.39,-1.916,2,10B,ROCK TOP,
1690,1791886.469,302762.54,-1.59,2,10B,ROCK TOP,
1691,1791886.924,302763.595,-1.182,2,10B,ROCK TOP,
1692,1791887.927,302765.157,-1.279,2,10B,ROCK TOP,
1693,1791889.233,302766.417,-0.849,2,10B,ROCK TOP,
1694,1791889.938,302767.803,-0.957,2,10B,ROCK TOP,
1695,1791889.324,302771.459,-1.364,2,10B,ROCK TOP,
1696,1791890.716,302771.604,-1.377,2,10B,ROCK TOP,
1697,1791892.351,302773.315,-1.226,2,10B,ROCK TOP,
1698,1791892.394,302775.979,-1.419,2,10B,ROCK TOP,
1699,1791893.131,302776.916,-1.409,2,10B,ROCK TOP,
1700,1791894.42,302778.196,-1.318,2,10B,ROCK TOP,
1701,1791895.867,302779.026,-1.028,2,10B,ROCK TOP,
1702,1791897.056,302780.074,-1.163,2,10B,ROCK TOP,
1703,1791898.862,302781.184,-2.198,2,10B,GS,
1666,1791878.029,302798.311,-2.415,3,10B,GS,
1667,1791877.458,302797.577,-1.812,3,10B,ROCK TOP,
1668,1791876.184,302794.8,-1.658,3,10B,ROCK TOP,
1669,1791875.624,302793.809,-1.744,3,10B,ROCK TOP,
1670,1791875.361,302790.652,-1.708,3,10B,ROCK TOP,
1671,1791875.602,302788.675,-1.638,3,10B,ROCK TOP,
1672,1791874.547,302787.518,-1.674,3,10B,ROCK TOP,
1673,1791874.439,302786.015,-1.776,3,10B,ROCK TOP,
1674,1791873.866,302783.945,-1.491,3,10B,ROCK TOP,
1675,1791872.497,302782.857,-1.729,3,10B,ROCK TOP,
1676,1791871.297,302781.06,-1.714,3,10B,ROCK TOP,
1677,1791869.549,302779.306,-1.717,3,10B,ROCK TOP,
1678,1791868.512,302777.083,-1.812,3,10B,ROCK TOP,
1679,1791867.046,302775.513,-1.599,3,10B,ROCK TOP,
1680,1791866.263,302772.913,-1.581,3,10B,ROCK TOP,
1681,1791864.812,302770.35,-2.663,3,10B,GS,
1650,1791843.049,302791.184,-2.823,4,10B,GS,
1651,1791841.522,302792.895,-1.528,4,10B,ROCK TOP,
1652,1791843.066,302794.154,-1.233,4,10B,ROCK TOP,
1653,1791845.222,302795.338,-1.482,4,10B,ROCK TOP,
1654,1791846.644,302796.028,-1.587,4,10B,ROCK TOP,
1655,1791847.246,302797.708,-1.9,4,10B,ROCK TOP,
1656,1791848.717,302799.358,-1.471,4,10B,ROCK TOP,
1657,1791850.07,302800.21,-1.889,4,10B,ROCK TOP,
1658,1791853.085,302801.672,-1.5,4,10B,ROCK TOP,
1659,1791853.956,302803.787,-1.773,4,10B,ROCK TOP,
1660,1791855.263,302805.008,-1.545,4,10B,ROCK TOP,
1661,1791856.387,302805.706,-1.406,4,10B,ROCK TOP,
1662,1791857.601,302808.358,-1.238,4,10B,ROCK TOP,
1663,1791858.768,302809.887,-1.51,4,10B,ROCK TOP,
1664,1791859.632,302811.97,-1.433,4,10B,ROCK TOP,
1665,1791862.681,302811.908,-2.286,4,10B,GS,
1630,1791815.929,302857.268,-2.213,5,10B,GS,
1631,1791815.554,302856.288,-1.414,5,10B,ROCK TOP,
1632,1791814.59,302854.004,-1.375,5,10B,ROCK TOP,
1633,1791813.903,302853.273,-1.255,5,10B,ROCK TOP,
1634,1791812.662,302852.232,-1.26,5,10B,ROCK TOP,
1635,1791811.164,302850.428,-1.435,5,10B,ROCK TOP,
1636,1791811.458,302847.583,-1.265,5,10B,ROCK TOP,
1637,1791810.334,302845.923,-1.198,5,10B,ROCK TOP,
1638,1791807.926,302844.743,-1.453,5,10B,ROCK TOP,
1639,1791807.105,302843.671,-1.189,5,10B,ROCK TOP,
1640,1791806.063,302842.354,-1.262,5,10B,ROCK TOP,
1641,1791805.263,302840.048,-1.354,5,10B,ROCK TOP,
1642,1791804.724,302838.657,-1.435,5,10B,ROCK TOP,
1643,1791804.16,302837.004,-1.198,5,10B,ROCK TOP,
1644,1791803.474,302835.72,-1.505,5,10B,ROCK TOP,
1645,1791802.298,302834.454,-1.494,5,10B,ROCK TOP,
1646,1791800.969,302833.387,-1.549,5,10B,ROCK TOP,
1647,1791800.876,302833.257,-1.554,5,10B,ROCK TOP,
1648,1791798.858,302833.156,-1.5,5,10B,ROCK TOP,
1649,1791798.317,302832.366,-2.398,5,10B,GS,
1611,1791768.861,302854.814,-2.216,6,10B,GS,
1612,1791769.429,302856.685,-1.818,6,10B,ROCK TOP,
1613,1791770.841,302857.263,-1.331,6,10B,ROCK TOP,
1614,1791771.614,302858.543,-1.738,6,10B,ROCK TOP,
1615,1791772.363,302860.362,-1.494,6,10B,ROCK TOP,
1616,1791773.251,302861.7,-1.6,6,10B,ROCK TOP,
1617,1791775.673,302862.142,-1.479,6,10B,ROCK TOP,
1618,1791775.699,302863.933,-1.408,6,10B,ROCK TOP,
1619,1791776.84,302864.988,-1.381,6,10B,ROCK TOP,
1620,1791779.232,302865.954,-1.499,6,10B,ROCK TOP,
1621,1791780.249,302868.713,-1.274,6,10B,ROCK TOP,
1622,1791781.576,302869.258,-1.451,6,10B,ROCK TOP,
1623,1791782.638,302870.194,-1.521,6,10B,ROCK TOP,
1624,1791783.439,302871.833,-1.65,6,10B,ROCK TOP,
1625,1791784.565,302873.079,-1.583,6,10B,ROCK TOP,
1626,1791785.273,302874.502,-1.584,6,10B,ROCK TOP,
1627,1791785.751,302875.693,-1.527,6,10B,ROCK TOP,
1628,1791787.455,302876.543,-1.646,6,10B,ROCK TOP,
1629,1791788.344,302877.507,-2.201,6,10B,GS,
1592,1791744.657,302917.221,-2.746,7,10B,GS,
