Number,X,Y,Elev,Transect,Element,Type
3523,1793218.887,301316.246,-2.29,1,8B,GS
3524,1793218.223,301314.787,-1.459,1,8B,ROCK TOP
3525,1793217.643,301313.652,-1.495,1,8B,ROCK TOP
3526,1793217.099,301312.149,-1.49,1,8B,ROCK TOP
3527,1793214.379,301309.543,-1.407,1,8B,ROCK TOP
3528,1793214.095,301306.597,-1.359,1,8B,ROCK TOP
3529,1793211.377,301306.275,-1.765,1,8B,ROCK TOP
3530,1793209.713,301305.325,-1.52,1,8B,ROCK TOP
3531,1793208.814,301303.514,-1.5,1,8B,ROCK TOP
3532,1793207.705,301302.441,-1.48,1,8B,ROCK TOP
3533,1793206.597,301301.496,-1.417,1,8B,ROCK TOP
3534,1793205.181,301300.039,-1.679,1,8B,ROCK TOP
3535,1793203.947,301298.464,-1.538,1,8B,ROCK TOP
3536,1793202.921,301297.408,-1.398,1,8B,ROCK TOP
3537,1793202.117,301296.065,-1.428,1,8B,ROCK TOP
3538,1793201.059,301295.143,-1.526,1,8B,ROCK TOP
3539,1793200.426,301293.895,-1.803,1,8B,ROCK TOP
3540,1793199.484,301292.654,-2.083,1,8B,GS
3541,1793163.074,301325.274,-2.713,2,8B,GS
3542,1793164.103,301326.389,-1.81,2,8B,ROCK TOP
3543,1793165.533,301327.176,-1.637,2,8B,ROCK TOP
3544,1793166.321,301328.796,-1.594,2,8B,ROCK TOP
3545,1793167.787,301330.94,-1.681,2,8B,ROCK TOP
3546,1793169.616,301332.901,-1.61,2,8B,ROCK TOP
3547,1793171.323,301334.724,-1.857,2,8B,ROCK TOP
3548,1793172.562,301336.551,-1.853,2,8B,ROCK TOP
3549,1793173.765,301338.193,-1.837,2,8B,ROCK TOP
3550,1793175.567,301339.716,-1.827,2,8B,ROCK TOP
3551,1793176.906,301341.41,-1.731,2,8B,ROCK TOP
3552,1793178.189,301343.689,-1.81,2,8B,ROCK TOP
3553,1793179.737,301345.5,-1.872,2,8B,ROCK TOP
3554,1793181.14,301347.164,-1.876,2,8B,ROCK TOP
3555,1793182.341,301349.242,-2.692,2,8B,GS
3556,1793149.405,301377.685,-2.806,3,8B,GS
3557,1793148.467,301376.475,-1.818,3,8B,ROCK TOP
3558,1793148.071,301375.194,-1.774,3,8B,ROCK TOP
3559,1793146.453,301372.758,-1.783,3,8B,ROCK TOP
3560,1793144.727,301370.303,-1.513,3,8B,ROCK TOP
3561,1793143.948,301369.545,-1.476,3,8B,ROCK TOP
3562,1793142.541,301366.939,-1.698,3,8B,ROCK TOP
3563,1793141.268,301365.597,-1.46,3,8B,ROCK TOP
3564,1793142.904,301366.753,-1.848,3,8B,ROCK TOP
3565,1793140.287,301363.83,-1.636,3,8B,ROCK TOP
3566,1793139.27,301361.692,-1.606,3,8B,ROCK TOP
3567,1793137.92,301360.336,-1.638,3,8B,ROCK TOP
3568,1793138.017,301358.819,-1.433,3,8B,ROCK TOP
3569,1793136.918,301357.47,-1.734,3,8B,ROCK TOP
3570,1793136.326,301355.434,-1.867,3,8B,ROCK TOP
3571,1793135.347,301354.321,-1.779,3,8B,ROCK TOP
3572,1793134.972,301353.495,-2.841,3,8B,GS
3573,1793120.57,301363.125,-3.009,4,8B,GS
3574,1793120.925,301364.436,-1.93,4,8B,ROCK TOP
3575,1793121.847,301366.38,-1.54,4,8B,ROCK TOP
3576,1793122.44,301368.878,-1.767,4,8B,ROCK TOP
3577,1793123.573,301370.785,-1.815,4,8B,ROCK TOP
3578,1793124.176,301371.823,-1.736,4,8B,ROCK TOP
3579,1793125.353,301373.716,-1.666,4,8B,ROCK TOP
3580,1793126.354,301375.673,-1.655,4,8B,ROCK TOP
3581,1793126.803,301377.872,-1.681,4,8B,ROCK TOP
3582,1793126.797,301380.164,-1.474,4,8B,ROCK TOP
3583,1793128.047,301382.021,-1.812,4,8B,ROCK TOP
3584,1793129.199,301383.883,-1.721,4,8B,ROCK TOP
3585,1793130.192,301385.201,-1.702,4,8B,ROCK TOP
3586,1793131.781,301386.093,-1.823,4,8B,ROCK TOP
3587,1793131.994,301388.027,-1.537,4,8B,ROCK TOP
3588,1793132.77,301389.022,-1.716,4,8B,ROCK TOP
3589,1793132.913,301391.276,-2.805,4,8B,GS
3590,1793080.583,301439.059,-3.189,5,8B,GS
3591,1793079.91,301438.419,-1.938,5,8B,ROCK TOP
3592,1793077.673,301437.294,-1.768,5,8B,ROCK TOP
3593,1793075.653,301434.407,-1.808,5,8B,ROCK TOP
3594,1793073.718,301432.754,-1.901,5,8B,ROCK TOP
3595,1793071.802,301431.009,-1.861,5,8B,ROCK TOP
3596,1793069.936,301428.936,-1.941,5,8B,ROCK TOP
3597,1793068.393,301428.055,-1.878,5,8B,ROCK TOP
3598,1793067.22,301425.588,-1.891,5,8B,ROCK TOP
3599,1793065.396,301423.295,-1.814,5,8B,ROCK TOP
3600,1793064.627,301421.788,-1.874,5,8B,ROCK TOP
3601,1793063.321,301420.111,-1.86,5,8B,ROCK TOP
3602,1793061.533,301418.436,-1.817,5,8B,ROCK TOP
3603,1793060.89,301417.273,-3.119,5,8B,GS
3604,1792991.357,301527.295,-3.054,1,9A,GS
3605,1792992.432,301528.943,-1.64,1,9A,ROCK TOP
3606,1792993.839,301529.758,-1.616,1,9A,ROCK TOP
3607,1792995.927,301530.456,-1.806,1,9A,ROCK TOP
3608,1792999.318,301531.464,-1.619,1,9A,ROCK TOP
3609,1793000.717,301532.56,-1.766,1,9A,ROCK TOP
3610,1793002.807,301533.69,-1.759,1,9A,ROCK TOP
3611,1793004.873,301535.472,-1.89,1,9A,ROCK TOP
3612,1793006.147,301536.719,-1.751,1,9A,ROCK TOP
3613,1793007.998,301538.713,-1.922,1,9A,ROCK TOP
3614,1793009.977,301540.064,-1.887,1,9A,ROCK TOP
3615,1793011.592,301541.291,-1.906,1,9A,ROCK TOP
3616,1793013.319,301541.637,-1.842,1,9A,ROCK TOP
3617,1793015.501,301542.213,-1.864,1,9A,ROCK TOP
3618,1793016.849,301543.576,-1.868,1,9A,ROCK TOP
3619,1793017.784,301544.314,-3.679,1,9A,GS
3620,1793003.51,301569.432,-2.742,2,9A,GS
3621,1793001.32,301567.747,-1.531,2,9A,ROCK TOP
3622,1792999.602,301566.993,-1.449,2,9A,ROCK TOP
3623,1792997.929,301566.575,-1.286,2,9A,ROCK TOP
3624,1792996.442,301564.637,-1.596,2,9A,ROCK TOP
3625,1792995.513,301563.61,-1.491,2,9A,ROCK TOP
3626,1792994.493,301562.823,-1.556,2,9A,ROCK TOP
3627,1792993.313,301561.545,-1.505,2,9A,ROCK TOP
3628,1792991.621,301560.981,-1.586,2,9A,ROCK TOP
3629,1792990.517,301559.912,-1.541,2,9A,ROCK TOP
3630,1792990.082,301558.604,-1.718,2,9A,ROCK TOP
3631,1792988.884,301557.591,-1.779,2,9A,ROCK TOP
3632,1792987.276,301555.752,-1.811,2,9A,ROCK TOP
3633,1792986.13,301554.953,-1.804,2,9A,ROCK TOP
3634,1792984.411,301553.987,-1.595,2,9A,ROCK TOP
3635,1792982.533,301552.427,-1.801,2,9A,ROCK TOP
3636,1792981.263,301550.722,-1.627,2,9A,ROCK TOP
3637,1792978.917,301547.708,-1.552,2,9A,ROCK TOP
3638,1792976.913,301547.023,-1.629,2,9A,ROCK TOP
3639,1792975.441,301546.365,-3.081,2,9A,GS
3640,1792965.033,301569.632,-2.202,3,9A,GS
3641,1792965.985,301570.425,-1.543,3,9A,ROCK TOP
3642,1792967.666,301571.558,-1.723,3,9A,ROCK TOP
3643,1792969.136,301572.358,-1.519,3,9A,ROCK TOP
3644,1792971.716,301573.453,-1.773,3,9A,ROCK TOP
3645,1792973.48,301574.637,-1.665,3,9A,ROCK TOP
3646,1792974.779,301575.843,-1.313,3,9A,ROCK TOP
3647,1792976.374,301576.728,-1.284,3,9A,ROCK TOP
3648,1792977.723,301577.496,-1.33,3,9A,ROCK TOP
3649,1792979.716,301578.898,-1.35,3,9A,ROCK TOP
3650,1792981.309,301580.54,-1.402,3,9A,ROCK TOP
3651,1792983.72,301581.314,-1.621,3,9A,ROCK TOP
3652,1792985.863,301581.666,-1.395,3,9A,ROCK TOP
3653,1792987.141,301582.574,-1.385,3,9A,ROCK TOP
3654,1792988.807,301583.925,-1.343,3,9A,ROCK TOP
3655,1792990.193,301584.509,-1.644,3,9A,ROCK TOP
3656,1792991.786,301584.99,-1.582,3,9A,GS
1263,1792929.481,301625.827,-1.76,1,9B,GS
