Number,X,Y,Elev,Transect,Element,Type
417,1794645.415,300149.923,-2.664,1,2,GS
418,1794642.815,300152.186,-2.438,1,2,GS
419,1794641.952,300143.532,-1.309,1,2,ROCK TOP
420,1794640.84,300150.095,-1.769,1,2,ROCK TOP
421,1794639.66,300150.295,-1.781,1,2,ROCK TOP
422,1794638.625,300146.883,-1.923,1,2,ROCK TOP
423,1794637.3,300146.185,-1.838,1,2,ROCK TOP
424,1794636.37,300143.355,-1.867,1,2,ROCK TOP
425,1794634.287,300140.887,-2.022,1,2,ROCK TOP
426,1794632.806,300139.055,-1.687,1,2,ROCK TOP
427,1794632.024,300135.806,-1.667,1,2,ROCK TOP
428,1794631.854,300130.792,-1.735,1,2,ROCK TOP
429,1794630.22,300128.915,-1.899,1,2,ROCK TOP
430,1794628.593,300127.445,-1.695,1,2,ROCK TOP
431,1794626.365,300126.543,-1.731,1,2,ROCK TOP
432,1794625.256,300125.863,-2.554,1,2,GS
433,1794577.114,300159.914,-2.5,2,2,GS
434,1794577.901,300160.776,-1.756,2,2,ROCK TOP
435,1794579.352,300162.502,-1.706,2,2,ROCK TOP
436,1794579.318,300164.129,-1.646,2,2,ROCK TOP
437,1794580.589,300165.345,-1.758,2,2,ROCK TOP
438,1794582.641,300167.478,-1.386,2,2,ROCK TOP
439,1794582.967,300170.821,-1.626,2,2,ROCK TOP
440,1794585.61,300175.576,-1.447,2,2,ROCK TOP
441,1794583.655,300172.98,-1.92,2,2,ROCK TOP
442,1794584.586,300177.503,-1.743,2,2,ROCK TOP
443,1794585.311,300178.85,-1.519,2,2,ROCK TOP
444,1794586.198,300180.476,-1.492,2,2,ROCK TOP
445,1794586.069,300182.446,-1.526,2,2,ROCK TOP
446,1794587.423,300183.263,-1.277,2,2,ROCK TOP
447,1794588.366,300186.14,-1.37,2,2,ROCK TOP
448,1794589.596,300187.878,-2.043,2,2,GS
449,1794593.31,300184.693,-2.106,2,2,GS
450,1794592.919,300183.367,-1.27,2,2,ROCK TOP
451,1794592.036,300180.625,-1.505,2,2,ROCK TOP
452,1794590.698,300179.907,-1.539,2,2,ROCK TOP
453,1794590.123,300179.265,-1.649,2,2,ROCK TOP
454,1794572.36,300197.978,-2.183,3,2,GS
455,1794572.196,300196.792,-1.554,3,2,ROCK TOP
456,1794571.583,300195.341,-1.309,3,2,ROCK TOP
457,1794570.823,300193.743,-1.348,3,2,ROCK TOP
458,1794570.695,300191.81,-1.58,3,2,ROCK TOP
459,1794569.694,300190.144,-1.745,3,2,ROCK TOP
460,1794569.031,300188.973,-1.799,3,2,ROCK TOP
461,1794568.182,300187.382,-1.668,3,2,ROCK TOP
462,1794568.446,300185.712,-1.801,3,2,ROCK TOP
463,1794567.829,300183.076,-1.772,3,2,ROCK TOP
464,1794564.862,300184.033,-1.748,3,2,ROCK TOP
465,1794564.359,300182.555,-1.71,3,2,ROCK TOP
466,1794564.312,300180.972,-1.946,3,2,ROCK TOP
467,1794563.352,300179.567,-1.565,3,2,ROCK TOP
468,1794563.277,300177.739,-1.698,3,2,ROCK TOP
469,1794561.822,300175.775,-1.832,3,2,ROCK TOP
470,1794561.427,300174.842,-1.893,3,2,ROCK TOP
471,1794559.557,300173.204,-1.563,3,2,ROCK TOP
472,1794560.279,300171.482,-1.84,3,2,ROCK TOP
473,1794557.305,300171.37,-1.759,3,2,ROCK TOP
474,1794557.31,300170.542,-2.844,3,2,GS
475,1794479.175,300221.365,-1.819,4,2,GS
476,1794481.597,300223.535,-1.094,4,2,ROCK TOP
477,1794482.321,300229.819,-0.907,4,2,ROCK TOP
478,1794484.041,300232.954,-0.822,4,2,ROCK TOP
479,1794488.938,300242.715,-1.246,4,2,ROCK TOP
480,1794479.286,300222.883,-1.615,4,2,GS
481,1794480.635,300228.214,-1.483,4,2,ROCK TOP
482,1794482.679,300233.967,-1.541,4,2,ROCK TOP
483,1794485.858,300239.754,-1.625,4,2,ROCK TOP
484,1794487.619,300243.32,-1.572,4,2,ROCK TOP
485,1794488.633,300247.683,-1.608,4,2,ROCK TOP
