Obs,N,E,Elev,Type,Transect
256,1790024.763,304173.2125,-2.86813,GS,1
257,1790029.701,304178.4726,-1.72266,GS ROCK,1
258,1790031.303,304178.9574,-1.71312,GS ROCK,1
259,1790031.764,304179.443,-1.49907,GS ROCK,1
260,1790032.368,304180.8823,-1.89724,GS ROCK,1
261,1790033.096,304183.5509,-1.66525,GS ROCK,1
262,1790033.958,304185.2752,-1.91326,GS ROCK,1
263,1790034.901,304186.1904,-1.95208,GS ROCK,1
264,1790035.384,304187.5559,-1.90567,GS ROCK,1
265,1790035.86,304188.5825,-1.80231,GS ROCK,1
266,1790036.559,304191.1379,-1.87761,GS ROCK,1
267,1790038.193,304191.6881,-1.60963,GS ROCK,1
268,1790038.805,304192.6098,-1.77775,GS ROCK,1
269,1790039.69,304193.5784,-2.248,GS ROCK,1
270,1790041.278,304195.1146,-2.0544,GS ROCK,1
271,1790042.371,304196.6997,-2.82404,GS,1
272,1790073.445,304137.5569,-2.95608,GS,2
273,1790073.993,304138.9351,-2.11504,GS ROCK,2
274,1790075.19,304139.7953,-2.09966,GS ROCK,2
275,1790075.612,304140.2579,-2.01976,GS ROCK,2
276,1790076.316,304141.2217,-2.02504,GS ROCK,2
277,1790077.441,304142.8069,-2.08181,GS ROCK,2
278,1790077.807,304143.5631,-1.96247,GS ROCK,2
279,1790078.198,304144.7947,-1.99677,GS ROCK,2
280,1790078.962,304145.357,-2.02852,GS ROCK,2
281,1790080.349,304146.1274,-1.95117,GS ROCK,2
282,1790081.409,304146.1604,-2.02814,GS ROCK,2
283,1790082.22,304147.7077,-1.95855,GS ROCK,2
284,1790082.985,304148.4283,-1.68335,GS ROCK,2
285,1790083.254,304148.6289,-1.64333,GS ROCK,2
286,1790083.798,304149.5156,-1.7448,GS ROCK,2
287,1790084.713,304150.1419,-1.6259,GS ROCK,2
288,1790084.794,304151.2848,-1.95695,GS ROCK,2
289,1790086.038,304151.7743,-1.82181,GS ROCK,2
290,1790086.605,304153.1582,-1.87241,GS ROCK,2
291,1790087.188,304153.1627,-1.72421,GS ROCK,2
292,1790088.145,304153.5879,-1.90875,GS ROCK,2
293,1790088.441,304154.2523,-1.81387,GS ROCK,2
294,1790089.062,304155.3834,-1.65261,GS ROCK,2
295,1790089.502,304155.9375,-1.9072,GS ROCK,2
296,1790090.181,304156.3516,-1.56822,GS ROCK,2
297,1790090.669,304156.9115,-1.72124,GS ROCK,2
298,1790091.513,304158.0534,-1.67966,GS ROCK,2
299,1790091.889,304158.3296,-1.90676,GS ROCK,2
300,1790092.373,304159.2373,-2.38747,GS ROCK,2
301,1790092.866,304159.6475,-2.91253,GS,2
302,1790144.09,304118.8109,-2.67421,GS,3
303,1790143.294,304118.7544,-2.04112,GS ROCK,3
304,1790142.165,304117.2156,-1.56893,GS ROCK,3
305,1790142.077,304116.5802,-2.05598,GS ROCK,3
306,1790141.975,304116.1367,-1.76124,GS ROCK,3
307,1790142.068,304114.4045,-1.58606,GS ROCK,3
308,1790141.794,304113.4965,-1.5436,GS ROCK,3
309,1790140.428,304110.5318,-1.74976,GS ROCK,3
310,1790139.028,304110.3321,-2.02521,GS ROCK,3
311,1790137.671,304108.8981,-2.19247,GS ROCK,3
312,1790137.866,304107.8147,-2.29873,GS ROCK,3
