Date,Num,N,E,Elev,Transect,Element_id,Type
7/31/2018,5,1790988.082,303420.066,-1.673,9,11b,GS ROCK
7/31/2018,6,1790987.853,303418.649,-2.144,9,11b,GS ROCK
7/31/2018,7,1790985.472,303417.412,-2.206,9,11b,GS ROCK
7/31/2018,8,1790983.192,303416.954,-2.146,9,11b,GS ROCK
7/31/2018,9,1790981.15,303416.219,-1.982,9,11b,GS ROCK
7/31/2018,10,1790981.808,303414.191,-1.977,9,11b,GS ROCK
7/31/2018,11,1790980.108,303414.394,-1.95,9,11b,GS ROCK
7/31/2018,12,1790979.267,303413.242,-2.118,9,11b,GS ROCK
7/31/2018,13,1790979.129,303411.083,-2.177,9,11b,GS ROCK
7/31/2018,14,1790977.371,303409.784,-2.021,9,11b,GS ROCK
7/31/2018,15,1790974.958,303411.194,-1.332,9,11b,GS ROCK
7/31/2018,16,1790976.799,303408.005,-1.818,9,11b,GS ROCK
7/31/2018,17,1790974.517,303407.715,-1.864,9,11b,GS ROCK
7/31/2018,18,1790972.814,303406.493,-2.056,9,11b,GS ROCK
7/31/2018,19,1790973.238,303405.053,-1.902,9,11b,GS ROCK
7/31/2018,20,1790971.862,303405.806,-2.006,9,11b,GS ROCK
7/31/2018,25,1791008.836,303405.031,-1.757,8,11b,GS ROCK
7/31/2018,26,1791006.586,303401.965,-1.666,8,11b,GS ROCK
7/31/2018,27,1791002.957,303402.927,-1.936,8,11b,GS ROCK
7/31/2018,28,1791004.221,303399.812,-2.025,8,11b,GS ROCK
7/31/2018,29,1791002.834,303399.666,-2.123,8,11b,GS ROCK
7/31/2018,32,1790999.97,303394.516,-1.759,8,11b,GS ROCK
7/31/2018,33,1790998.159,303393.182,-1.802,8,11b,GS ROCK
7/31/2018,34,1790998.039,303391.379,-1.51,8,11b,GS ROCK
7/31/2018,35,1790995.968,303390.302,-1.999,8,11b,GS ROCK
7/31/2018,36,1790993.987,303387.954,-1.582,8,11b,GS ROCK
7/31/2018,37,1790993.964,303385.336,-1.955,8,11b,GS ROCK
7/31/2018,40,1791017.374,303362.288,-1.611,7,11b,GS ROCK
7/31/2018,41,1791017.946,303363.483,-1.673,7,11b,GS ROCK
7/31/2018,42,1791018.291,303364.731,-2.043,7,11b,GS ROCK
7/31/2018,43,1791019.886,303366.056,-2.033,7,11b,GS ROCK
7/31/2018,44,1791019.152,303367.475,-1.689,7,11b,GS ROCK
7/31/2018,45,1791019.77,303368.667,-1.765,7,11b,GS ROCK
7/31/2018,46,1791021.324,303368.374,-1.328,7,11b,GS ROCK
7/31/2018,47,1791022.502,303369.247,-1.499,7,11b,GS ROCK
7/31/2018,48,1791022.944,303370.624,-1.22,7,11b,GS ROCK
7/31/2018,49,1791023.993,303371.119,-1.256,7,11b,GS ROCK
7/31/2018,50,1791023.975,303372.243,-1.338,7,11b,GS ROCK
7/31/2018,51,1791024.409,303372.815,-1.275,7,11b,GS ROCK
7/31/2018,52,1791025.219,303373.863,-1.462,7,11b,GS ROCK
7/31/2018,53,1791024.744,303375.361,-1.372,7,11b,GS ROCK
7/31/2018,54,1791025.872,303375.812,-1.827,7,11b,GS ROCK
7/31/2018,55,1791028.732,303374.722,-1.467,7,11b,GS ROCK
7/31/2018,56,1791027.904,303376.456,-1.86,7,11b,GS ROCK
7/31/2018,57,1791029.403,303376.182,-1.611,7,11b,GS ROCK
7/31/2018,58,1791029.731,303377.668,-1.756,7,11b,GS ROCK
7/31/2018,59,1791030.714,303378.675,-1.707,7,11b,GS ROCK
7/31/2018,60,1791031.957,303379.459,-1.75,7,11b,GS ROCK
7/31/2018,61,1791033.416,303379.516,-1.522,7,11b,GS ROCK
7/31/2018,62,1791033.954,303380.773,-1.841,7,11b,GS ROCK
7/31/2018,63,1791035.028,303382.096,-1.469,7,11b,GS ROCK
7/31/2018,64,1791036.585,303383.543,-2.128,7,11b,GS ROCK
7/31/2018,67,1791077.374,303348.362,-1.554,6,11b,GS ROCK
7/31/2018,68,1791076.199,303346.664,-1.252,6,11b,GS ROCK
7/31/2018,69,1791076.506,303342.827,-1.304,6,11b,GS ROCK
7/31/2018,70,1791074.227,303342.116,-2.015,6,11b,GS ROCK
7/31/2018,71,1791073.752,303340.246,-1.663,6,11b,GS ROCK
7/31/2018,72,1791072.233,303337.317,-1.708,6,11b,GS ROCK
7/31/2018,73,1791071.657,303336.462,-1.641,6,11b,GS ROCK
7/31/2018,74,1791070.629,303335.621,-1.483,6,11b,GS ROCK
7/31/2018,75,1791070.441,303332.671,-1.627,6,11b,GS ROCK
7/31/2018,76,1791068.351,303332.492,-1.389,6,11b,GS ROCK
7/31/2018,77,1791067.279,303331.581,-1.326,6,11b,GS ROCK
7/31/2018,78,1791065.658,303329.141,-1.781,6,11b,GS ROCK
7/31/2018,79,1791066.464,303326.963,-1.721,6,11b,GS ROCK
7/31/2018,80,1791065.141,303325.369,-1.724,6,11b,GS ROCK
7/31/2018,81,1791063.35,303323.836,-1.505,6,11b,GS ROCK
7/31/2018,85,1791093.469,303299.361,-1.443,5,11b,GS ROCK
7/31/2018,86,1791095.915,303300.052,-1.412,5,11b,GS ROCK
7/31/2018,87,1791096.284,303301.594,-1.298,5,11b,GS ROCK
7/31/2018,88,1791096.932,303301.59,-1.456,5,11b,GS ROCK
7/31/2018,89,1791098.689,303301.249,-1.548,5,11b,GS ROCK
7/31/2018,90,1791098.896,303303.067,-1.438,5,11b,GS ROCK
7/31/2018,91,1791101.178,303303.692,-1.452,5,11b,GS ROCK
7/31/2018,92,1791099.643,303305.621,-1.609,5,11b,GS ROCK
7/31/2018,93,1791102.802,303305.921,-1.712,5,11b,GS ROCK
7/31/2018,94,1791101.429,303308.45,-1.752,5,11b,GS ROCK
7/31/2018,95,1791101.98,303309.608,-1.301,5,11b,GS ROCK
7/31/2018,96,1791103.447,303311.042,-1.258,5,11b,GS ROCK
7/31/2018,97,1791103.201,303312.506,-1.467,5,11b,GS ROCK
7/31/2018,98,1791104.194,303313.951,-1.468,5,11b,GS ROCK
7/31/2018,99,1791105.882,303313.203,-1.516,5,11b,GS ROCK
7/31/2018,100,1791106.773,303314.452,-1.373,5,11b,GS ROCK
7/31/2018,101,1791106.318,303316.532,-1.661,5,11b,GS ROCK
7/31/2018,102,1791107.515,303317.555,-1.79,5,11b,GS ROCK
7/31/2018,103,1791107.966,303319.021,-1.743,5,11b,GS ROCK
7/31/2018,106,1791146.152,303282.979,-1.344,4,11b,GS ROCK
7/31/2018,107,1791143.25,303282.053,-1.091,4,11b,GS ROCK
7/31/2018,108,1791141.34,303278.977,-1.608,4,11b,GS ROCK
7/31/2018,109,1791139.252,303279.035,-1.386,4,11b,GS ROCK
7/31/2018,110,1791137.476,303278.903,-1.413,4,11b,GS ROCK
7/31/2018,111,1791134.871,303278.963,-1.183,4,11b,GS ROCK
7/31/2018,112,1791135.236,303276.719,-1.024,4,11b,GS ROCK
7/31/2018,113,1791134.111,303276.094,-0.843,4,11b,GS ROCK
7/31/2018,114,1791133.074,303274.677,-1.249,4,11b,GS ROCK
7/31/2018,115,1791132.909,303272.941,-1.653,4,11b,GS ROCK
7/31/2018,116,1791132.001,303272.162,-1.179,4,11b,GS ROCK
7/31/2018,117,1791132.211,303270.196,-1.151,4,11b,GS ROCK
7/31/2018,118,1791130.617,303268.437,-1.028,4,11b,GS ROCK
7/31/2018,119,1791129.263,303267.644,-0.788,4,11b,GS ROCK
7/31/2018,120,1791130.059,303265.828,-0.63,4,11b,GS ROCK
7/31/2018,121,1791129.977,303263.161,-1.296,4,11b,GS ROCK
7/31/2018,122,1791130.55,303260.125,-1.423,4,11b,GS ROCK
7/31/2018,125,1791184.668,303205.593,-1.422,3,11b,GS ROCK
7/31/2018,126,1791186.34,303206.744,-1.44,3,11b,GS ROCK
7/31/2018,127,1791187.202,303207.541,-1.007,3,11b,GS ROCK
7/31/2018,128,1791187.311,303210.17,-1.116,3,11b,GS ROCK
7/31/2018,129,1791190.243,303213.397,-1.684,3,11b,GS ROCK
7/31/2018,130,1791191.272,303213.923,-1.206,3,11b,GS ROCK
7/31/2018,131,1791193.028,303214.269,-1.484,3,11b,GS ROCK
7/31/2018,132,1791193.986,303215.747,-1.597,3,11b,GS ROCK
7/31/2018,133,1791194.726,303216.616,-1.239,3,11b,GS ROCK
7/31/2018,134,1791197.314,303216.198,-1.557,3,11b,GS ROCK
7/31/2018,135,1791197.954,303218.187,-1.232,3,11b,GS ROCK
7/31/2018,136,1791197.379,303219.329,-0.667,3,11b,GS ROCK
7/31/2018,137,1791198.931,303220.46,-0.889,3,11b,GS ROCK
7/31/2018,138,1791200.955,303219.64,-1.107,3,11b,GS ROCK
7/31/2018,139,1791200.671,303221.833,-1.547,3,11b,GS ROCK
7/31/2018,140,1791200.817,303222.994,-1.017,3,11b,GS ROCK
7/31/2018,141,1791200.628,303224.253,-1.169,3,11b,GS ROCK
7/31/2018,142,1791203.92,303225.8,-1.201,3,11b,GS ROCK
7/31/2018,146,1791229.983,303198.523,-1.203,2,11b,GS ROCK
7/31/2018,147,1791228.492,303196.736,-1.501,2,11b,GS ROCK
7/31/2018,148,1791227.409,303196.435,-1.619,2,11b,GS ROCK
7/31/2018,149,1791225.996,303195.366,-1.442,2,11b,GS ROCK
