Reference,Project_1,Project_2,Project_3,WorkUp,Gear,Rep,Longitude,Latitude,StartDepth,Zone,Grid,BottomVegCover,TotalShoreCover,BankDistance,ShoreDistance,Historic_Reference,Wng_dpth,Enddepth,Net_Ind,starttime,date,month,year,bay,typ,cf,gr,effort,z,bMud,bSan,bStr,bottom,bunk,SAV,Non,Alg,Oth,bveg,Eme,Str,Ter,Man,Shore,ovr_per,ind_per,temperature,salinity,bio_reference,species,n,number
CKM1997031101,AM,.,.,S,160,1,-83.016167,29.065333,1.2,C,387,75,NA,80,10,CKG970012,0.5,NA,.,37200,13584,3,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,75,0,0,NA,SAV,0,0,0,0,Non,NA,NA,22.9,33,CKM1997031101. .,8835010105,0,0
CKM1997031102,AM,.,.,S,160,1,-83.06,29.097667,1.9,C,336,50,NA,85,80,CKG970013,0.5,NA,.,40800,13584,3,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,50,0,0,NA,SAV,10,0,0,0,Eme,NA,NA,23.7,32,CKM1997031102. .,8835010105,0,0
CKM1997031103,AM,.,.,S,160,1,-83.067,29.0965,1.3,C,335,50,NA,5,0,CKG970014,0,NA,.,45900,13584,3,1997,CK,M,1,160,41.2,CKC,0,1,0,San,0,50,0,0,NA,SAV,10,0,0,0,Eme,NA,NA,23.2,32,CKM1997031103. .,8835010105,0,0
CKM1997031104,AM,.,.,S,160,1,-83.0555,29.130167,1.2,C,289,0,NA,10,0,CKG970015,1.2,NA,.,50100,13584,3,1997,CK,M,1,160,41.2,CKC,1,0,0,Mud,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,24.6,30,CKM1997031104. .,8835010105,0,0
CKM1997033101,AM,.,.,S,160,1,-83.016167,29.148,0.7,C,269,0,NA,15,0,CKG970016,0,NA,.,38100,13604,3,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,23.1,25.6,CKM1997033101. .,8835010105,0,0
CKM1997042301,AM,.,.,S,160,1,-83.014833,29.141167,1.3,C,269,0,NA,0,0,CKG970017,0.1,NA,.,46800,13627,4,1997,CK,M,1,160,41.2,CKC,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,22.5,27,CKM1997042301. .,8835010105,0,0
CKM1997042302,AM,.,.,S,160,1,-83.030833,29.1265,1,C,291,0,NA,0,0,CKG970018,0,NA,.,51300,13627,4,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,22.7,28.3,CKM1997042302. .,8835010105,0,0
CKM1997042401,AM,.,.,S,160,1,-83.0745,29.147167,0.7,C,265,20,NA,2,0,CKG970019,0,NA,.,31500,13628,4,1997,CK,M,1,160,41.2,CKC,1,0,1,MudStr,0,20,0,0,NA,SAV,0,3,0,0,Str,NA,NA,20.1,24,CKM1997042401. .,8835010105,0,0
CKM1997042404,AM,.,.,S,160,1,-83.084333,29.124,1,C,287,90,NA,20,1,CKG970020,0.1,NA,.,37800,13628,4,1997,CK,M,1,160,41.2,CKC,1,0,1,MudStr,0,90,0,0,NA,SAV,4,6,0,0,EmeStr,NA,NA,21.6,28.5,CKM1997042404. .,8835010105,0,0
CKM1997042406,AM,.,.,S,160,1,-83.0805,29.201167,1,B,189,0,NA,5,0,CKG970021,0,NA,.,43200,13628,4,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,7,0,0,0,Eme,NA,NA,22,10.7,CKM1997042406. .,8835010105,0,0
CKM1997042408,AM,.,.,S,160,1,-83.060833,29.183667,1.2,B,199,0,NA,8,0,CKG970022,0,NA,.,48600,13628,4,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,0,0,8,0,Ter,NA,NA,22.2,15.4,CKM1997042408. .,8835010105,0,0
CKM1997042409,AM,.,.,S,160,1,-83.015333,29.154,1.7,C,246,0,NA,1,0,CKG970023,0,NA,.,57600,13628,4,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,0,0,0,NA,Non,0,0,8,0,Ter,NA,NA,23,29.7,CKM1997042409. .,8835010105,0,0
CKM1997042501,AM,.,.,S,160,1,-83.151833,29.328667,1.2,B,109,0,NA,0,0,CKG970024,0.1,NA,.,34800,13629,4,1997,CK,M,1,160,41.2,CKB,1,0,0,Mud,0,0,0,0,NA,Non,9,0,0,0,Eme,NA,NA,21.7,2.2,CKM1997042501. .,8835010105,0,0
CKM1997042502,AM,.,.,S,160,1,-83.168167,29.328,1.3,B,108,0,NA,0,0,CKG970025,0.2,NA,.,44100,13629,4,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,23.2,9.4,CKM1997042502. .,8835010105,0,0
CKM1997042503,AM,.,.,S,160,1,-83.107833,29.2715,1.8,B,141,0,NA,0,0,CKG970026,0.5,NA,.,50100,13629,4,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,23.8,1,CKM1997042503. .,8835010105,0,0
CKM1997051401,AM,.,.,S,160,1,-83.188,29.358667,1,B,89,0,NA,3,0,CKG970027,0,NA,.,34200,13648,5,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,23.4,19,CKM1997051401. .,8835010105,0,0
CKM1997051402,AM,.,.,S,160,1,-83.2725,29.3355,1,B,99,0,NA,0,0,CKG970028,0,NA,.,37500,13648,5,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,24,16.5,CKM1997051402. .,8835010105,0,0
CKM1997051403,AM,.,.,S,160,1,-83.1725,29.3125,0.8,B,117,0,NA,0,0,CKG970029,0.1,NA,.,40200,13648,5,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,24.3,11.2,CKM1997051403. .,8835010105,0,0
CKM1997051403,AM,.,.,S,160,1,-83.1725,29.3125,0.8,B,117,0,NA,0,0,CKG970029,0.1,NA,.,40200,13648,5,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,24.3,11.2,CKM1997051403A .,8835010105,0,0
CKM1997051403,AM,.,.,S,160,1,-83.1725,29.3125,0.8,B,117,0,NA,0,0,CKG970029,0.1,NA,.,40200,13648,5,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,24.3,11.2,CKM1997051403B .,8835010105,0,0
CKM1997051404,AM,.,.,S,160,1,-83.169833,29.2905,1,B,126,0,NA,0,0,CKG970030,0,NA,.,46500,13648,5,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,23.9,1,CKM1997051404. .,8835010105,0,0
CKM1997051404,AM,.,.,S,160,1,-83.169833,29.2905,1,B,126,0,NA,0,0,CKG970030,0,NA,.,46500,13648,5,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,23.9,1,CKM1997051404A .,8835010105,0,0
CKM1997051404,AM,.,.,S,160,1,-83.169833,29.2905,1,B,126,0,NA,0,0,CKG970030,0,NA,.,46500,13648,5,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,23.9,1,CKM1997051404B .,8835010105,0,0
CKM1997051405,AM,.,.,S,160,1,-83.164833,29.288167,2.4,B,127,0,NA,0,0,CKG970031,0.3,NA,.,52200,13648,5,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,24.6,0.7,CKM1997051405. .,8835010105,0,0
CKM1997051405,AM,.,.,S,160,1,-83.164833,29.288167,2.4,B,127,0,NA,0,0,CKG970031,0.3,NA,.,52200,13648,5,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,24.6,0.7,CKM1997051405A .,8835010105,0,0
CKM1997051405,AM,.,.,S,160,1,-83.164833,29.288167,2.4,B,127,0,NA,0,0,CKG970031,0.3,NA,.,52200,13648,5,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,24.6,0.7,CKM1997051405B .,8835010105,0,0
CKM1997052001,AM,.,.,S,160,1,-83.033333,29.128333,2,C,290,0,NA,8,0,CKG970032,0,NA,.,28800,13654,5,1997,CK,M,1,160,41.2,CKC,0,1,0,San,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,27.2,26.3,CKM1997052001. .,8835010105,0,0
CKM1997052002,AM,.,.,S,160,1,-83.016833,29.140833,2,C,268,0,NA,2,0,CKG970033,0,NA,.,31500,13654,5,1997,CK,M,1,160,41.2,CKC,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,27,25.1,CKM1997052002. .,8835010105,0,0
CKM1997052003,AM,.,.,S,160,1,-83.148333,29.141667,0.9,C,269,0,NA,5,0,CKG970034,0,NA,.,39900,13654,5,1997,CK,M,1,160,41.2,CKC,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,27.7,25.7,CKM1997052003. .,8835010105,0,0
CKM1997052004,AM,.,.,S,160,1,-83.034167,29.097667,1,C,337,80,NA,0,0,CKG970035,0.3,NA,.,43800,13654,5,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,80,0,0,NA,SAV,10,0,0,0,Eme,NA,NA,27.5,30.5,CKM1997052004. .,8835010105,0,0
CKM1997052005,AM,.,.,S,160,1,-83.0505,29.127,1.7,C,289,0,NA,1,0,CKG970036,0,NA,.,47700,13654,5,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,27.6,28.9,CKM1997052005. .,8835010105,0,0
CKM1997061101,AM,.,.,S,160,1,-83.176333,29.343333,1,B,99,0,NA,0,0,CKG970037,0.2,NA,.,34800,13676,6,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,23.5,19.1,CKM1997061101. .,8835010105,0,0
CKM1997061103,AM,.,.,S,160,1,-83.157,29.29,0.9,B,127,0,NA,0,0,CKG970038,0.4,NA,.,45000,13676,6,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,25.9,0.5,CKM1997061103. .,8835010105,0,0
CKM1997061104,AM,.,.,S,160,1,-83.143667,29.287833,0.9,B,128,0,NA,0,0,CKG970039,0.4,NA,.,49800,13676,6,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,26.4,9.7,CKM1997061104. .,8835010105,0,0
CKM1997061201,AM,.,.,S,160,1,-83.035,29.095833,1.1,C,337,75,NA,0,0,CKG970040,0.5,NA,.,28800,13677,6,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,75,0,0,NA,SAV,10,0,0,0,Eme,NA,NA,25.4,31.3,CKM1997061201. .,8835010105,0,0
CKM1997061202,AM,.,.,S,160,1,-83.0105,29.156333,1,C,246,0,NA,0,0,CKG970041,0,NA,.,32400,13677,6,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,0,0,0,NA,Non,8,0,0,0,Eme,NA,NA,25.7,28.7,CKM1997061202. .,8835010105,0,0
CKM1997061203,AM,.,.,S,160,1,-83.054167,29.1835,0.8,B,199,0,NA,0,0,CKG970042,0.3,NA,.,39000,13677,6,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,26.5,24.9,CKM1997061203. .,8835010105,0,0
CKM1997061204,AM,.,.,S,160,1,-83.0665,29.182333,1,C,217,0,NA,0,0,CKG970043,0,NA,.,42300,13677,6,1997,CK,M,1,160,41.2,CKC,1,0,1,MudStr,0,0,0,0,NA,Non,5,5,0,0,EmeStr,NA,NA,27.5,26.9,CKM1997061204. .,8835010105,0,0
CKM1997061205,AM,.,.,S,160,1,-83.0845,29.123167,0.8,C,287,90,NA,0,0,CKG970044,0,NA,.,49200,13677,6,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,90,0,0,NA,SAV,0,0,0,0,Non,NA,NA,30.5,31,CKM1997061205. .,8835010105,0,0
CKM1997061206,AM,.,.,S,160,1,-83.073167,29.147333,1.3,C,265,0,NA,0,0,CKG970045,0,NA,.,54000,13677,6,1997,CK,M,1,160,41.2,CKC,1,0,1,MudStr,0,0,0,0,NA,Non,2,8,0,0,EmeStr,NA,NA,29.6,30.5,CKM1997061206. .,8835010105,0,0
CKM1997061901,AM,.,.,S,160,1,-83.053833,29.230167,1.1,B,179,0,NA,0,0,CKG970046,0.5,NA,.,38700,13684,6,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,29,13.2,CKM1997061901. .,8835010105,0,0
CKM1997071401,AM,.,.,S,160,1,-83.201833,29.366,1.3,B,88,0,NA,2,2,CKG970047,0.1,NA,.,35400,13709,7,1997,CK,M,1,160,41.2,CKB,0,1,0,San,0,0,0,0,NA,Non,7,0,0,0,Eme,NA,NA,29,18.2,CKM1997071401. .,8835010105,0,0
CKM1997071404,AM,.,.,S,160,1,-83.169667,29.2895,0.9,B,126,0,NA,0,0,CKG970048,0.1,NA,.,49200,13709,7,1997,CK,M,1,160,41.2,CKB,1,1,0,MudSan,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,30.6,14.7,CKM1997071404. .,8835010105,0,0
CKM1997071405,AM,.,.,S,160,1,-83.138667,29.283833,0.7,B,128,0,NA,0,0,CKG970049,0,NA,.,52500,13709,7,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,31.5,7.3,CKM1997071405. .,8835010105,0,0
CKM1997071501,AM,.,.,S,160,1,-83.058,29.229833,1.1,B,179,0,NA,0,0,CKG970050,0.3,NA,.,31800,13710,7,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,29.8,16.6,CKM1997071501. .,8835010105,0,0
CKM1997071504,AM,.,.,S,160,1,-83.076833,29.256833,1,B,154,0,NA,1,1,CKG970051,0.2,NA,.,45600,13710,7,1997,CK,M,1,160,41.2,CKB,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,31.8,16.5,CKM1997071504. .,8835010105,0,0
CKM1997072101,AM,.,.,S,160,1,-83.014667,29.141667,0.8,C,269,0,NA,3,0,CKG970052,0,NA,.,37860,13716,7,1997,CK,M,1,160,41.2,CKC,1,0,1,MudStr,0,0,0,0,NA,Non,10,0,0,0,Eme,NA,NA,28.3,28,CKM1997072101. .,8835010105,0,0
CKM1997072102,AM,.,.,S,160,1,-83.0905,29.123,1,C,287,90,NA,3,0,CKG970053,0,NA,.,42000,13716,7,1997,CK,M,1,160,41.2,CKC,0,1,0,San,0,90,0,0,NA,SAV,0,0,2,0,Ter,NA,NA,28.5,30.4,CKM1997072102. .,8835010105,0,0
CKM1997072201,AM,.,.,S,160,1,-83.0325,29.095333,1.2,C,338,95,NA,0,0,CKG970054,0.5,NA,.,46800,13717,7,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,95,0,0,NA,SAV,10,0,0,0,Eme,NA,NA,30.5,33.1,CKM1997072201. .,8835010105,0,0
CKM1997072201,AM,.,.,S,160,1,-83.0325,29.095333,1.2,C,338,95,NA,0,0,CKG970054,0.5,NA,.,46800,13717,7,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,95,0,0,NA,SAV,10,0,0,0,Eme,NA,NA,30.5,33.1,CKM1997072201A .,8835010105,0,0
CKM1997072201,AM,.,.,S,160,1,-83.0325,29.095333,1.2,C,338,95,NA,0,0,CKG970054,0.5,NA,.,46800,13717,7,1997,CK,M,1,160,41.2,CKC,1,1,0,MudSan,0,95,0,0,NA,SAV,10,0,0,0,Eme,NA,NA,30.5,33.1,CKM1997072201B .,8835010105,0,0
CKM1997072202,AM,.,.,S,160,1,-83.0705,29.0965,1.3,C,335,90,NA,0,0,CKG970055,0,NA,.,51600,13717,7,1997,CK,M,1,160,41.2,CKC,0,1,0,San,0,90,0,0,NA,SAV,0,0,0,0,Non,NA,NA,32.4,32.2,CKM1997072202. .,8835010105,0,0
CKM1997072202,AM,.,.,S,160,1,-83.0705,29.0965,1.3,C,335,90,NA,0,0,CKG970055,0,NA,.,51600,13717,7,1997,CK,M,1,160,41.2,CKC,0,1,0,San,0,90,0,0,NA,SAV,0,0,0,0,Non,NA,NA,32.4,32.2,CKM1997072202A .,8835010105,0,0
