Site,Date_MM_DD_YYYY,Time,Recorder,Site,Latitude,Longitude,Dist_shore_ft,Counter,Quad_type,Quad_area_m,Quad_depth_m,Status_Live_Dead,Count_0.25m
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,PF,Grub,0.25,0.1,L,162
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,SH,Grub,0.25,0.1,L,15
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,PF,Grub,0.25,0.1,D,40
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,SH,Grub,0.25,0.1,D,9.5
2,1/17/2018,9:03,mel,CKNB,29.15781,83.054575,100,PF,Grub,0.25,0.1,L,104
2,1/17/2018,9:03,mel,CKNB,29.15781,83.054575,100,SH,Grub,0.25,0.1,L,67
2,1/17/2018,9:03,mel,CKNB,29.15781,83.054575,100,PF,Grub,0.25,0.1,D,9
2,1/17/2018,9:03,mel,CKNB,29.15781,83.054575,100,SH,Grub,0.25,0.1,D,9
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,PF,Grub,0.25,0.1,L,3
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,SH,Grub,0.25,0.1,L,3
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,PF,Grub,0.25,0.1,D,0
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,SH,Grub,0.25,0.1,D,0
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,PF,Grub,0.25,0.1,L,67
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,SH,Grub,0.25,0.1,L,61
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,PF,Grub,0.25,0.1,D,2
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,SH,Grub,0.25,0.1,D,1
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,PF,Grub,0.25,0.1,L,15
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,SH,Grub,0.25,0.1,L,13
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,PF,Grub,0.25,0.1,D,0
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,SH,Grub,0.25,0.1,D,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
