"Year","Locality","Substation","Season","count"
"2010","LC","LCO3","Summer",5
"2010","LC","LCO8A","Summer",5
"2010","LC","LCO9B","Summer",4
"2010","LC","LCO9B","Winter",1
"2011","LC","LCO3","Summer",1
"2011","LC","LCO8A","Summer",1
"2011","LC","LCO9B","Summer",1
"2012","LC","LCO3","Summer",1
"2012","LC","LCO8A","Winter",1
"2012","LC","LCO9B","Summer",1
"2013","LC","LCO10A","Summer",3
"2013","LC","LCO10B","Summer",3
"2013","LC","LCO11A","Summer",3
"2013","LC","LCO11B","Summer",3
"2013","LC","LCO12","Summer",3
"2013","LC","LCO8B","Summer",3
"2013","LC","LCO9A","Summer",3
"2013","LC","LCO9C","Summer",3
"2014","LC","LCO10A","Summer",2
"2014","LC","LCO10A","Winter",1
"2014","LC","LCO10B","Summer",2
"2014","LC","LCO10B","Winter",1
"2014","LC","LCO11A","Summer",3
"2014","LC","LCO11B","Summer",2
"2014","LC","LCO11B","Winter",1
"2014","LC","LCO12","Winter",1
"2014","LC","LCO8B","Summer",2
"2014","LC","LCO8B","Winter",1
"2014","LC","LCO9A","Summer",2
"2014","LC","LCO9A","Winter",1
"2014","LC","LCO9C","Summer",3
"2015","LC","LCO10A","Summer",3
"2015","LC","LCO10B","Summer",3
"2015","LC","LCO11A","Summer",3
"2015","LC","LCO11B","Summer",3
"2015","LC","LCO12","Summer",5
"2015","LC","LCO8B","Summer",3
"2015","LC","LCO9A","Summer",3
"2015","LC","LCO9C","Summer",3
"2017","LC","LCO10A","Summer",3
"2017","LC","LCO10B","Summer",2
"2017","LC","LCO10B","Winter",1
"2017","LC","LCO11A","Summer",2
"2017","LC","LCO11A","Winter",1
"2017","LC","LCO11B","Summer",2
"2017","LC","LCO11B","Winter",1
"2017","LC","LCO12","Summer",3
"2017","LC","LCO8B","Summer",2
"2017","LC","LCO8B","Winter",1
"2017","LC","LCO9A","Summer",2
"2017","LC","LCO9A","Winter",1
"2017","LC","LCO9C","Summer",2
"2017","LC","LCO9C","Winter",1
