Date,Recorder,Station,Above/Below,Number,Height_mm,Wet_weight_g,Dry_wt_48,Dry_wt_72,Dry_wt_96,Dry_wt_168
1/17/2018,BP,CKIA,a,1,37,3.04,1.51,1.51,1.51,1.51
1/17/2018,BP,CKIA,a,2,38,2.56,1.46,1.49,1.47,1.48
1/17/2018,BP,CKIA,a,3,51.7,3.65,1.52,1.5,1.5,1.5
1/17/2018,BP,CKIA,a,4,54,3.12,1.48,1.51,1.5,1.51
1/17/2018,BP,CKIA,a,5,40,2.69,1.46,1.46,1.45,1.46
1/17/2018,BP,CKIA,a,6,43,3.49,1.63,1.62,1.6,1.62
1/17/2018,BP,CKIA,a,7,86,11.33,2.27,2.26,2.26,2.27
1/17/2018,BP,CKIA,a,8,20,1.38,1.29,1.29,1.28,1.29
1/17/2018,BP,CKIA,a,9,22,1.77,1.35,1.36,1.36,1.37
1/17/2018,BP,CKIA,a,10,41,2.58,1.45,1.44,1.44,1.44
1/17/2018,BP,CKIA,a,11,31,1.92,1.36,1.35,1.35,1.35
1/17/2018,BP,CKIA,a,12,63,6.63,2.06,2.05,2.05,2.06
1/17/2018,BP,CKIA,a,13,61,4.07,1.66,1.65,1.65,1.64
1/17/2018,BP,CKIA,a,14,29,1.59,1.3,1.32,1.31,1.33
1/17/2018,BP,CKIA,a,15,39,2.72,1.53,1.53,1.53,1.53
1/17/2018,BP,CKIA,a,16,24,1.54,1.32,1.32,1.32,1.32
1/17/2018,BP,CKIA,a,17,42,6.15,1.75,1.73,1.74,1.74
1/17/2018,BP,CKIA,a,18,32,2.25,1.41,1.4,1.41,1.41
1/17/2018,BP,CKIA,a,19,57,5.12,1.69,1.67,1.67,1.68
1/17/2018,BP,CKIA,a,20,62,4.4,1.67,1.66,1.68,1.67
1/17/2018,BP,CKIA,a,21,30,1.67,1.37,1.35,1.35,1.37
1/17/2018,BP,CKIA,a,22,40,2.7,1.44,1.45,1.45,1.46
1/17/2018,BP,CKIA,a,23,61,6.31,2.01,1.99,1.99,2
1/17/2018,BP,CKIA,a,24,53,3.73,1.69,1.69,1.68,1.69
1/17/2018,BP,CKIA,a,25,27,1.56,1.32,1.33,1.31,1.33
1/17/2018,BP,CKIA,a,26,43,2.95,1.53,1.52,1.52,1.52
1/17/2018,BP,CKIA,a,27,30,1.97,1.39,1.37,1.36,1.37
1/17/2018,BP,CKIA,a,28,50,4.89,1.74,1.75,1.74,1.74
1/17/2018,BP,CKIA,a,29,51,3.81,1.67,1.65,1.66,1.66
1/17/2018,BP,CKIA,a,30,30,1.68,1.36,1.36,1.35,1.36
1/17/2018,BP,CKIA,a,31,54,4.3,1.71,1.68,1.67,1.68
1/17/2018,BP,CKIA,a,32,56,5.15,1.69,1.7,1.68,1.7
1/17/2018,BP,CKIA,a,33,73,6.75,1.77,1.76,1.74,1.76
1/17/2018,BP,CKIA,a,34,31,1.8,1.38,1.37,1.36,1.37
1/17/2018,BP,CKIA,a,35,42,2.94,1.38,1.38,1.37,1.38
1/17/2018,BP,CKIA,a,36,25,1.63,1.33,1.31,1.32,1.32
1/17/2018,BP,CKIA,a,37,25,2.08,1.39,1.4,1.41,1.41
1/17/2018,BP,CKIA,a,38,46,3.24,1.6,1.58,1.58,1.58
