Site,Date_MM_DD_YYYY,Time,Recorder,Site,Latitude,Longitude,Dist_shore_ft,Strata_surface_base,Volume,Status_Live_Dead_Hash,Weight_kg
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,base,5,L,
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,surface,,L,2.78
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,sub,,L,0.094
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,surface,,D,6.385
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,surface,,H,1.77
1,1/17/2018,8:25,mel,CKIA,29.16843,83.04439,25,bottom,,H,5.8
2,1/17/2018,9:03,mel,CKNB,29.15781,83.05475,100,base,40,L,
2,1/17/2018,9:03,mel,CKNB,29.15781,83.05475,100,surface,2.5,L,2.219
2,1/17/2018,9:03,mel,CKNB,29.15781,83.05475,100,sub,7.4,L,0.056
2,1/17/2018,9:03,mel,CKNB,29.15781,83.05475,100,surface,,D,0.883
2,1/17/2018,9:03,mel,CKNB,29.15781,83.05475,100,surface,,H,1.623
2,1/17/2018,9:03,mel,CKNB,29.15781,83.05475,100,bottom,,H,10.803
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,base,40,L,
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,surface,0.2,L,0.045
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,sub,15,L,0
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,surface,,D,1.184
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,surface,,H,0.713
3,1/17/2018,9:27,mel,CKOA,29.14634,83.07288,75,bottom,,H,22.887
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,base,40,L,
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,surface,2.5,L,1.673
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,sub,9.5,L,0.277
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,surface,,D,0
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,surface,,H,1.662
4,1/17/2018,9:57,mel,LCIA,29.23611,83.06685,20,bottom,,H,14.171
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,base,38,L,
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,surface,1,L,0.214
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,sub,7,L,0
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,surface,,D,0
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,surface,,H,0.698
5,1/17/2018,10:25,mel,LCNA,29.21946,83.08322,100,bottom,,H,11.682
