Date,Time,Recorder,Site,Dist_shore_ft,Strata_surface_base,Volume,Status_Live_Dead_Hash,Weight_kg
1/17/18,8:25,mel,CKIA,25,base,5,L,NA
1/17/18,8:25,mel,CKIA,25,surface,NA,L,2.78
1/17/18,8:25,mel,CKIA,25,sub,NA,L,0.094
1/17/18,8:25,mel,CKIA,25,surface,NA,D,6.385
1/17/18,8:25,mel,CKIA,25,surface,NA,H,1.77
1/17/18,8:25,mel,CKIA,25,bottom,NA,H,5.8
1/17/18,9:03,mel,CKNB,100,base,40,L,NA
1/17/18,9:03,mel,CKNB,100,surface,2.5,L,2.219
1/17/18,9:03,mel,CKNB,100,sub,7.4,L,0.056
1/17/18,9:03,mel,CKNB,100,surface,NA,D,0.883
1/17/18,9:03,mel,CKNB,100,surface,NA,H,1.623
1/17/18,9:03,mel,CKNB,100,bottom,NA,H,10.803
1/17/18,9:27,mel,CKOA,75,base,40,L,NA
1/17/18,9:27,mel,CKOA,75,surface,0.2,L,0.045
1/17/18,9:27,mel,CKOA,75,sub,15,L,0
1/17/18,9:27,mel,CKOA,75,surface,NA,D,1.184
1/17/18,9:27,mel,CKOA,75,surface,NA,H,0.713
1/17/18,9:27,mel,CKOA,75,bottom,NA,H,22.887
1/17/18,9:57,mel,LCIA,20,base,40,L,NA
1/17/18,9:57,mel,LCIA,20,surface,2.5,L,1.673
1/17/18,9:57,mel,LCIA,20,sub,9.5,L,0.277
1/17/18,9:57,mel,LCIA,20,surface,NA,D,0
1/17/18,9:57,mel,LCIA,20,surface,NA,H,1.662
1/17/18,9:57,mel,LCIA,20,bottom,NA,H,14.171
1/17/18,10:25,mel,LCNA,100,base,38,L,NA
1/17/18,10:25,mel,LCNA,100,surface,1,L,0.214
1/17/18,10:25,mel,LCNA,100,sub,7,L,0
1/17/18,10:25,mel,LCNA,100,surface,NA,D,0
1/17/18,10:25,mel,LCNA,100,surface,NA,H,0.698
1/17/18,10:25,mel,LCNA,100,bottom,NA,H,11.682
