date,site,recorder,transect number,distance along transect,distance from transect (m),live,,,,,,dead,,,,Live count over 100,,,,,dead count over 100,,
1/21/2015,LC08,Nick Fisch,1,18,2.6,19,23,20,27,22,21,,,,,,,,,,8,,
1/21/2015,LC08,Nick Fisch,1,18,2.6,24,43,40,41,51,20,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,1,18,2.6,30,23,25,23,29,22,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,1,18,2.6,25,26,23,17,11,22,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,1,18,2.6,23,25,25,22,9,23,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,1,18,2.6,19,19,26,30,31,37,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,1,18,2.6,29,26,18,22,20,29,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,1,18,2.6,28,18,25,22,20,23,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,1,18,2.6,24,22,,,,,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,2,16,1.2,11,18,,,,,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,2,17,2.8,22,20,19,23,20,26,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,2,17,2.8,23,20,27,9,17,26,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,2,17,2.8,27,17,26,18,17,16,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,2,17,2.8,19,14,18,33,30,32,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,2,17,2.8,33,15,23,19,15,26,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,2,17,2.8,25,25,21,22,20,25,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,2,17,2.8,18,24,34,22,23,15,,,,,,,,,,,,
1/21/2015,LC08,Nick Fisch,2,17,2.8,20,24,11,17,20,21,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,9,4,na,,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,21,3.8,,,,,,,,58,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,13,1.1,na,,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,9,0.7,na,,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,20,1.9,29,,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,2,1.5,37,,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,9,1.8,na,,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,0,4,27,,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,13,2,22,15,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,5,2.5,na,,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,7,2.5,32,40,32,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,5,0.1,22,,,,,,,,,,,,,,,,,
5/16/2015,LC03,Nick Fisch,1,18,0.1,19,21,18,26,20,,,,,,,,,,,,,
