Date,Trip,Month,Locality,Site,Bar,Station,Counter,Dist_Alng,Dist_frm,Direction,Live_Dead,Size,Count
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,D,67,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,D,26,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,D,39,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,D,25,1
5/24/2010,1,May,CR,N,3,CRN3, ,2,1.75,R,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,31,0.75,L,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,41,1.25,R,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,11,1.75,L,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,39,0.75,R,D,19,1
5/24/2010,1,May,CR,N,3,CRN3, ,39,0.75,R,D,23,1
5/24/2010,1,May,CR,N,3,CRN3, ,26,3, ,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,6,2.5, ,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,24,0.5, ,D, ,3
5/24/2010,1,May,CR,N,3,CRN3, ,52,2, ,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,63,7, ,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,107,3, ,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,91,3.5, ,D, ,0
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,56,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,46,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,43,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,51,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,40,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,50,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,68,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,70,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,50,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,51,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,67,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,74,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,50,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,48,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,67,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,50,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,46,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,59,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,46,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,64,1
5/24/2010,1,May,CR,N,3,CRN3, ,5,2,L,Li,64,1
