Date,Locality,Site,Bar,Quadrat,Station,Counter,Recorder,Quad_Lat,Quad_Long,Center_Lat,Center_Long,Rand_Coord,Rand_Dist,Quad_type,Quad_area,Quad_Depth,Live_Dead,Height,Count
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,38,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,29,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,26,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,D,21,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,26,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,D,29,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,D,40,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,34,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,42,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,17,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,31,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,60,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,D,26,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,53,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,44,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,22,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,D,20,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,24,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,26,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,42,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,30,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,23,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,19,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,30,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,28,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,46,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,D,32,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,36,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,20,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,14,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,21,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,23,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,40,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,24,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,34,1
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,L,0,23
2/16/2018,LC,I,1,1,LCI11,PF,CR,29.23441,83.07522,29.23452,83.07513,218,13,SURFACE,0.0625,NA,D,0,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,40,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,105,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,54,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,53,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,49,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,35,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,25,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,21,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,25,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,D,24,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,53,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,23,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,51,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,57,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,69,1
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,L,0,15
2/16/2018,LC,I,1,2,LCI12,FP,CR,29.23457,83.07506,29.23452,83.07513,75,14,SURFACE,0.0625,NA,D,0,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,34,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,44,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,38,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,45,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,57,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,36,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,40,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,D,40,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,39,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,29,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,18,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,15,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,32,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,13,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,55,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,30,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,32,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,34,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,45,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,D,41,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,42,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,30,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,13,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,13,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,14,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,21,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,43,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,49,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,63,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,17,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,45,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,19,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,46,1
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,0,13
2/16/2018,LC,I,2,1,LCI21,PF,CR,29.23612,83.07095,29.2361,83.07108,136,13,SURFACE,0.0625,NA,L,0,2
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,73,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,D,24,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,38,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,D,29,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,50,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,35,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,25,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,48,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,56,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,D,48,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,68,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,52,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,40,1
2/16/2018,LC,I,2,2,LCI22,SB,CR,29.23611,83.07108,29.2361,83.07108,313,2,SURFACE,0.0625,NA,L,51,1
