Date,Locality,Site,Bar,Quadrat,Station,Counter,Recorder,Quad_Lat,Quad_Long,Center_Lat,Center_Long,Rand_Coord,Rand_Dist,Quad_type,Quad_area,Quad_Depth,Live_Dead,Height,Count
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,44,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,28,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,62,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,43,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,86,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,56,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,58,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,56,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,45,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,14,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,44,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,D,74,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,24,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,16,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,85,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,61,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,31,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,34,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,84,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,87,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,60,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,70,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,53,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,60,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,42,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,44,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,48,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,71,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,63,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,64,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,52,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,17,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,32,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,33,1
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,L,0,0
1/30/2018,BT,I,1,1,BTI11,PF,SL,29.26693,83.08455,,,354,4,SURFACE,0.0625,NA,D,0,0
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,78,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,63,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,43,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,56,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,32,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,79,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,89,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,68,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,51,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,27,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,21,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,18,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,11,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,13,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,21,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,23,1
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,L,0,38
1/30/2018,BT,I,1,2,BTI12,SB,SL,29.26691,83.08456,,,336,2,SURFACE,0.0625,NA,D,0,3
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,66,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,68,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,D,76,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,82,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,85,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,98,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,109,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,44,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,D,50,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,D,83,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,69,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,27,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,68,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,24,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,20,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,25,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,23,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,32,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,27,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,D,60,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,21,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,13,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,64,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,59,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,L,51,1
1/30/2018,BT,I,2,1,BTI21,PF,SL,29.26827,83.08306,,,58,3,SURFACE,0.0625,NA,D,58,1
