"Date","Station","Counter","Transect","Condition","Dist_Alng","Dist_frm","Live_Dead","Size","Count"
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",1,"0","Li1",28.9,1
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",3,"0","Li1",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",6,"0","Li1",41.1,1
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",7,"0","Li1",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",10,"0","Li1",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",13,"0","Li1",28.5,1
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",17,"0","Li1",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",3,"0","Li1",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",5,"0","Li1",29.3,1
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",14,"0","Li1",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",17,"0","Li1",37.7,1
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",18,"0","Li1",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",20,"0","Li1",24.2,1
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",21,"0","Li1",31,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",0,"0","Li1",38.2,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",3,"0","Li1",29.6,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",4,"0","Li1",39.3,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",5,"0","Li1",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",19,"0","Li1",26.3,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",21,"0","Li1",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",1,"0","Li1",32.9,1
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",6,"0","Li1",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",12,"0","Li1",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",15,"0","Li1",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",18,"0","Li1",43.2,1
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",20,"0","Li1",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",21,"0","Li1",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",2,"pre",1,"0","Li1",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",2,"pre",8,"0","Li1",NA,0
