"Date","Station","Quadrat_ID","Replicate","Dist_Alng","Dist_frm","Direction","Quad_type","Quad_area","Quadrat","Quad_N","Quad_E","Center_N","Center_E","Rand_Coord","Rand_Dist","Quad_Depth"
"2010-05-23","CRN1","20100523_CRN1_01_01",1,5,NA,NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-23","CRN1","20100523_CRN1_01_02",1,10,NA,NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-23","CRN1","20100523_CRN1_01_03",1,15,NA,NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-23","CRN1","20100523_CRN1_01_04",1,20,NA,NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-23","CRN1","20100523_CRN1_01_05",1,21,NA,NA,"SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_01",1,4,"3","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_02",1,4,"4.75","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_03",1,6,"0.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_04",1,9,"4.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_05",1,12,"3.5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_06",1,12,"4.25","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_07",1,17,"0.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_08",1,19,"1","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_09",1,20,"0.5","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRI1","20100524_CRI1_01_10",1,22,"3","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN2","20100524_CRN2_01_01",1,1,"2.75","L","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
"2010-05-24","CRN2","20100524_CRN2_01_02",1,1,"5","R","SURFACE",0.0625,NA,NA,NA,NA,NA,NA,NA,NA
