"","X","Date","Month","Locality","Site","Bar","Station","Counter","Quadrat_ID","Live_Dead","Size","Count","Treatment","Location","Substation","Year"
"1",1,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","D",58.5,1,"control",NA,"CRN1","2010"
"2",2,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",58.3,1,"control",NA,"CRN1","2010"
"3",3,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",37.6,1,"control",NA,"CRN1","2010"
"4",4,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",44.4,1,"control",NA,"CRN1","2010"
"5",5,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",31.1,1,"control",NA,"CRN1","2010"
"6",6,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",51.9,1,"control",NA,"CRN1","2010"
"7",7,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",39.5,1,"control",NA,"CRN1","2010"
"8",8,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",30.1,1,"control",NA,"CRN1","2010"
"9",9,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",49.5,1,"control",NA,"CRN1","2010"
"10",10,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",47.1,1,"control",NA,"CRN1","2010"
"11",11,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",49.7,1,"control",NA,"CRN1","2010"
"12",12,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",53.1,1,"control",NA,"CRN1","2010"
"13",13,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",30.8,1,"control",NA,"CRN1","2010"
"14",14,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",26.7,1,"control",NA,"CRN1","2010"
"15",15,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",45.2,1,"control",NA,"CRN1","2010"
"16",16,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",33.1,1,"control",NA,"CRN1","2010"
"17",17,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",47.1,1,"control",NA,"CRN1","2010"
"18",18,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_01","L",28.4,1,"control",NA,"CRN1","2010"
"19",19,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_02","D",NA,0,"control",NA,"CRN1","2010"
"20",20,2010-05-23,"May","CR","N",1,"CRN1","DF","20100523_CRN1_01_02","L",NA,0,"control",NA,"CRN1","2010"
