Date,Trip,Month,Day,Year,Start time,End time,Locality,Site,Bar,Station,StartGPS_E,StartGPS_N,MidGPS_E,MidGPS_N,EndGPS_E,EndGPS_N,Orientation,Counter,Recorder,TransLngth,Cnt_Live,Cnt_Dead
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,61,PF,SL,2.5,58,0
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,SB,SL,5,53,1
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,PF,SL,7.5,86,2
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,SB,SL,10,58,3
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,PF,SL,12.5,50,2
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,SB,SL,15,26,0
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,PF,SL,17.5,43,3
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,SB,SL,20,25,2
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,PF,SL,22.5,5,2
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,SB,SL,25,22,3
1/30/2018,,January,30,2018,9:44,10:12,LT,I,1,LT1,83.0773,29.25866,,,83.07751,29.25851,,PF,SL,27.5,19,1
