,Date,Station,StartGPS_E,StartGPS_N,MidGPS_E,MidGPS_N,EndGPS_E,EndGPS_N,Orientation
1,5/27/2010,CKI1,300804,3227972,300799,3227966,300790,3227959,242
2,5/27/2010,CKI2,300736,3227813,300731,3227796,300732,3227782,177
3,5/27/2010,CKI3,300734,3228267,300746,3228270,300755,3228276,62
4,7/9/2010,CKI1,300804,3227972,300799,3227966,300790,3227959,242
5,7/9/2010,CKI2,300736,3227813,300731,3227796,300732,3227782,177
6,7/9/2010,CKI3,300734,3228267,300746,3228270,300755,3228276,62
9,5/27/2010,CKN1,299767,3227182,299770,3227177,299773,3227169,335
10,5/27/2010,CKN2,299777,3226660,299796,3226668,299812,3226676,70
11,5/27/2010,CKN3,299555,3227068,299560,3227078,299563,3227081,27
12,7/9/2010,CKN1,299767,3227182,299770,3227177,299773,3227169,335
13,7/9/2010,CKN2,299777,3226660,299796,3226668,299812,3226676,70
14,7/9/2010,CKN3,299555,3227068,299560,3227078,299563,3227081,27
18,5/27/2010,CKO1,298326,3226099,298330,3226106,298336,3226114,38
19,5/27/2010,CKO2,298351,3225980,298366,3225973,298374,3225965,130
20,5/27/2010,CKO3,298392,3226055,298403,3226054,298419,3226058,85
21,7/9/2010,CKO1,298326,3226099,298330,3226106,298336,3226114,38
22,7/9/2010,CKO2,298351,3225980,298366,3225973,298374,3225965,130
23,7/9/2010,CKO3,298392,3226055,298403,3226054,298419,3226058,85
33,5/24/2010,CRI1,306778,3228724,306786,3228710,306792,3228698,150
34,5/27/2010,CRI2,306883,3228814,306880,3228821,306874,3228829,338
35,5/27/2010,CRI3,306723,3228950,306722,3228957,306727,3228960,24
36,7/9/2010,CRI1,306778,3228724,306786,3228710,306792,3228698,150
37,7/6/2010,CRI2,306883,3228814,306880,3228821,306874,3228829,338
38,7/9/2010,CRI3,306723,3228950,306722,3228957,306727,3228960,24
42,10/25/2010,CRI1,306778,3228724,306786,3228710,306792,3228698,150
43,10/25/2010,CRI2,306883,3228814,306880,3228821,306874,3228829,338
44,10/25/2010,CRI3,306723,3228950,306722,3228957,306727,3228960,24
45,12/6/2010,CRI1,306778,3228724,306786,3228710,306792,3228698,150
46,12/6/2010,CRI2,306883,3228814,306880,3228821,306874,3228829,338
47,12/6/2010,CRI3,306723,3228950,306722,3228957,306727,3228960,24
48,5/23/2010,CRN1,306120,3227868,306130,3227865,306138,3227864,280
49,5/24/2010,CRN2,306158,3227983,306155,3227971,306154,3227960,28
50,5/24/2010,CRN3,306646,3228017,306651,3228002,306658,3227988,338
51,7/9/2010,CRN1,306120,3227868,306130,3227865,306138,3227864,280
52,7/9/2010,CRN2,306158,3227983,306155,3227971,306154,3227960,28
53,7/10/2010,CRN3,306646,3228017,306651,3228002,306658,3227988,338
57,10/25/2010,CRN1,306120,3227868,306130,3227865,306138,3227864,280
58,10/25/2010,CRN2,306158,3227983,306155,3227971,306154,3227960,28
59,10/25/2010,CRN3,306646,3228017,306651,3228002,306658,3227988,338
60,12/6/2010,CRN1,306120,3227868,306130,3227865,306138,3227864,280
61,12/6/2010,CRN3,306646,3228017,306651,3228002,306658,3227988,338
62,12/6/2010,CRN2,306158,3227983,306155,3227971,306154,3227960,28
63,5/24/2010,CRO1,305951,3226913,305943,3226902,305908,3226888,242
64,5/24/2010,CRO2,305837,3227123,305826,3227105,305813,3227081,NA
65,5/24/2010,CRO3,306388,3226866,306392,3226845,306398,3226825,16
66,7/6/2010,CRO1,305951,3226913,305943,3226902,305908,3226888,242
67,7/6/2010,CRO3,306388,3226866,306392,3226845,306398,3226825,16
68,7/6/2010,CRO4,305815,3227137,305801,3227129,305801,3227119,NA
72,10/25/2010,CRO1,305951,3226913,305943,3226902,305908,3226888,242
73,10/25/2010,CRO2,305837,3227123,305826,3227105,305813,3227081,NA
74,10/25/2010,CRO3,306388,3226866,306392,3226845,306398,3226825,16
75,12/6/2010,CRO1,305951,3226913,305943,3226902,305908,3226888,242
76,12/6/2010,CRO2,305837,3227123,305826,3227105,305813,3227081,NA
77,12/6/2010,CRO3,306388,3226866,306392,3226845,306398,3226825,16
78,5/25/2010,HBI1,284203,3257040,284202,3257056,284200,3257070,345
79,5/25/2010,HBI2,285242,3256430,285237,3256434,285229,3256437,307
80,5/25/2010,HBI3,284311,3256902,284322,3256897,284330,3256887,315
81,5/25/2010,HBI4,284067,3256766,284076,3256752,284064,3256784,6
82,7/7/2010,HBI1,284203,3257040,284202,3257056,284200,3257070,345
83,7/7/2010,HBI2,285242,3256430,285237,3256434,285229,3256437,307
84,7/7/2010,HBI3,284311,3256902,284322,3256897,284330,3256887,315
88,10/27/2010,HBI1,284203,3257040,284202,3257056,284200,3257070,345
89,10/27/2010,HBI2,285242,3256430,285237,3256434,285229,3256437,307
90,10/27/2010,HBI3,284067,3256766,284076,3256752,284064,3256784,6
91,12/8/2010,HBI1,284203,3257040,284202,3257056,284200,3257070,345
92,12/8/2010,HBI2,285242,3256430,285237,3256434,285229,3256437,307
93,12/8/2010,HBI3,284311,3256902,284322,3256897,284330,3256887,315
94,5/25/2010,HBN1,284468,3255825,284466,3255828,284468,3255840,5
95,5/25/2010,HBN2,283586,3256287,283587,3256300,283593,3256309,26
96,5/25/2010,HBN3,283203,3256270,283201,3256276,283192,3256282,329
97,7/7/2010,HBN1,284468,3255825,284466,3255828,284468,3255840,5
98,7/7/2010,HBN2,283586,3256287,283587,3256300,283593,3256309,26
99,7/7/2010,HBN3,283203,3256270,283201,3256276,283192,3256282,329
100,7/7/2010,HBN5,280659,3257379,280663,3257384,280670,3257391,40
101,7/7/2010,HBN6,280182,3257594,280173,3257588,280164,3257580,60
105,10/27/2010,HBN1,284468,3255825,284466,3255828,284468,3255840,5
106,10/27/2010,HBN2,283586,3256287,283587,3256300,283593,3256309,26
107,10/27/2010,HBN3,283203,3256270,283201,3256276,283192,3256282,329
108,12/8/2010,HBN1,284468,3255825,284466,3255828,284468,3255840,5
109,12/8/2010,HBN2,283586,3256287,283587,3256300,283593,3256309,26
110,12/8/2010,HBN5,283641,3256262,NA,NA,NA,NA,NA
111,12/8/2010,HBN6,280167,3257640,NA,NA,NA,NA,NA
112,5/25/2010,HBO1,282938,3254310,282937,3254278,282936,3254289,179
113,5/25/2010,HBO2,282263,3254820,282254,3254812,282252,3254809,238
114,5/25/2010,HBO3,280813,3256105,280819,3256128,280835,3256152,25
115,7/7/2010,HBO1,282938,3254310,282937,3254278,282936,3254289,179
117,10/27/2010,HBO1,282938,3254310,282937,3254278,282936,3254289,179
118,10/27/2010,HBO2,282263,3254820,282254,3254812,282252,3254809,238
119,10/27/2010,HBO3,280813,3256105,280819,3256128,280835,3256152,25
120,12/8/2010,HBO1,282938,3254310,282937,3254278,282936,3254289,179
121,12/8/2010,HBO2,282263,3254820,282254,3254812,282252,3254809,238
122,12/8/2010,HBO3,280813,3256105,280819,3256128,280835,3256152,25
123,5/26/2010,LCI1,299282,3235919,299276,3235927,299277,3235930,340
124,5/26/2010,LCI2,298841,3235773,298850,2325768,298860,3235763,127
125,5/26/2010,LCI3,298763,3235642,298756,3235632,298749,3235624,230
126,7/8/2010,LCI1,299282,3235919,299276,3235927,299277,3235930,340
127,7/8/2010,LCI2,298841,3235773,298850,2325768,298860,3235763,127
128,7/8/2010,LCI3,298763,3235642,298756,3235632,298749,3235624,230
132,10/25/2010,LCI1,299282,3235919,299276,3235927,299277,3235930,340
133,10/26/2010,LCI2,298841,3235773,298850,2325768,298860,3235763,127
134,10/26/2010,LCI3,298763,3235642,298756,3235632,298749,3235624,230
135,12/7/2010,LCI1,299282,3235919,299276,3235927,299277,3235930,340
136,12/7/2010,LCI2,298841,3235773,298850,2325768,298860,3235763,127
137,12/7/2010,LCI3,298763,3235642,298756,3235632,298749,3235624,230
138,5/26/2010,LCN1,298380,3236557,298376,3236552,298375,3236545,18
139,5/25/2010,LCN2,298651,3236638,298660,3236641,298658,3236649,255
140,5/26/2010,LCN6,297907,3234553,297913,3234568,297916,3234583,22
141,7/8/2010,LCN1,298380,3236557,298376,3236552,298375,3236545,18
142,7/8/2010,LCN2,298651,3236638,298660,3236641,298658,3236649,255
143,7/8/2010,LCN3,298534,3236727,298528,3236719,298522,3236714,NA
144,7/8/2010,LCN9,297281,3233308,297266,3233311,297247,3233315,285
149,10/26/2010,LCN1,298380,3236557,298376,3236552,298375,3236545,18
150,10/26/2010,LCN2,298651,3236638,298660,3236641,298658,3236649,255
151,10/26/2010,LCN6,297907,3234553,297913,3234568,297916,3234583,22
152,10/26/2010,LCN3,298636,3236656,NA,NA,NA,NA,NA
153,12/7/2010,LCN1,298380,3236557,298376,3236552,298375,3236545,18
154,12/7/2010,LCN2,298651,3236638,298660,3236641,298658,3236649,255
155,12/7/2010,LCN6,297907,3234553,297913,3234568,297916,3234583,22
156,12/7/2010,LCN3,298636,3236656,NA,NA,NA,NA,NA
157,5/26/2010,LCO9B,294865,3238692,294874,3238695,294881,3238699,65
158,5/26/2010,LCO8A,294686,3238948,294680,3238941,294679,3238938,200
159,5/26/2010,LCO3,294395,3239164,294401,3239172,294411,3239173,55
160,7/8/2010,LCO9B,294865,3238692,294874,3238695,294881,3238699,65
161,7/8/2010,LCO8A,294686,3238948,294680,3238941,294679,3238938,200
162,7/8/2010,LCO3,294395,3239164,294401,3239172,294411,3239173,55
166,10/26/2010,LCO9B,294865,3238692,294874,3238695,294881,3238699,65
167,10/26/2010,LCO8A,294686,3238948,294680,3238941,294679,3238938,200
168,10/26/2010,LCO3,294395,3239164,294401,3239172,294411,3239173,55
169,12/8/2010,HBN5,283641,3256262,NA,NA,NA,NA,NA
170,12/8/2010,HBN6,280167,3257640,NA,NA,NA,NA,NA
171,12/6/2010,CRO2,305837,3227123,305826,3227105,305813,3227081,NA
172,12/7/2010,LCN4,298636,3236656,NA,NA,NA,NA,NA
173,12/7/2010,LCO9B,294865,3238692,294874,3238695,294881,3238699,65
174,12/7/2010,LCO8A,294686,3238948,294680,3238941,294679,3238938,200
175,12/7/2010,LCO3,294395,3239164,294401,3239172,294411,3239173,55
