Year,notes,East coast,West coast,Total,Calculated total,difference,"Bay, Gulf, and Washington",Bay and Gulf,Bay,Bay and Washington,Brevard,Charlotte,Citrus,Citrus and Pasco,Collier,Broward and Dade,Dade,Dixie and Taylor,Dixie,Duval,Escambia and Santa Rosa,Escambia,Franklin,Gulf,Hillsborough,Indian River,Lee,Levy,Manatee,Monroe,Nassau,Okaloosa,Okaloosa and Walton,Palm Beach,Pinellas,Santa Rosa,Sarasota,St. Johns and Flagler,St. Johns,St. Lucie,Santa Rosa,Sarasota,Taylor,Volusia,Wakulla and Leon,Wakulla,Walton,,
1950,"no county data. Oyster (meats). Reported as gallons, convered to pounds by multiplying by 8.75. Oysters (shell) reported as bushels, converted to pounds (meats) by mulitplying by 4.375",22715,872553,895248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,735304,735304,0,,,42368,,18,,71689,,,,350,,8278,17386,3535,,546560,26504,481,,,665,,438,2130,35,,,805,,,5023,,,,1426,,3588,4025,,,,
1952,,20907,542080,562987,562987,0,,,30304,,,,44411,,,,,,438,12826,,7375,451145,,,,,,,140,1425,,,,4341,,,,6208,,,1258,,448,,2668,,,
1953," checked numbers 3x, calculated total doesn't add up to printed total. ",21576,563780,585356,589049,3693,,59956,,,,,27781,,,,,,,15236,,11514,459225,,,3894,,153,,,2087,,,,1531,,,,3789,,,2622,,263,,998,,,
1954,,17907,667589,685496,685496,0,,67992,,,,,34995,,,,,,,14717,,4288,553946,,,,,394,,,1583,,,,3949,,,,1344,,,1587,,263,,438,,,
1955,,19340,630241,649581,649581,0,48141,,,,,,28337,,,,,,,17282,,2756,542874,,,,1689,,,,1677,,,,5306,,,,,,,440,260,381,,438,,,
1956,,32304,856431,888735,888735,0,,89830,,,88,,12939,,,,,,2602,28009,,2967,722046,,,,18603,401,,,1487,297,,,2722,,,,,,,1270,226,2720,,2528,,,
1957,,24754,710124,734878,734878,0,,68961,,,209,,3116,,,,,,267,15769,,2202,624222,,,,4451,437,,,2154,1937,,,,,,,2801,,,2627,,3821,,1904,,,
1958,,29759,794970,824729,824729,0,,60206,,,35,,11200,,,,,,,22524,,2147,713230,,,,1458,,,,1764,,,,26,,,,4286,,,210,,1150,,6493,,,
1959,,40045,1414953,1454998,1454998,0,,93934,,,,57,16000,,,,,,,21781,,8371,1268757,,,,14869,1637,,,905,26,,,1795,,,,9438,,,1018,,7921,,8489,,,
1960,"checked 3x, county numbers don't add up to total",44644,1930756,1975400,1975320,-80,,89458,,,,891,26119,,,,,,,23838,,22562,1744760,,,,24511,3691,,,1793,2460,,,1979,,,,9782,,,131,,9231,,14114,,,
1961,,72542,3254059,3326601,3326601,0,,127367,,,18477,26431,31393,,102,,,3386,,27385,,20354,2947137,,679,204,18277,23509,,,1098,11009,,,7890,,,,7256,480,,12473,,17642,,24052,,,
1962,,67091,4952680,5019771,5019771,0,,259664,,,6759,54412,29184,,123,,,1801,,28521,,16352,4366700,,31639,40,12131,25350,65,,1232,,21441,,80620,,,,5660,132,,13115,,24747,,40083,,,
1963,"checked 3x, county numbers don't add up to printed total. County numbers are rounded to nearest 100",80745,4282103,4362848,4347200,-15648,,204400,,,22900,4200,13500,,2400,,,1400,,29700,,6600,3810500,,14500,,35000,30200,,,400,,3000,,83400,,,,7200,,,10800,,20500,,46600,,,
1964,,92339,2792784,2885123,2885123,0,,,,70119,32913,17153,52069,,794,,,,4450,28612,,16531,2252377,28936,44662,7374,47284,37727,17,,418,,6168,,102825,,,,4916,,,40743,,18106,,70929,,,
1965,,166013,2788732,2954745,2954745,0,,,,79998,94404,4173,8217,,325,,,72,,29669,,22554,2337530,45492,26126,7191,23827,50587,,,552,,,,68653,12207,27639,,16717,,,,,17480,,72555,8777,,
1966,"checked 3x, county numbers don't add up to printed total. County numbers are rounded to nearest 100",135114,4156811,4291925,4291925,0,,,,55046,32307,4589,2138,,,,,1838,,38352,,34467,3809941,76483,,,7813,87674,,,386,,,,3220,,,,39813,125,44049,3763,,24131,,21127,4663,,
1967,,182772,4578358,4761130,4761130,0,,,,61475,88607,1934,17859,,,,,3576,,32051,,16224,4195905,107792,,7603,12128,82139,,,,,,,1652,62172,405,,40144,,,,,14367,,8463,6634,,
1968,,252084,5316689,5568773,5568773,0,,,,88859,143171,282,,3318,,,,21340,,37843,,16038,4825668,112034,,1635,31168,159921,,,,,,,2756,34166,,,52248,,,,,17187,,13886,7253,,
1969,,241320,4911422,5152742,5152742,0,,,85337,,132378,,3900,,,,,19842,,27089,,71372,4350370,114218,,17919,27521,165163,,,,,,,377,49335,,,46338,,,,,17596,,10500,13487,,
1970,,212725,3573794,3786519,3786519,0,,,70856,,139000,,,790,,,,4000,,19746,,126520,3044401,82014,,9446,32733,61514,,,,,,,,126035,,,30880,,,,,13653,,12723,12208,,
1971,,181988,3528554,3710542,3710542,0,,,58078,,103825,,,,,,,,,,,50380,3180085,70078,,3466,25433,59993,,,17299,,,,,62370,,,34467,,,,,22931,,15752,6385,,
1972,,126404,3230967,3357371,3357371,0,,,80249,,52498,,,,,,,,,16184,,9253,2980543,33443,,940,2926,63896,,,1575,1361,,,,23688,,,43570,,,,,11637,,19242,16366,,
1973,,122389,2408936,2531325,2531325,0,,,106743,,41967,,,,,,,,12155,14979,,7287,2193492,8406,,4815,1890,30390,,,2185,3121,,5177,,25659,,,45791,,,,,7475,,7656,12137,,
1974,,97724,2653661,2751385,2751385,0,,,70436,,21539,,,,,,,7347,,19027,,36536,2453995,7664,,4938,,22899,,,2875,578,,,50,27862,,,47429,,,,,1916,,18514,7780,,
1975,,79413,2133652,2213065,2213065,0,,,28473,,23924,,,,,,,114,,16925,,5739,2032612,24245,,955,,12179,,,2684,1761,,,,13699,,,34635,,,,,290,,10711,4119,,
1976,,111781,2602669,2714450,2714450,0,,,28160,,24658,,,3439,,,,2668,,23814,,,2503441,39612,,996,,16189,,,,,,,,7543,,,62163,,,,,150,,1345,272,,
1977,,125896,4071688,4197584,4197584,0,,,64634,,38196,,,1651,,,,10530,,19222,,,3894089,51818,,,,23867,,,,,,,,900,,,67708,,,,,770,,23875,324,,
1978,,93651,5880212,5973863,5973863,0,,,76220,,38415,,,1641,,,,12038,,,,12198,5566464,87175,,,1044,44269,,,2190,,,,,656,,,50363,,,,,2683,,76736,1771,,
1979,,87349,6124910,6206259,6206259,0,,,58245,,31788,,,21387,,46,,4746,,757,,,5809684,117263,,,,47611,,,175,2990,,,,,,,45063,,,,,3520,,62984,,,
1980,,97379,6755931,6853310,6853310,0,,,107115,,23167,,,4359,,,,6444,,,,,6409909,90516,,,,75908,,,,4652,,,13731,,,,65179,2730,,,,6303,,43218,79,,
1981,,99055,7170329,7269384,7269384,0,,,122901,,27835,,,1007,,,,6403,,,,581,6616648,124211,,,,149454,,,,,,,14351,,,,50756,,,,,20464,,134773,,,
1982,,81752,4816936,4898688,4898688,0,,,169946,,30805,,,11565,,,,100378,,,,35093,4153182,105873,,,246,141202,,,,110,,,132,,,,39520,,11922,,,11427,,47173,40114,,
1983,,77959,4326494,4404453,4404453,0,,,7964,,17488,,,6420,,,,52064,,,,78202,3936070,79389,1224,,382,87132,,,,44,,,1715,,,,35967,,40777,,,24504,,17162,17949,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
