,Year,County.Landed,Pounds
1,1986,GULF,12338
2,1987,GULF,28973
3,1988,GULF,25804
4,1989,GULF,6758
5,1990,GULF,28252
6,1991,GULF,7718
7,1992,GULF,5394
8,1993,GULF,2753
9,1994,GULF,2527
10,1995,GULF,2273
11,1996,GULF,1759
12,1997,GULF,3137
13,1998,GULF,1339
14,1999,GULF,1674
15,2000,GULF,3262
16,2001,GULF,1634
17,2002,GULF,1943
18,2003,GULF,604
19,2004,GULF,315
20,2005,GULF,1739
21,2006,GULF,1175
22,2007,GULF,2100
23,2008,GULF,2093
24,2009,GULF,6631
25,2010,GULF,24136
26,2011,GULF,34
27,2012,GULF,NA
28,2013,GULF,NA
29,2014,GULF,NA
30,2015,GULF,NA
31,2016,GULF,NA
32,2017,GULF,NA
33,2018,GULF,NA
