Year,State_landings,State_trips,State_per_trip,Apalach_landings,Apalach_trips,Apalach_per_trip,Suw_landings,Suw_trips,Suw_per_trip
1986,2201007,18435,119.3928397,620512,7191,86.29008483,6637,1077487,162.3454874
1987,3791748,52592,72.09742927,2918389,39604,73.68924856,7126,496523,69.67765928
1988,2192095,45588,48.0849127,1338499,31226,42.86488823,7851,505228,64.35205706
1989,1857754,38567,48.16952317,882263,22617,39.00884291,11476,728627,63.4913733
1990,2250475,41546,54.16827131,1563583,27715,56.41648927,8665,367777,42.44396999
1991,1917655,35294,54.33373945,1332124,24903,53.49251094,3214,152971,47.59520846
1992,2628142,38618,68.05484489,1901981,27676,68.7231175,1932,90914,47.05693582
1993,2788595,33505,83.22921952,2069119,25118,82.37594554,1175,68892,58.63148936
1994,2110112,24540,85.98663407,1532347,17830,85.94206394,1656,103011,62.20471014
1995,1512545,18587,81.3764997,1075808,13190,81.56239575,1019,60304,59.17958783
1996,1447417,15853,91.30240333,1025891,10917,93.97187872,1046,73435,70.20554493
1997,1898939,21204,89.55569704,1445137,15774,91.61512616,1335,87534,65.56853933
1998,1532785,18569,82.54537132,1397643,16278,85.86085514,962,63721,66.23804574
1999,2331718,27376,85.17380187,2137790,24534,87.13581153,1740,136741,78.58678161
2000,2570230,28762,89.36200542,2355226,25511,92.32197875,1907,122137,64.04667016
2001,2582715,28566,90.41220332,2406752,25903,92.9140254,1220,78007,63.94016393
2002,1935435,23200,83.42392241,1783180,20686,86.2022624,1354,89290,65.94534712
2003,1734664,22297,77.79808943,1485254,18526,80.17132678,1266,77283,61.0450237
2004,1670528,20272,82.40568272,1524426,17838,85.45946855,872,54598,62.61238532
2005,1455028,15072,96.53848195,1290830,12951,99.67029573,1187,120342,101.3833193
2006,2444883,26397,92.61972951,2194110,23044,95.21393855,2063,178436,86.49345613
2007,3028175,33198,91.21558528,2790738,29984,93.07423959,2216,188671,85.14034296
2008,2562153,31605,81.06796393,2346790,28126,83.43845552,2040,128169,62.82794118
2009,2915429,42984,67.82591197,2748783,40377,68.07794041,1162,63265,54.44492255
2010,2210328,36086,61.25167655,2049107,33570,61.03982723,913,58894,64.5060241
2011,3179210,51358,61.90291678,2900451,47692,60.81630043,1634,147420,90.22031824
2012,3408904,59344,57.44311135,3088823,54503,56.67253179,2028,169129,83.3969428
2013,1290470,29984,43.0386206,1074653,26120,41.1429173,2057,150579,73.20320856
2014,753797,21894,34.42938705,608985,18528,32.8683614,1248,65728,52.66666667
2015,846441,24899,33.99497972,518204,18317,28.29087733,3689,210000,56.9259962
2016,881813,25711,34.29711019,374051,16462,22.72208723,6213,374166,60.22308064
2017,710389,21767,32.63605458,256267,13632,18.79892899,6630,398389,60.08883861
