Year,Landings,Trips,CPUE,Area
1986,2201007,18435,119.3928397,Statewide
1987,3791748,52592,72.09742927,Statewide
1988,2192095,45588,48.0849127,Statewide
1989,1857754,38567,48.16952317,Statewide
1990,2250475,41546,54.16827131,Statewide
1991,1917655,35294,54.33373945,Statewide
1992,2628142,38618,68.05484489,Statewide
1993,2788595,33505,83.22921952,Statewide
1994,2110112,24540,85.98663407,Statewide
1995,1512545,18587,81.3764997,Statewide
1996,1447417,15853,91.30240333,Statewide
1997,1898939,21204,89.55569704,Statewide
1998,1532785,18569,82.54537132,Statewide
1999,2331718,27376,85.17380187,Statewide
2000,2570230,28762,89.36200542,Statewide
2001,2582715,28566,90.41220332,Statewide
2002,1935435,23200,83.42392241,Statewide
2003,1734664,22297,77.79808943,Statewide
2004,1670528,20272,82.40568272,Statewide
2005,1455028,15072,96.53848195,Statewide
2006,2444883,26397,92.61972951,Statewide
2007,3028175,33198,91.21558528,Statewide
2008,2562153,31605,81.06796393,Statewide
2009,2915429,42984,67.82591197,Statewide
2010,2210328,36086,61.25167655,Statewide
2011,3179210,51358,61.90291678,Statewide
2012,3408904,59344,57.44311135,Statewide
2013,1290470,29984,43.0386206,Statewide
2014,753797,21894,34.42938705,Statewide
2015,846441,24899,33.99497972,Statewide
2016,881813,25711,34.29711019,Statewide
2017,710389,21767,32.63605458,Statewide
1986,620512,7191,86.29008483,Apalachicola Bay
1987,2918389,39604,73.68924856,Apalachicola Bay
1988,1338499,31226,42.86488823,Apalachicola Bay
1989,882263,22617,39.00884291,Apalachicola Bay
1990,1563583,27715,56.41648927,Apalachicola Bay
1991,1332124,24903,53.49251094,Apalachicola Bay
1992,1901981,27676,68.7231175,Apalachicola Bay
1993,2069119,25118,82.37594554,Apalachicola Bay
1994,1532347,17830,85.94206394,Apalachicola Bay
1995,1075808,13190,81.56239575,Apalachicola Bay
1996,1025891,10917,93.97187872,Apalachicola Bay
1997,1445137,15774,91.61512616,Apalachicola Bay
1998,1397643,16278,85.86085514,Apalachicola Bay
1999,2137790,24534,87.13581153,Apalachicola Bay
2000,2355226,25511,92.32197875,Apalachicola Bay
2001,2406752,25903,92.9140254,Apalachicola Bay
2002,1783180,20686,86.2022624,Apalachicola Bay
2003,1485254,18526,80.17132678,Apalachicola Bay
2004,1524426,17838,85.45946855,Apalachicola Bay
2005,1290830,12951,99.67029573,Apalachicola Bay
2006,2194110,23044,95.21393855,Apalachicola Bay
2007,2790738,29984,93.07423959,Apalachicola Bay
2008,2346790,28126,83.43845552,Apalachicola Bay
2009,2748783,40377,68.07794041,Apalachicola Bay
2010,2049107,33570,61.03982723,Apalachicola Bay
2011,2900451,47692,60.81630043,Apalachicola Bay
2012,3088823,54503,56.67253179,Apalachicola Bay
2013,1074653,26120,41.1429173,Apalachicola Bay
2014,608985,18528,32.8683614,Apalachicola Bay
2015,518204,18317,28.29087733,Apalachicola Bay
2016,374051,16462,22.72208723,Apalachicola Bay
2017,256267,13632,18.79892899,Apalachicola Bay
1986,1077487,6637,162.3454874,Suwannee Sound
1987,496523,7126,69.67765928,Suwannee Sound
1988,505228,7851,64.35205706,Suwannee Sound
1989,728627,11476,63.4913733,Suwannee Sound
1990,367777,8665,42.44396999,Suwannee Sound
1991,152971,3214,47.59520846,Suwannee Sound
1992,90914,1932,47.05693582,Suwannee Sound
1993,68892,1175,58.63148936,Suwannee Sound
1994,103011,1656,62.20471014,Suwannee Sound
1995,60304,1019,59.17958783,Suwannee Sound
1996,73435,1046,70.20554493,Suwannee Sound
1997,87534,1335,65.56853933,Suwannee Sound
1998,63721,962,66.23804574,Suwannee Sound
1999,136741,1740,78.58678161,Suwannee Sound
2000,122137,1907,64.04667016,Suwannee Sound
2001,78007,1220,63.94016393,Suwannee Sound
2002,89290,1354,65.94534712,Suwannee Sound
2003,77283,1266,61.0450237,Suwannee Sound
2004,54598,872,62.61238532,Suwannee Sound
2005,120342,1187,101.3833193,Suwannee Sound
2006,178436,2063,86.49345613,Suwannee Sound
2007,188671,2216,85.14034296,Suwannee Sound
2008,128169,2040,62.82794118,Suwannee Sound
2009,63265,1162,54.44492255,Suwannee Sound
2010,58894,913,64.5060241,Suwannee Sound
2011,147420,1634,90.22031824,Suwannee Sound
2012,169129,2028,83.3969428,Suwannee Sound
2013,150579,2057,73.20320856,Suwannee Sound
2014,65728,1248,52.66666667,Suwannee Sound
2015,210000,3689,56.9259962,Suwannee Sound
2016,374166,6213,60.22308064,Suwannee Sound
2017,398389,6630,60.08883861,Suwannee Sound
