Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1986,BAY,OYSTERS,79767,1391,1.98,158258
1986,BREVARD,OYSTERS,60525,102,2.7,163680
1986,CITRUS,OYSTERS,43792,605,1.99,87061
1986,DIXIE,OYSTERS,844161,3931,0.87,736789
1986,DUVAL,OYSTERS,24590,131,1.98,48655
1986,ESCAMBIA,OYSTERS,8766,13,0.53,4614
1986,FRANKLIN,OYSTERS,472625,6166,1.91,903893
1986,GULF,OYSTERS,12338,287,1.98,24478
1986,INDIAN RIVER,OYSTERS,551,15,1.98,1094
1986,Inland/Out-of-State,OYSTERS,8601,140,2.02,17377
1986,LEE,OYSTERS,2349,31,1.98,4661
1986,LEVY,OYSTERS,233326,2706,1.99,464297
1986,OKALOOSA,OYSTERS,118,1,1.98,234
1986,SANTA ROSA,OYSTERS,243917,1577,0.96,235193
1986,SARASOTA,OYSTERS,103,1,0.22,23
1986,ST JOHNS,OYSTERS,2568,57,1.21,3101
1986,TAYLOR,OYSTERS,2183,19,1.96,4283
1986,VOLUSIA,OYSTERS,20993,400,1.99,41698
1986,WAKULLA,OYSTERS,135549,738,0.92,124769
1986,WALTON,OYSTERS,4185,124,1.94,8135
1987,BAY,OYSTERS,176645,2488,1.87,330057
1987,BREVARD,OYSTERS,11363,59,1.94,22052
1987,CITRUS,OYSTERS,16003,341,1.86,29783
1987,DIXIE,OYSTERS,413221,5675,1.82,750147
1987,DUVAL,OYSTERS,23090,80,1.77,40772
1987,ESCAMBIA,OYSTERS,1584,21,1.83,2904
1987,FRANKLIN,OYSTERS,2781224,37506,1.86,5159864
1987,GULF,OYSTERS,28973,594,1.87,54216
1987,INDIAN RIVER,OYSTERS,1175,57,1.87,2198
1987,LEE,OYSTERS,96,5,1.87,180
1987,LEVY,OYSTERS,83302,1451,1.83,152516
1987,MANATEE,OYSTERS,18,1,1.87,33
1987,MONROE,OYSTERS,315,1,1.87,589
1987,OKALOOSA,OYSTERS,39,2,1.87,74
1987,SANTA ROSA,OYSTERS,61458,1320,1.77,108530
1987,ST JOHNS,OYSTERS,30232,480,1.85,56037
1987,ST LUCIE,OYSTERS,98,1,1.87,184
1987,TAYLOR,OYSTERS,10543,172,1.87,19682
1987,VOLUSIA,OYSTERS,43435,803,1.88,81852
1987,WAKULLA,OYSTERS,108192,1504,1.86,201186
1987,WALTON,OYSTERS,742,31,1.91,1420
1988,BAY,OYSTERS,120489,2576,2.02,243058
1988,BREVARD,OYSTERS,6527,77,2.13,13933
1988,CITRUS,OYSTERS,12591,342,1.41,17772
1988,COLLIER,OYSTERS,26,1,1.98,52
1988,DIXIE,OYSTERS,420268,6495,1.89,794511
1988,DUVAL,OYSTERS,20993,308,1.82,38110
1988,ESCAMBIA,OYSTERS,293,6,1.22,358
1988,FRANKLIN,OYSTERS,1267381,29520,1.76,2225546
1988,GULF,OYSTERS,25804,726,2.2,56648
1988,INDIAN RIVER,OYSTERS,424,15,2.14,907
1988,Inland/Out-of-State,OYSTERS,124,5,1.43,177
1988,LEE,OYSTERS,197,6,2.2,432
1988,LEVY,OYSTERS,84960,1356,1.72,146179
1988,MONROE,OYSTERS,368,1,1.98,727
1988,OKALOOSA,OYSTERS,1368,29,1.69,2308
1988,SANTA ROSA,OYSTERS,57006,1184,1.26,71801
1988,ST JOHNS,OYSTERS,73736,1014,2.15,158462
1988,TAYLOR,OYSTERS,427,16,2.09,892
1988,VOLUSIA,OYSTERS,49967,841,2.16,107794
1988,WAKULLA,OYSTERS,45314,980,2.17,98237
1988,WALTON,OYSTERS,3832,90,2.19,8401
1989,BAY,OYSTERS,59896,1516,2.23,133563
1989,BREVARD,OYSTERS,2902,80,2.04,5918
1989,CITRUS,OYSTERS,3752,129,2.48,9309
1989,COLLIER,OYSTERS,46,1,2.74,126
1989,DIXIE,OYSTERS,569414,8798,2.3,1311172
1989,DUVAL,OYSTERS,20232,340,1.8,36500
1989,ESCAMBIA,OYSTERS,46,1,2.74,125
1989,FRANKLIN,OYSTERS,822332,21432,2.3,1890711
1989,GULF,OYSTERS,6758,295,2.24,15170
1989,INDIAN RIVER,OYSTERS,361,6,1.93,697
1989,Inland/Out-of-State,OYSTERS,308,6,1.99,615
1989,LEE,OYSTERS,433,15,1.93,837
1989,LEVY,OYSTERS,159213,2678,2.26,360374
1989,OKALOOSA,OYSTERS,20,1,1.93,38
1989,PALM BEACH,OYSTERS,7,1,2.74,19
1989,SANTA ROSA,OYSTERS,20134,417,2.47,49659
1989,ST JOHNS,OYSTERS,94916,1064,1.94,184005
1989,ST LUCIE,OYSTERS,46,2,2.73,125
1989,VOLUSIA,OYSTERS,41632,828,1.94,80624
1989,WAKULLA,OYSTERS,53173,890,1.97,104878
1989,WALTON,OYSTERS,2133,67,1.93,4122
1990,BAY,OYSTERS,107679,1765,2.75,296227
1990,BREVARD,OYSTERS,4550,87,2.27,10328
1990,CITRUS,OYSTERS,5758,132,2.5,14400
1990,DIXIE,OYSTERS,263645,5605,2.72,717516
1990,DUVAL,OYSTERS,17956,333,2.27,40672
1990,FRANKLIN,OYSTERS,1496427,26842,2.51,3758635
1990,GULF,OYSTERS,28252,247,2.56,72266
1990,Inland/Out-of-State,OYSTERS,650,2,2.31,1503
1990,LEE,OYSTERS,7,1,2.27,15
1990,LEVY,OYSTERS,104132,3060,2.48,258628
1990,SARASOTA,OYSTERS,2953,4,2.27,6692
1990,ST JOHNS,OYSTERS,108323,1379,2.31,250334
1990,VOLUSIA,OYSTERS,64893,1359,2.25,146230
1990,WAKULLA,OYSTERS,38904,626,2.34,91114
1990,WALTON,OYSTERS,6346,104,2.27,14383
1991,BAY,OYSTERS,287041,4758,2.15,617317
1991,BREVARD,OYSTERS,9092,37,2.96,26924
1991,CITRUS,OYSTERS,3738,91,2.14,7984
1991,DIXIE,OYSTERS,118035,2215,2.1,248346
1991,DUVAL,OYSTERS,722,12,1.39,1002
1991,FRANKLIN,OYSTERS,1262399,23825,1.72,2170884
1991,GULF,OYSTERS,7718,245,1.39,10713
1991,Inland/Out-of-State,OYSTERS,223,1,1.39,310
1991,LEE,OYSTERS,14,2,1.43,20
1991,LEVY,OYSTERS,34936,999,1.71,59782
1991,OKALOOSA,OYSTERS,34,2,2.91,99
1991,SANTA ROSA,OYSTERS,9000,103,2.21,19886
1991,ST JOHNS,OYSTERS,86765,1472,1.45,125974
1991,VOLUSIA,OYSTERS,28574,574,1.39,39801
1991,WAKULLA,OYSTERS,62007,833,1.57,97343
1991,WALTON,OYSTERS,7357,125,1.59,11683
1992,BAY,OYSTERS,431815,5707,1.31,565799
1992,BREVARD,OYSTERS,178,8,1.54,274
1992,CITRUS,OYSTERS,1235,28,1.31,1622
1992,DIXIE,OYSTERS,28123,626,1.44,40361
1992,DUVAL,OYSTERS,2776,62,1.42,3947
1992,ESCAMBIA,OYSTERS,6612,57,1.3,8564
1992,FRANKLIN,OYSTERS,1859805,27103,1.37,2546362
1992,GULF,OYSTERS,5394,141,1.42,7669
