"","Year","Landings_app","Landings_suw","Landings_state"
"1",1950,NA,NA,895248
"2",1951,573064,8943,735304
"3",1952,451145,438,562987
"4",1953,459225,153,585356
"5",1954,553946,394,685496
"6",1955,542874,NA,649581
"7",1956,722046,3003,888735
"8",1957,624222,704,734878
"9",1958,713230,NA,824729
"10",1959,1268757,1637,1454998
"11",1960,1744760,3691,1975400
"12",1961,2947137,23509,3326601
"13",1962,4366700,25350,5019771
"14",1963,3810500,30200,4362848
"15",1964,2281313,42177,2885123
"16",1965,2383022,50587,2954745
"17",1966,3886424,87674,4291925
"18",1967,4303697,82139,4761130
"19",1968,4937702,159921,5568773
"20",1969,4464588,165163,5152742
"21",1970,3126415,61514,3786519
"22",1971,3250163,59993,3710542
"23",1972,3013986,63896,3357371
"24",1973,2201898,42545,2531325
"25",1974,2461659,22899,2751385
"26",1975,2056857,12179,2213065
"27",1976,2543053,16189,2714450
"28",1977,3945907,23867,4197584
"29",1978,5653639,44269,5973863
"30",1979,5926947,47611,6206259
"31",1980,6500425,75908,6853310
"32",1981,6740859,149454,7269384
"33",1982,4259055,141202,4898688
"34",1983,4015459,87132,4404453
