Date,Trip,Month,Start time,End time,Locality,Site,Bar,Station,StartGPS_E,StartGPS_N,MidGPS_E,MidGPS_N,EndGPS_E,EndGPS_N,Orientation,Counter,TransLngth,Cnt_Obsv1,Cnt_Obsv2,Cnt
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,2.5,65, ,65
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,5,195, ,195
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,7.5,104, ,104
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,10,119, ,119
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,12.5,134, ,134
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,15,162, ,162
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,17.5,63, ,63
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,20,116, ,116
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,22.5,156, ,156
5/27/2010,1,May,17:50,18:26,CK,I,1,CKI1,300804,3227972,300799,3227966,300790,3227959,242,JANESSY,24.9,117, ,117
5/27/2010,1,May,18:37,19:07,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,2.5,3, ,3
5/27/2010,1,May,18:37,19:07,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,5,7, ,7
5/27/2010,1,May,18:37,19:07,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,7.5,39, ,39
5/27/2010,1,May,18:37,19:07,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,10,97, ,97
