"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"11496",2012,4,1,29.266383,-83.106733,0.7,25.5,14.5,"5.6",25.8,10.3,6.2,7.7,"FWC"
"11497",2012,4,1,29.269316,-83.107583,0.6,24.9,17.1,"5.1",26.1,10.3,5.9,7.5,"FWC"
"11498",2012,4,1,29.276516,-83.111466,2.3,25,14.7,"4.7",25.7,9,5.6,7.4,"FWC"
"11499",2012,4,1,29.266583,-83.095033,1.6,24.6,13.3,"5.2",25.6,9,5.7,7.5,"FWC"
"11500",2012,4,1,29.25295,-83.0754,0.8,25.6,11.2,"6",25.8,11.1,6.2,7.7,"FWC"
"11501",2012,4,1,29.265216,-83.080383,0.6,26.5,8.7,"4.3",26.5,8.7,6.7,7.7,"FWC"
"11502",2012,4,1,29.277,-83.078816,1.3,25.3,8.9,"5.3",25.3,8.9,5.4,7.6,"FWC"
"11503",2012,4,1,29.276233,-83.0895,0.7,26.4,9.2,"6.1",26.5,9.2,6.2,7.7,"FWC"
"11504",2012,4,1,29.291983,-83.08925,0.7,25.5,6.8,"4.9",25.5,6.8,5.1,7.7,"FWC"
"11505",2012,4,2,29.113,-83.048616,0.4,24.7,28,"5",24.7,27.9,5.1,7.7,"FWC"
"11506",2012,4,2,29.126916,-83.051366,0.3,24.6,27.1,"4.7",24.5,26.7,4.7,7.8,"FWC"
"11507",2012,4,2,29.14075,-83.021816,0.2,25.3,29.6,"5.9",NA,NA,NA,7.9,"FWC"
"11508",2012,4,2,29.152733,-82.991116,0.4,25.5,30.9,"5.9",25.5,30.9,6,7.9,"FWC"
"11509",2012,4,2,29.15165,-82.991233,0.2,25.6,30.6,"6.2",NA,NA,NA,7.9,"FWC"
"11510",2012,4,2,29.15635,-83.012566,0.8,25.3,29.7,"5.9",25.2,27.6,6.1,7.9,"FWC"
"11511",2012,4,2,29.1581,-83.02125,0.4,25.7,27.3,"5",25.8,27.2,5.1,7.8,"FWC"
"11512",2012,4,2,29.12715,-83.030716,1,24.8,29.3,"6.4",25.8,29,6.5,7.9,"FWC"
