"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"961",1998,2,9,29.073167,-83.024833,0.3,11.3,23.4,"9.1",NA,NA,NA,7.9,"FWC"
"962",1998,2,9,29.067,-83.007833,0.6,11.4,24.9,"10.5",NA,NA,NA,8.2,"FWC"
"963",1998,2,9,29.128833,-83.024667,0.4,11.5,14.7,"9.9",NA,NA,NA,8.1,"FWC"
"964",1998,2,9,29.097,-83.0345,0.3,12.1,21.4,"9.6",NA,NA,NA,8.1,"FWC"
"965",1998,2,9,29.121333,-83.089333,0.3,12.1,16.4,"10",NA,NA,NA,8.2,"FWC"
"966",1998,2,9,29.147333,-83.073333,0.6,12.3,12,"9.5",NA,NA,NA,8.1,"FWC"
"967",1998,2,9,29.147333,-83.056833,0.4,13.1,8.3,"10.3",NA,NA,NA,8.2,"FWC"
"968",1998,2,9,29.147833,-83.062167,0.3,12.9,12,"9.7",NA,NA,NA,8.2,"FWC"
"969",1998,2,9,29.147333,-83.0735,0.4,12.9,12.6,"9.2",NA,NA,NA,8.1,"FWC"
"970",1998,2,9,29.1275,-83.07,0.3,12.6,15.5,"9.7",NA,NA,NA,8.2,"FWC"
"971",1998,2,10,29.279,-83.110667,1.1,12,0,"7.6",NA,NA,NA,8.1,"FWC"
"972",1998,2,10,29.264333,-83.083667,0.3,13.5,2.3,"8.6",NA,NA,NA,8.1,"FWC"
"973",1998,2,10,29.263333,-83.079833,0.6,13.5,1.8,"8.5",NA,NA,NA,8,"FWC"
"974",1998,2,10,29.291,-83.169167,0.4,14.3,1.3,"8.2",NA,NA,NA,7.9,"FWC"
"975",1998,2,10,29.29,-83.17,0.6,14.3,1.3,"8.2",NA,NA,NA,7.9,"FWC"
"976",1998,2,10,29.335833,-83.172,0.5,14.2,13,"8.4",NA,NA,NA,8,"FWC"
"977",1998,2,10,29.329167,-83.178333,0.5,14.5,18.3,"8.7",NA,NA,NA,8.1,"FWC"
"978",1998,2,12,29.126833,-83.052,0.3,13.9,20.7,"9",NA,NA,NA,8.2,"FWC"
"979",1998,2,12,29.126333,-83.053167,0.3,13.9,20.7,"9",NA,NA,NA,8.2,"FWC"
"980",1998,2,12,29.132333,-83.1035,0.5,13.9,26.7,"8.8",NA,NA,NA,8.3,"FWC"
"981",1998,2,12,29.204667,-83.0615,0.3,16.3,17.5,"8.9",NA,NA,NA,8.2,"FWC"
