"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"921",1998,1,7,29.365833,-83.190833,0.6,17,15.8,"8",NA,NA,NA,7.7,"FWC"
"922",1998,1,7,29.363833,-83.179667,0.6,18.6,14.5,"7.9",NA,NA,NA,7.7,"FWC"
"923",1998,1,7,29.355833,-83.1855,0.6,17.5,14,"8.4",NA,NA,NA,7.7,"FWC"
"924",1998,1,7,29.329333,-83.166167,0.6,17.3,4.3,"8.4",NA,NA,NA,7.5,"FWC"
"925",1998,1,7,29.290167,-83.1695,0.4,15.2,0.2,"8.6",NA,NA,NA,7.8,"FWC"
"926",1998,1,9,29.1365,-83.028333,0.4,17.3,19.4,"7.5",NA,NA,NA,8.1,"FWC"
"927",1998,1,9,29.147167,-83.015833,0.3,17.7,19.3,"7.6",NA,NA,NA,8.3,"FWC"
"928",1998,1,9,29.1265,-83.019833,0.3,17.7,20.5,"8",NA,NA,NA,8.4,"FWC"
"929",1998,1,9,29.098167,-83.030167,0.3,16.8,23.2,"8.6",NA,NA,NA,8.5,"FWC"
"930",1998,1,9,29.130167,-83.093,0.3,17.3,25,"8.4",NA,NA,NA,8.5,"FWC"
"931",1998,1,9,29.146,-83.071167,0.3,18.7,21.4,"8.5",NA,NA,NA,8.6,"FWC"
"932",1998,1,9,29.144667,-83.045833,0.2,18.8,20.7,"7.7",NA,NA,NA,8.3,"FWC"
"933",1998,1,12,29.127167,-82.980167,0.4,14.8,17,"8.7",NA,NA,NA,8.6,"FWC"
"934",1998,1,12,29.086,-83.065333,0.2,15.3,25.9,"8.2",NA,NA,NA,8.6,"FWC"
"935",1998,1,12,29.096167,-83.063167,0.3,17.5,27.6,"10.5",NA,NA,NA,8.7,"FWC"
"936",1998,1,12,29.126667,-83.031167,0.4,16.6,23.8,"10.1",NA,NA,NA,8.7,"FWC"
"937",1998,1,12,29.1215,-83.0895,0.5,16.8,28.7,"9",NA,NA,NA,8.7,"FWC"
"938",1998,1,12,29.126833,-83.051667,0.8,16.6,25.9,"8.7",NA,NA,NA,8.8,"FWC"
"939",1998,1,13,29.260667,-83.187667,0.5,15,9,"7.6",NA,NA,NA,8.1,"FWC"
"940",1998,1,13,29.252167,-83.181333,0.4,15.1,11.4,"8",NA,NA,NA,8.2,"FWC"
"941",1998,1,13,29.284667,-83.141,0.2,14.8,0.2,"7.5",NA,NA,NA,8.3,"FWC"
"942",1998,1,13,29.289167,-83.1445,0.3,15,0.1,"7.6",NA,NA,NA,8.2,"FWC"
