"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"11694",2012,7,1,29.1537,-82.98405,0.2,28.7,28.7,"6.1",NA,NA,NA,8.2,"FWC"
"11695",2012,7,1,29.17225,-82.984533,0.7,28.2,27.7,"5.2",28.2,27.5,5.1,8,"FWC"
"11696",2012,7,1,29.17025,-82.99795,0.6,28.3,27.9,"4.5",28.3,27.9,4.6,7.9,"FWC"
"11697",2012,7,1,29.14595,-83.01715,1.2,28.7,28,"6.2",28.7,28,6.3,8.3,"FWC"
"11698",2012,7,1,29.141233,-83.014916,0.7,28.8,28.5,"6.6",28.8,28.5,6.6,8.3,"FWC"
"11699",2012,7,1,29.12325,-83.024466,1,28.4,29,"6.9",28.8,28.7,7.4,8.4,"FWC"
"11700",2012,7,1,29.124983,-83.0256,1.6,28.3,29,"6",28.9,28.3,6.7,8.4,"FWC"
"11701",2012,7,1,29.1276,-83.03335,1.4,29,28.9,"7.1",29,28.8,7.2,8.4,"FWC"
"11702",2012,7,1,29.1269,-83.05145,1.7,28.9,25.7,"7.1",29.2,25.5,7.5,8.4,"FWC"
"11703",2012,7,2,29.1353,-83.0832,0.6,28.6,28.7,"6.2",28.6,28.7,6.2,6.2,"FWC"
"11704",2012,7,2,29.1281,-83.082533,0.4,29,28.7,"6.3",29,28.7,5.3,8.3,"FWC"
"11705",2012,7,2,29.126016,-83.06995,1.2,28.9,27.7,"6.6",28.9,27.6,6.4,8.3,"FWC"
"11706",2012,7,2,29.147466,-83.070983,1,29.2,22,"6.8",29.2,22,6.7,8.4,"FWC"
"11707",2012,7,2,29.151116,-83.034183,0.4,28.9,23.3,"5.2",28.9,23.3,5.2,8.1,"FWC"
"11708",2012,7,2,29.168833,-83.030733,0.3,28.8,22.1,"4.8",28.8,22.1,4.8,8,"FWC"
"11709",2012,7,2,29.171483,-83.039133,0.8,28.9,19.9,"5.3",28.9,19.8,5.3,8,"FWC"
"11710",2012,7,2,29.172616,-83.05285,1,29.9,17.5,"7.6",29.9,17.5,7.6,8.4,"FWC"
"11711",2012,7,3,29.1886,-83.0648,0.2,28.7,15.9,"5.7",NA,NA,NA,7.9,"FWC"
"11712",2012,7,3,29.198683,-83.070883,0.6,28.7,13.7,"6.5",28.7,13.7,6.8,8.2,"FWC"
"11713",2012,7,3,29.199583,-83.075133,0.7,28.6,13.5,"6.9",28.6,13.5,7,8.3,"FWC"
"11714",2012,7,3,29.21555,-83.071016,0.7,28.7,13.6,"6.7",28.8,13.3,7.2,8.2,"FWC"
"11715",2012,7,3,29.221816,-83.057433,0.5,28.2,15.9,"4.8",28.2,16,4.8,7.8,"FWC"
"11716",2012,7,3,29.2516,-83.074233,0.9,29.6,4.3,"4.8",29.7,4.3,4.9,7.9,"FWC"
"11717",2012,7,3,29.25885,-83.067683,0.8,29.5,3.3,"4.3",29.5,3.3,4.3,7.8,"FWC"
"11718",2012,7,3,29.26245,-83.083366,1.3,28.9,4.1,"2.1",28.8,1.5,4.2,7.5,"FWC"
"11719",2012,7,4,29.10205,-83.061366,0.2,29.5,27.6,"5.1",NA,NA,NA,7.9,"FWC"
"11720",2012,7,4,29.080083,-83.002266,1.5,30,31.9,"5.1",30,31.9,5.5,8.1,"FWC"
"11721",2012,7,4,29.066633,-83.011183,0.3,29.7,32,"3.9",29.7,32,4.1,8,"FWC"
"11722",2012,7,4,29.047766,-83.027883,4.2,30.1,32.7,"5.1",30.2,32.6,5.9,8.1,"FWC"
"11723",2012,7,4,29.062066,-83.064416,4.3,30.2,31.8,"5.2",30.5,30.9,5.9,8.1,"FWC"
"11724",2012,7,4,29.03855,-83.102133,5.4,29.5,32.8,"4.9",29.8,32.3,5.6,8.1,"FWC"
"11725",2012,7,4,29.095733,-83.140166,6.5,29.3,33.2,"4.6",31,21.7,6.6,8,"FWC"
"11726",2012,7,5,29.3248,-83.164516,0.2,29.4,1.2,"3.8",NA,NA,NA,8.4,"FWC"
"11727",2012,7,5,29.364366,-83.174166,0.6,30.5,10.1,"3.3",30.5,10.1,3.8,7.7,"FWC"
"11728",2012,7,5,29.359033,-83.188466,0.6,31.6,13.8,"4.4",31.6,13.4,4.5,7.7,"FWC"
"11729",2012,7,5,29.3648,-83.201566,0.6,31.5,13.8,"6.5",31.5,13.8,6.5,7.9,"FWC"
"11730",2012,7,5,29.365133,-83.201283,0.2,31.8,13.8,"6.7",NA,NA,NA,7.9,"FWC"
"11731",2012,7,5,29.3374,-83.204833,1.6,30.9,25.1,"1.9",32.7,7.2,4.3,7.6,"FWC"
"11732",2012,7,5,29.282883,-83.184816,0.4,30.4,2.1,"2.5",30.5,2.1,2.5,7.9,"FWC"
"11733",2012,7,5,29.293816,-83.165983,0.5,28.8,0.1,"2",28.7,0.1,2,8.3,"FWC"
"11734",2012,7,6,29.284433,-83.1393,1.3,30.1,4.2,"3.7",30,3.3,4.2,7.6,"FWC"
"11735",2012,7,6,29.295183,-83.143383,1,29.2,1.3,"3.2",29.2,1.3,3.2,8,"FWC"
