"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"1121",1998,6,9,29.280833,-83.173167,0.4,26.3,10,"8.4",NA,NA,NA,8.4,"FWC"
"1122",1998,6,9,29.293667,-83.185167,0.5,28.4,25.1,"6.4",NA,NA,NA,8.3,"FWC"
"1123",1998,6,9,29.352,-83.165,0.5,28.3,17.2,"5.4",NA,NA,NA,8,"FWC"
"1124",1998,6,9,29.338667,-83.160333,0.5,28.4,14.5,"8.2",NA,NA,NA,8.4,"FWC"
"1125",1998,6,9,29.340667,-83.1425,0.5,28,7.7,"8.4",NA,NA,NA,8.3,"FWC"
"1126",1998,6,9,29.318333,-83.165833,0.6,28.3,9.1,"8.2",NA,NA,NA,8.3,"FWC"
"1127",1998,6,9,29.2905,-83.1695,0.5,28.6,11.7,"7",NA,NA,NA,8.3,"FWC"
"1128",1998,6,10,29.141667,-82.9785,0.2,27.8,18,"5.5",NA,NA,NA,8.3,"FWC"
"1129",1998,6,10,29.160333,-82.964333,0.5,27.7,17.4,"4.5",NA,NA,NA,8,"FWC"
"1130",1998,6,10,29.173333,-82.9985,0.3,29.2,16.4,"5.6",NA,NA,NA,8.1,"FWC"
"1131",1998,6,10,29.157833,-82.998167,0.4,29.2,18,"7.2",NA,NA,NA,8.5,"FWC"
"1132",1998,6,10,29.157167,-83.008833,0.4,30.6,16.6,"7.5",NA,NA,NA,8.5,"FWC"
"1133",1998,6,10,29.125833,-83.033667,0.4,30.4,23.1,"7.4",NA,NA,NA,8.6,"FWC"
"1134",1998,6,11,29.119,-83.093667,0.4,28.9,25,"5.9",NA,NA,NA,8.5,"FWC"
"1135",1998,6,11,29.177,-83.084333,0.6,29.2,16.4,"5.5",NA,NA,NA,8.6,"FWC"
"1136",1998,6,11,29.209833,-83.086333,0.5,29.1,12.2,"7.4",NA,NA,NA,8.6,"FWC"
"1137",1998,6,11,29.1865,-83.0725,0.5,30.1,17.5,"6.3",NA,NA,NA,8.6,"FWC"
"1138",1998,6,11,29.168833,-83.0585,0.6,31.1,16.6,"8.3",NA,NA,NA,8.8,"FWC"
"1139",1998,6,11,29.0955,-83.066833,0.6,31.3,25.9,"9.7",NA,NA,NA,8.9,"FWC"
"1140",1998,6,11,29.147667,-83.057,0.6,32.3,19.8,"9.1",NA,NA,NA,8.8,"FWC"
"1141",1998,6,15,29.141833,-83.015667,0.5,28.8,17.6,"6.1",NA,NA,NA,8.6,"FWC"
"1142",1998,6,15,29.152333,-82.991167,0.4,29.9,18.5,"6.5",NA,NA,NA,8.6,"FWC"
"1143",1998,6,15,29.127167,-83.030667,0.4,31.3,20.1,"8.3",NA,NA,NA,8.9,"FWC"
"1144",1998,6,17,29.306167,-83.174333,0.4,29,9.9,"5",NA,NA,NA,8.4,"FWC"
"1145",1998,6,17,29.311333,-83.163,0.6,27.9,0.8,"5.7",NA,NA,NA,8.6,"FWC"
"1146",1998,6,17,29.289333,-83.168833,0.4,28.7,0.9,"6.9",NA,NA,NA,8.8,"FWC"
"1147",1998,6,17,29.269833,-83.107167,0.6,30.3,0.4,"6.9",NA,NA,NA,8.8,"FWC"
"1148",1998,6,17,29.248333,-83.181667,0.6,30.9,25.7,"10.1",NA,NA,NA,9,"FWC"
"1149",1998,6,17,29.243167,-83.157,0.6,31,16.8,"10.7",NA,NA,NA,9,"FWC"
