"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"11430",2012,3,1,29.097283,-83.027716,0.4,19.4,32.9,"6.3",19.4,32.9,5.9,8.1,"FWC"
"11431",2012,3,1,29.096533,-83.03535,0.3,19.7,33,"6.5",19.7,33,6.4,8.1,"FWC"
"11432",2012,3,1,29.097016,-83.035233,0.4,19.7,32.9,"6.5",19.7,32.9,6.5,8.1,"FWC"
"11433",2012,3,1,29.141616,-83.014883,0.6,19.8,31.1,"7.2",19.8,31.2,6.8,8.1,"FWC"
"11434",2012,3,1,29.140216,-83.022433,0.2,20,31.2,"6.6",NA,NA,NA,8.1,"FWC"
"11435",2012,3,1,29.14575,-83.0173,0.9,19.9,31.1,"7.2",19.9,31.4,6.7,8.1,"FWC"
"11436",2012,3,1,29.155933,-83.0114,0.4,21.4,30.5,"6.4",21.4,30.5,6.3,8,"FWC"
"11437",2012,3,1,29.1542,-83.01995,0.6,20.7,30.9,"5.6",20.7,30.9,5.4,7.9,"FWC"
"11438",2012,3,2,29.102466,-83.061566,0.6,19.3,33.1,"5",19.3,33,4.8,8,"FWC"
"11439",2012,3,2,29.102466,-83.07095,0.6,19.9,32.6,"4.8",19.9,32.6,4.8,8,"FWC"
"11440",2012,3,2,29.126066,-83.070183,1.3,19.9,32.3,"6.2",19.9,32.3,6.1,8.1,"FWC"
"11441",2012,3,2,29.165466,-83.06365,0.8,20.8,31,"5.5",20.8,30.9,5.5,8,"FWC"
"11442",2012,3,2,29.169666,-83.049766,0.6,20.9,30.8,"5.5",20.9,30.8,5.4,8,"FWC"
"11443",2012,3,2,29.16975,-83.048716,0.3,21.2,30.7,"5.5",21.2,30.7,5.5,8,"FWC"
"11444",2012,3,2,29.126933,-83.051283,1.3,20.3,31.4,"6.1",20.4,31.4,6,8.1,"FWC"
"11445",2012,3,2,29.127583,-83.050533,0.3,20.6,31.4,"5.9",20.6,31.4,5.8,8.1,"FWC"
"11446",2012,3,3,29.113033,-83.110966,3.5,17.9,33.1,"6.6",18,33.1,6.6,8.1,"FWC"
"11447",2012,3,3,29.079933,-83.103733,2.9,18.5,33.8,"7",18.5,33.8,6.3,8.2,"FWC"
"11448",2012,3,3,29.069483,-83.020416,4.1,18.6,33.2,"6.8",18.7,33.1,6.3,8.2,"FWC"
"11449",2012,3,3,29.0946,-83.028833,0.4,18.6,33.2,"7.1",18.5,33.2,7.1,8.2,"FWC"
"11450",2012,3,3,29.06735,-82.992516,3,18.3,33.5,"6.6",18.3,33.5,6.3,8.2,"FWC"
"11451",2012,3,3,29.143983,-82.9587,1.6,18.4,31.6,"7",18.4,31.6,6.8,8.1,"FWC"
"11452",2012,3,3,29.169883,-82.962616,0.4,18.3,30.5,"7.1",18.3,30.5,7.2,8.1,"FWC"
"11453",2012,3,4,29.289233,-83.1661,0.2,19.2,3,"9.2",NA,NA,NA,8.1,"FWC"
"11454",2012,3,4,29.288216,-83.165483,1.6,17.3,7.5,"11.2",19,4.1,12.5,8.3,"FWC"
"11455",2012,3,4,29.30905,-83.145616,2.5,19.3,2.2,"8",19.8,0.8,8.7,8,"FWC"
"11456",2012,3,4,29.3257,-83.10885,5.4,20.4,0.2,"8.5",20.5,0.2,8.6,8.1,"FWC"
"11457",2012,3,4,29.3221,-83.106416,0.5,19.6,0.5,"6.7",19.6,0.5,7.5,7.6,"FWC"
"11458",2012,3,4,29.301683,-83.11525,3.1,20.5,0.4,"8.6",20.5,0.4,8.7,8.1,"FWC"
"11459",2012,3,4,29.278083,-83.112933,3.8,17.6,15.2,"9.1",18.9,9.7,9,8.1,"FWC"
"11460",2012,3,4,29.277666,-83.11385,1,18.4,9.6,"9.2",18.8,8.9,9.4,8.1,"FWC"
"11461",2012,3,4,29.277216,-83.110783,0.7,18.3,11.3,"9.1",19.5,6,9.3,8,"FWC"
"11462",2012,3,4,29.320833,-83.1225,0.5,20.8,0.4,"8.8",20.9,0.4,8.9,8.2,"FWC"
"11463",2012,3,5,29.168966,-83.103333,0.6,17.6,30.8,"2.5",17.6,30.8,2.1,8.1,"FWC"
"11464",2012,3,5,29.233633,-83.0935,0.5,16.9,23,"2",16.9,23.1,2,8.3,"FWC"
"11465",2012,3,5,29.22455,-83.0864,0.6,17.5,24.9,"1.7",17.4,24.9,1.5,8.4,"FWC"
"11466",2012,3,5,29.20805,-83.10475,2,17.6,27.2,"1.3",17.6,27.2,1.4,8.3,"FWC"
"11467",2012,3,5,29.1882,-83.1273,3,18,32.4,"0.9",18,32.4,1,8.3,"FWC"
"11468",2012,3,5,29.212183,-83.080333,0.8,17.7,26.3,"1.2",17.8,26.2,0.9,8.3,"FWC"
"11469",2012,3,5,29.187883,-83.073716,0.4,18,29,"1.3",18.6,28.6,1.4,8.3,"FWC"
"11470",2012,3,5,29.2003,-83.065633,0.6,17.9,28.1,"1.4",18,28.1,1.3,8.3,"FWC"
"11471",2012,3,5,29.1908,-83.054833,0.7,18.5,28.9,"1.1",18.5,29,1,8.2,"FWC"
"11472",2012,3,6,29.27215,-83.102366,1.3,20.3,11.9,"6",20.5,3.4,6.7,7.8,"FWC"
"11473",2012,3,6,29.280433,-83.120916,0.4,20.3,7.2,"6.6",20.3,7,7,7.7,"FWC"
"11474",2012,3,6,29.25415,-83.165483,0.3,19.9,15.8,"8.4",19.9,15.8,8.7,7.9,"FWC"
"11475",2012,3,6,29.29825,-83.187133,0.4,20.8,26,"8.4",20.9,21.8,8.7,8.1,"FWC"
"11476",2012,3,6,29.321266,-83.19115,0.7,20.5,27.8,"8.4",20.8,19.5,8.6,8.1,"FWC"
"11477",2012,3,6,29.333916,-83.226033,2,20.3,28.6,"9",20.8,20.9,9.6,8.1,"FWC"
"11478",2012,3,6,29.343416,-83.26495,2,20.1,29.5,"9.1",20.7,27.1,9.5,8.1,"FWC"
"11479",2012,3,6,29.350083,-83.306583,3.3,20.1,32.3,"8.4",20.9,28.7,8.8,8.1,"FWC"
"11480",2012,3,7,29.23245,-83.065366,1.4,21.3,26.7,"7.2",21.3,26.5,7.3,7.7,"FWC"
"11481",2012,3,7,29.2314,-83.05895,0.3,21.1,25.5,"6.8",21.1,25.5,6.9,7.6,"FWC"
"11482",2012,3,7,29.230633,-83.073716,0.4,21.4,27.4,"8",21.6,27.2,8.2,7.8,"FWC"
"11483",2012,3,7,29.247316,-83.0649,0.9,21.7,23.9,"7.1",21.7,23.9,7.7,7.6,"FWC"
"11484",2012,3,7,29.2725,-83.080633,0.5,22,15.6,"6.3",22.2,14.8,7.6,7.5,"FWC"
"11485",2012,3,7,29.266383,-83.090833,0.5,22.3,21.2,"6.6",22.9,17.3,6.9,7.7,"FWC"
"11486",2012,3,7,29.268766,-83.1079,1.8,21.3,23.5,"6.4",22.5,4.8,7.5,7.6,"FWC"
"11487",2012,3,7,29.28835,-83.144433,0.6,23.8,8.8,"8.6",24,7.4,8.6,7.8,"FWC"
"11488",2012,3,8,29.316566,-83.151416,0.6,20.8,1.1,"6.3",20.8,1.1,6.3,7.3,"FWC"
"11489",2012,3,8,29.30425,-83.1721,0.4,20.4,4.9,"6.2",20.4,4.9,6.2,7.6,"FWC"
"11490",2012,3,8,29.304466,-83.173883,0.5,20.6,6.6,"5.4",20.6,4.8,5.6,7.4,"FWC"
"11491",2012,3,8,29.324916,-83.16505,0.9,22.2,16.4,"6.1",22.1,11.7,6.3,7.4,"FWC"
"11492",2012,3,8,29.343233,-83.175783,0.2,22.3,17.2,"8.5",NA,NA,NA,7.7,"FWC"
"11493",2012,3,8,29.361066,-83.18295,0.2,22.7,18.7,"7.3",NA,NA,NA,7.7,"FWC"
"11494",2012,3,8,29.353616,-83.1846,0.7,23,20.1,"8.7",23.2,20,8.6,7.9,"FWC"
"11495",2012,3,8,29.3646,-83.201733,0.5,23.5,19.8,"8.8",23.6,19.8,8.8,8,"FWC"
"32686",2012,3,12,29.34333333,-83.192,0.2,NA,NA,NA,20,17,6.6,8.1,"FDACS"
"32687",2012,3,12,29.3615,-83.18983333,0.2,NA,NA,NA,20.1,21.2,6.3,8.1,"FDACS"
"32688",2012,3,12,29.34766667,-83.182,0.2,NA,NA,NA,20.1,20.8,6.6,8.1,"FDACS"
"32689",2012,3,12,29.2245,-83.0795,0.2,NA,NA,NA,19.2,26.7,7,8,"FDACS"
"32690",2012,3,12,29.2245,-83.07983333,0.2,NA,NA,NA,19.2,26.7,7,8,"FDACS"
"32691",2012,3,12,29.36133333,-83.213,0.3,20,24.2,"6.1",20.1,23.3,6.1,8.2,"FDACS"
"32692",2012,3,12,29.31866667,-83.19866667,0.3,20.1,27.5,"6.2",20,24.7,6.2,8.1,"FDACS"
"32693",2012,3,12,29.243,-83.0945,0.3,19.7,22.1,"7.1",19.7,22.1,7.2,8.1,"FDACS"
"32694",2012,3,12,29.23116667,-83.0855,0.3,19.6,25.2,"6.5",19.6,25.1,6.6,8,"FDACS"
"32695",2012,3,12,29.249,-83.1705,0.3,19.7,21.2,"7",19.7,21.2,6.8,8.2,"FDACS"
"32696",2012,3,12,29.36566667,-83.2,0.3,20,23.2,"6.2",20,23.1,6.2,8,"FDACS"
"32697",2012,3,12,29.23566667,-83.07616667,0.3,19.4,24.3,"6.6",19.4,24.3,6.6,7.9,"FDACS"
"32698",2012,3,12,29.1665,-83.0315,0.4,19.6,22.1,"5.6",19.6,22.1,5.6,7.9,"FDACS"
"32699",2012,3,12,29.362,-83.1815,0.4,19.6,22.1,"5.6",19.6,22.1,5.6,7.9,"FDACS"
"32700",2012,3,12,29.3445,-83.19233333,0.4,20,20.8,"7.1",20,20.8,7.3,8.2,"FDACS"
"32701",2012,3,12,29.32,-83.19166667,0.4,19.8,21,"6.4",20,16.2,6.4,8.1,"FDACS"
"32702",2012,3,12,29.24483333,-83.074,0.4,19.4,22.5,"6.4",19.4,22.2,6.2,7.8,"FDACS"
"32703",2012,3,12,29.24033333,-83.16333333,0.4,19.9,29.2,"6.6",19.8,23,6.7,8.1,"FDACS"
"32704",2012,3,12,29.23733333,-83.08233333,0.4,19.9,27.3,"6.3",19.9,26.4,6.6,8.1,"FDACS"
"32705",2012,3,12,29.34633333,-83.174,0.5,20.5,19.2,"6.9",20.4,18.8,6.9,8.1,"FDACS"
"32706",2012,3,12,29.34933333,-83.21066667,0.5,20,25.2,"6.3",19.9,23.7,6.4,8.2,"FDACS"
"32707",2012,3,12,29.238,-83.06933333,0.5,19.3,24,"6.4",19.2,23.4,6.3,7.9,"FDACS"
"32708",2012,3,12,29.24816667,-83.15416667,0.7,19.8,23.4,"6.7",19.9,22.9,6.8,8.1,"FDACS"
"32709",2012,3,12,29.2965,-83.19033333,0.7,20.1,28.4,"5.8",20.2,24.5,6.1,8.1,"FDACS"
"32710",2012,3,12,29.23133333,-83.12866667,0.7,19.8,29.9,"6.6",19.7,28.1,6.6,8.1,"FDACS"
"32711",2012,3,12,29.23066667,-83.07566667,0.7,19.4,24.6,"6.8",19.5,24.5,6.7,7.9,"FDACS"
"32712",2012,3,12,29.2635,-83.171,0.8,19.7,20,"6.4",19.9,18.9,6.7,8.1,"FDACS"
"32713",2012,3,20,29.249,-83.1705,0.2,NA,NA,NA,23.4,27.3,5.3,8.1,"FDACS"
"32714",2012,3,20,29.2995,-83.18833333,0.2,NA,NA,NA,22.5,11.9,6,7.7,"FDACS"
"32715",2012,3,20,29.34333333,-83.192,0.3,23.2,25.7,"4.8",23.2,25.7,4.6,8,"FDACS"
"32716",2012,3,20,29.36566667,-83.2,0.3,23.2,22.9,"5.1",23.2,22.9,5.6,8.1,"FDACS"
"32717",2012,3,20,29.34766667,-83.182,0.3,23.3,22.1,"5.5",23.3,22.1,5,7.9,"FDACS"
"32718",2012,3,20,29.34016667,-83.1715,0.3,23.2,15.9,"5.6",23.2,15.9,5.2,7.8,"FDACS"
"32719",2012,3,20,29.1665,-83.0315,0.4,23,22.2,"5.3",23,22.2,4.4,7.8,"FDACS"
"32720",2012,3,20,29.362,-83.1815,0.4,23,22.2,"5.3",23,22.2,4.4,7.8,"FDACS"
"32721",2012,3,20,29.3445,-83.19233333,0.4,23.4,22.4,"5.4",23.4,22.4,5.1,8,"FDACS"
"32722",2012,3,20,29.31866667,-83.19866667,0.4,23.5,27.5,"5.3",23.5,27.4,5,8,"FDACS"
"32723",2012,3,20,29.25666667,-83.1,0.4,24.1,24.7,"4.4",24.1,24.7,4.2,8,"FDACS"
"32724",2012,3,20,29.243,-83.0945,0.4,24.2,26.2,"4.3",24.2,26.2,4.3,8,"FDACS"
"32725",2012,3,20,29.3615,-83.18983333,0.4,23.2,22.5,"4.4",23.1,21.2,4.2,8,"FDACS"
"32726",2012,3,20,29.2875,-83.1655,0.4,22.4,14.5,"5.1",22.5,7.8,5.6,7.7,"FDACS"
"32727",2012,3,20,29.25633333,-83.07833333,0.4,23.8,17.6,"4.1",24,17.1,3.9,7.7,"FDACS"
"32728",2012,3,20,29.2745,-83.17333333,0.4,22.6,19.6,"5.6",22.6,19.5,5.1,7.9,"FDACS"
"32729",2012,3,20,29.2245,-83.0795,0.4,24,29.5,"4.1",23.8,27.2,4,8,"FDACS"
"32730",2012,3,20,29.2245,-83.07983333,0.4,24,29.5,"4.1",23.8,27.2,4,8,"FDACS"
"32731",2012,3,20,29.23566667,-83.07616667,0.4,24,22.9,"5.2",24,22.9,4.6,8,"FDACS"
"32732",2012,3,20,29.238,-83.06933333,0.4,23.9,20.9,"4.1",24,19.7,4.7,7.9,"FDACS"
"32733",2012,3,20,29.32,-83.19166667,0.5,23.3,27,"4.9",23.4,26.4,4.8,8,"FDACS"
"32734",2012,3,20,29.26833333,-83.13233333,0.5,22.8,16.6,"6",22.7,14.5,6,7.7,"FDACS"
"32735",2012,3,20,29.34633333,-83.174,0.6,23.3,19.3,"5",23.3,18.5,5,7.8,"FDACS"
"32736",2012,3,20,29.355,-83.17333333,0.6,23,20.2,"6.1",23,20.1,6.8,7.8,"FDACS"
"32737",2012,3,20,29.34933333,-83.21066667,0.6,23.3,24,"4.9",23.3,23.9,5.3,8.1,"FDACS"
"32738",2012,3,20,29.36133333,-83.213,0.6,23.3,24.5,"4.9",23.3,24.5,4.7,8.1,"FDACS"
"32739",2012,3,20,29.31016667,-83.19933333,0.6,23.4,26.9,"5.2",23.4,26.1,5.6,8,"FDACS"
"32740",2012,3,20,29.305,-83.17633333,0.6,22.5,22.4,"5.3",22.5,6.8,7.2,7.7,"FDACS"
"32741",2012,3,20,29.25483333,-83.14583333,0.6,23.3,23.7,"5.4",23.2,21.1,5.9,8,"FDACS"
"32742",2012,3,20,29.16333333,-83.04666667,0.6,23.3,23.7,"5.4",23.2,21.1,5.9,8,"FDACS"
"32743",2012,3,20,29.24816667,-83.15416667,0.6,23.3,25.7,"5.3",23.3,25.7,5.1,8.1,"FDACS"
"32744",2012,3,20,29.258,-83.11283333,0.6,23.7,26.1,"3.9",23.2,17.7,5.6,7.8,"FDACS"
"32745",2012,3,20,29.24483333,-83.074,0.6,24,22,"4.2",24,19,4,7.8,"FDACS"
"32746",2012,3,20,29.25366667,-83.10166667,0.6,24.1,24.3,"4.6",24.1,24.3,4.3,8,"FDACS"
"32747",2012,3,20,29.24033333,-83.16333333,0.6,23.4,28.4,"5.2",23.4,28.4,5,8.1,"FDACS"
"32748",2012,3,20,29.23733333,-83.08233333,0.6,24.3,26.8,"4.2",24.4,24.9,4.7,8,"FDACS"
"32749",2012,3,20,29.31516667,-83.16333333,0.7,22.6,14.3,"4.8",23.1,7.9,7.1,7.7,"FDACS"
"32750",2012,3,20,29.3235,-83.157,0.7,22.7,7.9,"6.5",22.8,6.2,7.2,7.6,"FDACS"
"32751",2012,3,20,29.23116667,-83.0855,0.7,24.3,27.1,"4.5",24.2,27.1,4.1,8,"FDACS"
"32752",2012,3,20,29.2965,-83.19033333,0.7,23.7,31.2,"5",23.3,25.1,5.9,8,"FDACS"
"32753",2012,3,20,29.27666667,-83.10716667,0.7,23.5,18.7,"5.2",23.5,15.1,5.6,7.7,"FDACS"
"32754",2012,3,20,29.23133333,-83.12866667,0.7,23.4,28.1,"5.1",23.3,24.4,4.8,8,"FDACS"
