"","Year","Month","Day","Lat","Lon","Depth","Bottom_temp","Bottom_sal","Bottom_DO","Surface_temp","Surface_sal","Surface_DO","pH","Data_source"
"1281",1998,10,6,29.089833,-83.022833,0.3,27.7,26.9,"6.5",NA,NA,NA,8.1,"FWC"
"1282",1998,10,6,29.0865,-83.001333,0.3,28,27.1,"6.7",NA,NA,NA,8.3,"FWC"
"1283",1998,10,6,29.1075,-83.048667,0.4,28.2,27.4,"6.5",NA,NA,NA,8.3,"FWC"
"1284",1998,10,6,29.12,-83.031,0.4,28.2,28.2,"6.8",NA,NA,NA,8.3,"FWC"
"1285",1998,10,6,29.120667,-83.024667,0.3,30,27.7,"10.1",NA,NA,NA,8.6,"FWC"
"1286",1998,10,6,29.139,-83.016167,0.4,29.3,25.9,"6.5",NA,NA,NA,8.3,"FWC"
"1287",1998,10,8,29.305833,-83.182833,0.2,26.1,0.1,"4.1",NA,NA,NA,7.1,"FWC"
"1288",1998,10,8,29.360667,-83.296833,0.5,28.6,27.3,"5.8",NA,NA,NA,8.3,"FWC"
"1289",1998,10,8,29.355833,-83.210167,0.6,28.6,16,"6.5",NA,NA,NA,8.1,"FWC"
"1290",1998,10,8,29.311667,-83.157,0.8,28.2,0.2,"4.1",NA,NA,NA,7.3,"FWC"
"1291",1998,10,8,29.318167,-83.150333,0.4,27.5,0.1,"3.9",NA,NA,NA,7.3,"FWC"
"1292",1998,10,8,29.33,-83.176167,0.6,29.4,17.2,"5.1",NA,NA,NA,8,"FWC"
"1293",1998,10,8,29.364333,-83.171667,0.4,30.6,12.2,"8.4",NA,NA,NA,8.2,"FWC"
"1294",1998,10,12,29.138167,-83.0405,0.5,26.5,28.7,"5.3",NA,NA,NA,8.4,"FWC"
"1295",1998,10,12,29.163167,-83.001,0.5,26.2,26.7,"4.3",NA,NA,NA,8.3,"FWC"
"1296",1998,10,12,29.158667,-82.9995,0.4,27.4,26.5,"5.4",NA,NA,NA,8.4,"FWC"
"1297",1998,10,13,29.215333,-83.087667,0.5,28.1,23.7,"2.9",NA,NA,NA,8.1,"FWC"
"1298",1998,10,13,29.216667,-83.073,0.5,26.8,21.3,"3.9",NA,NA,NA,8.1,"FWC"
"1299",1998,10,13,29.230667,-83.058333,0.3,26.8,15,"4.4",NA,NA,NA,8,"FWC"
"1300",1998,10,13,29.264,-83.084,0.3,28.7,14.8,"3.2",NA,NA,NA,7.9,"FWC"
"1301",1998,10,13,29.273,-83.096167,2,27.6,21.3,"0.5",27,10.5,2.8,7.9,"FWC"
"1302",1998,10,14,29.101833,-83.061167,0.6,26.5,30.6,"5.8",NA,NA,NA,8.5,"FWC"
"1303",1998,10,14,29.095167,-83.035,0.6,26.3,30.2,"6.3",NA,NA,NA,8.7,"FWC"
"1304",1998,10,14,29.169167,-82.998333,0.3,26.6,25.8,"5.6",NA,NA,NA,8.3,"FWC"
"1305",1998,10,14,29.188167,-83.068333,0.3,27.9,25.9,"4.9",NA,NA,NA,8.2,"FWC"
"1306",1998,10,14,29.185167,-83.073667,0.3,28.6,26.8,"6.9",NA,NA,NA,8.6,"FWC"
"1307",1998,10,14,29.1425,-83.069,0.3,28.5,30.2,"7.3",NA,NA,NA,8.7,"FWC"
"1308",1998,10,14,29.121667,-82.979333,0.2,28.5,21,"7.3",NA,NA,NA,8.7,"FWC"
"1309",1998,10,19,29.268333,-83.106167,0.3,23.5,1.1,"4.8",NA,NA,NA,7.8,"FWC"
"1310",1998,10,19,29.294833,-83.155,0.9,23.2,0.8,"5.1",NA,NA,NA,7.8,"FWC"
"1311",1998,10,19,29.291833,-83.125833,0.6,23.8,3,"4.1",NA,NA,NA,7.6,"FWC"
"1312",1998,10,19,29.285167,-83.104167,0.8,23.6,0.3,"4.8",NA,NA,NA,7.8,"FWC"
"1313",1998,10,19,29.2855,-83.074,0.5,24.3,7.4,"4.2",NA,NA,NA,7.8,"FWC"
"1314",1998,10,19,29.275333,-83.089,0.5,24.8,12.1,"3.6",NA,NA,NA,7.8,"FWC"
"1315",1998,10,19,29.271333,-83.102,0.4,25.6,11.5,"3.2",NA,NA,NA,7.8,"FWC"
"1316",1998,10,19,29.247333,-83.075167,0.6,25,22.8,"4.1",NA,NA,NA,8.1,"FWC"
"1317",1998,10,20,29.199,-83.110833,0.4,24.9,28.1,"5.2",NA,NA,NA,8.4,"FWC"
"1318",1998,10,20,29.222,-83.086667,0.2,24.5,28.2,"6.3",NA,NA,NA,8.4,"FWC"
"1319",1998,10,20,29.176333,-83.054833,0.3,25.4,28.6,"6.3",NA,NA,NA,8.5,"FWC"
"1320",1998,10,20,29.168,-83.0295,0.6,26.1,27.8,"6.8",NA,NA,NA,8.6,"FWC"
"23584",1998,10,5,29.1665,-83.0315,0.2,NA,NA,NA,27.6,11.5,5.1,7.8,"FDACS"
"23585",1998,10,5,29.362,-83.1815,0.2,NA,NA,NA,27.6,11.5,5.1,7.8,"FDACS"
"23586",1998,10,5,29.23116667,-83.0855,0.2,NA,NA,NA,27.8,15.6,5.2,7.9,"FDACS"
"23587",1998,10,5,29.36566667,-83.2,0.2,NA,NA,NA,27.8,13.8,6.3,7.9,"FDACS"
"23588",1998,10,5,29.34766667,-83.182,0.2,NA,NA,NA,27.8,13.1,6.3,7.9,"FDACS"
"23589",1998,10,5,29.23733333,-83.08233333,0.2,NA,NA,NA,27.7,12.5,5.7,7.9,"FDACS"
"23590",1998,10,5,29.2245,-83.0795,0.2,NA,NA,NA,27.8,15.6,5.2,7.9,"FDACS"
"23591",1998,10,5,29.2245,-83.07983333,0.2,NA,NA,NA,27.8,15.6,5.2,7.9,"FDACS"
"23592",1998,10,5,29.34333333,-83.192,0.3,28,16,"5.9",28,16,5.9,8,"FDACS"
"23593",1998,10,5,29.31866667,-83.19866667,0.3,28,17.6,"5.7",27.9,16.4,5.5,7.9,"FDACS"
"23594",1998,10,5,29.24816667,-83.15416667,0.3,26.7,14.3,"4.8",26.6,5.1,5.3,7.8,"FDACS"
"23595",1998,10,5,29.25666667,-83.1,0.3,27.8,12,"4.6",27.8,10.8,5.2,7.8,"FDACS"
"23596",1998,10,5,29.243,-83.0945,0.3,27.8,12.1,"4.8",27.8,10.9,5.3,7.8,"FDACS"
"23597",1998,10,5,29.3445,-83.19233333,0.4,27.9,14.5,"6.5",28,14.2,6.9,8,"FDACS"
"23598",1998,10,5,29.3615,-83.18983333,0.4,27.8,13.6,"6.3",27.8,13.6,6.4,7.8,"FDACS"
"23599",1998,10,5,29.2745,-83.17333333,0.4,27.5,14.6,"5.6",27.3,11.2,5.9,8,"FDACS"
"23600",1998,10,5,29.249,-83.1705,0.5,28.1,18.4,"6.1",28.1,18.4,6.2,8.1,"FDACS"
"23601",1998,10,5,29.2965,-83.19033333,0.5,28.1,19.8,"5.6",28.1,18.1,6,8,"FDACS"
"23602",1998,10,5,29.34933333,-83.21066667,0.6,27.9,14.2,"6.5",27.8,14.2,6.5,8,"FDACS"
"23603",1998,10,5,29.36133333,-83.213,0.6,28.1,16.5,"7.4",28.1,16.5,7.4,8.1,"FDACS"
"23604",1998,10,5,29.32,-83.19166667,0.6,28,16.6,"5.5",27.9,16.5,5.6,7.9,"FDACS"
"23605",1998,10,5,29.24033333,-83.16333333,0.6,27,10.6,"5",27,9.8,5.1,7.7,"FDACS"
"23606",1998,10,5,29.23133333,-83.12866667,0.6,27.9,18.4,"4.6",27.8,10.9,4.8,7.8,"FDACS"
