,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,,
FDACS,1981,0,0,0,0,0,0,2,2,2,2,2,2
,1982,2,0,2,2,0,0,0,2,2,0,0,0
,1983,2,0,0,0,6,0,0,2,72,37,0,0
,1984,4,43,0,0,43,0,0,41,0,0,119,119
,1985,0,178,82,125,0,78,80,0,2,0,0,109
,1986,2,0,43,0,41,32,142,122,0,0,0,0
,1987,0,0,0,0,34,0,0,41,104,0,107,0
,1988,29,36,132,0,41,0,40,0,121,41,63,38
,1989,28,19,57,34,0,0,0,82,78,17,32,79
,1990,10,40,42,60,0,0,0,48,25,27,0,0
,1991,120,47,0,0,0,0,0,0,0,0,0,0
,1992,0,22,0,43,0,0,0,41,50,50,0,50
,1993,0,25,31,0,50,0,0,0,0,39,0,0
,1994,0,50,43,0,50,0,0,40,50,0,30,45
,1995,0,49,50,50,0,0,0,47,0,0,51,0
,1996,0,82,18,261,201,180,91,215,208,74,137,183
,1997,106,206,154,187,54,206,241,130,209,202,44,49
,1998,46,0,0,96,54,72,49,52,80,108,82,49
,1999,109,80,89,65,79,50,52,53,36,70,64,74
,2000,64,52,71,63,69,53,74,53,76,42,68,53
,2001,53,53,69,74,53,53,45,53,81,53,117,77
,2002,77,0,24,77,39,36,53,53,48,24,24,173
,2003,101,48,0,77,99,30,53,53,48,53,24,53
,2004,48,48,124,48,101,0,53,77,0,52,100,78
,2005,99,52,77,0,37,53,3,53,24,72,0,0
,2006,100,61,52,0,0,32,53,53,0,0,53,53
,2007,27,53,132,142,106,0,53,53,0,118,115,115
,2008,63,0,87,134,107,52,53,0,80,93,91,67
,2009,67,92,53,63,87,0,0,52,79,75,112,40
,2010,82,0,0,111,27,27,0,0,80,73,73,20
,2011,100,52,0,39,85,0,25,53,80,60,92,20
,2012,40,0,79,53,28,0,0,0,28,73,73,55
,2013,57,53,113,112,51,53,53,27,62,90,20,79
,2014,120,0,53,63,134,53,53,27,54,74,0,101
,2015,0,30,106,54,34,53,52,58,51,113,62,60
,2016,92,54,27,89,81,0,53,53,54,93,90,76
,2017,20,93,0,64,97,53,52,53,27,71,97,162
Frazier,1981,0,0,0,0,0,0,0,0,0,0,0,0
,1982,0,0,0,0,0,0,0,0,0,0,0,0
,1983,0,0,0,0,0,0,0,0,0,0,0,0
,1984,0,0,0,0,0,0,0,0,0,0,0,0
,1985,0,0,0,0,0,0,0,0,0,0,0,0
,1986,0,0,0,0,0,0,0,0,0,0,0,0
,1987,0,0,0,0,0,0,0,0,0,0,0,0
,1988,0,0,0,0,0,0,0,0,0,0,0,0
,1989,0,0,0,0,0,0,0,0,0,0,0,0
,1990,0,0,0,0,0,0,0,0,0,0,0,0
,1991,0,0,0,0,0,0,0,0,0,0,0,0
,1992,0,0,0,0,0,0,0,0,0,0,0,0
,1993,0,0,0,0,0,0,0,0,0,0,0,0
,1994,0,0,0,0,0,0,0,0,0,0,0,0
,1995,0,0,0,0,0,0,0,0,0,0,0,0
,1996,0,0,0,0,0,0,0,0,0,0,0,0
,1997,0,0,0,0,0,0,10,10,10,0,20,10
,1998,10,10,10,10,10,10,10,10,10,10,10,10
,1999,10,10,10,10,10,10,10,10,10,10,10,10
,2000,10,10,10,10,10,10,10,10,10,10,10,10
,2001,10,10,10,10,10,10,10,10,10,10,10,10
,2002,10,10,10,10,10,10,10,10,10,10,10,10
,2003,10,10,10,10,10,10,10,10,10,10,10,10
,2004,10,10,10,10,10,10,10,10,10,10,10,10
,2005,10,10,10,10,10,10,10,10,10,10,10,10
,2006,10,10,10,10,10,10,10,10,10,10,10,10
,2007,10,10,10,10,10,10,10,10,10,10,10,10
,2008,10,10,10,10,10,10,10,10,10,10,10,10
,2009,10,10,10,10,10,10,10,10,10,10,10,10
,2010,10,10,10,10,10,10,10,10,10,10,10,10
,2011,10,10,10,10,10,10,10,10,10,10,10,10
,2012,10,10,10,10,10,10,10,10,10,10,10,10
,2013,10,10,10,10,10,10,10,10,10,10,10,10
,2014,10,10,10,10,10,10,10,10,10,10,10,10
,2015,10,10,10,10,10,10,0,0,0,0,0,0
,2016,0,0,0,0,0,0,0,0,0,0,0,0
,2017,0,0,0,0,0,0,0,0,0,0,0,0
FWC,1981,0,0,0,0,0,0,0,0,0,0,0,0
,1982,0,0,0,0,0,0,0,0,0,0,0,0
,1983,0,0,0,0,0,0,0,0,0,0,0,0
,1984,0,0,0,0,0,0,0,0,0,0,0,0
,1985,0,0,0,0,0,0,0,0,0,0,0,0
,1986,0,0,0,0,0,0,0,0,0,0,0,0
,1987,0,0,0,0,0,0,0,0,0,0,0,0
,1988,0,0,0,0,0,0,0,0,0,0,0,0
,1989,0,0,0,0,0,0,0,0,0,0,0,0
,1990,0,0,0,0,0,0,0,0,0,0,0,0
,1991,0,0,0,0,0,0,0,0,0,0,0,0
,1992,0,0,0,0,0,0,0,0,0,0,0,0
,1993,0,0,0,0,0,0,0,0,0,0,0,0
,1994,0,0,0,0,0,0,0,0,0,0,0,0
,1995,0,0,0,0,0,0,0,0,0,0,0,0
,1996,0,0,0,0,0,44,42,45,44,44,44,44
,1997,44,44,49,44,54,54,54,54,54,54,54,54
,1998,40,40,40,40,40,40,40,40,40,40,40,40
,1999,46,46,46,46,46,46,46,46,46,46,46,46
,2000,46,46,46,46,46,46,46,46,46,46,46,46
,2001,46,66,66,66,66,66,94,68,66,66,66,66
,2002,66,66,66,66,66,66,97,66,66,66,66,66
,2003,66,66,66,66,66,66,97,66,66,66,66,66
,2004,66,66,66,66,66,66,73,66,66,66,66,66
,2005,66,66,66,66,66,66,66,66,66,66,66,66
,2006,66,66,66,66,66,66,68,66,66,66,66,66
,2007,66,66,66,66,66,66,66,66,66,66,66,66
,2008,66,66,66,66,66,66,66,66,66,66,66,66
,2009,66,66,66,66,66,66,66,66,66,66,66,66
,2010,66,66,66,66,66,66,66,66,66,66,66,66
,2011,66,66,66,66,66,66,66,66,66,66,66,66
,2012,66,66,66,66,66,66,66,66,66,66,66,66
,2013,66,66,66,66,66,66,66,66,66,66,66,66
,2014,66,66,66,66,66,66,66,66,66,66,66,66
,2015,66,66,66,66,66,66,66,66,66,66,66,66
,2016,66,66,66,66,66,66,66,66,66,66,67,66
,2017,66,66,66,66,0,0,0,0,0,0,0,0
