"","Reference","Depth","Beg_end","Temperature","Conductivity","pH","Salinity","DissolvedO2","Flag"
"1","CKM2017010101",0.2,"B",18.8,45.7,7.9,29.7,7.1,NA
"2","CKM2017010101",0.5,"B",18.8,45.7,7.9,29.7,7.1,NA
"3","CKM2017010102",0.2,"B",19,45.5,7.9,29.6,7.1,NA
"4","CKM2017010102",0.4,"B",19,45.6,8,29.6,7.1,NA
"5","CKM2017010103",0.2,"B",19.6,45.5,7.9,29.5,6.3,NA
"6","CKM2017010104",0.2,"B",19.6,45.5,7.8,29.5,6.1,NA
"7","CKM2017010104",0.8,"B",19.6,45.5,7.8,29.6,6.1,NA
"8","CKM2017010105",0.2,"B",20,45.4,7.9,29.5,6.5,NA
"9","CKM2017010105",0.3,"B",20,45.4,7.9,29.5,6.5,NA
"10","CKM2017010106",0.2,"B",19.8,45.6,7.9,29.6,6.9,NA
"11","CKM2017010107",0.2,"B",21,45.6,8,29.7,8.3,NA
"12","CKM2017010108",0.2,"B",20.1,45.5,7.9,29.6,6.6,NA
"13","CKM2017010108",1,"B",20.1,45.5,7.9,29.5,6.6,NA
"14","CKM2017010108",2,"B",20,45.5,7.9,29.6,6.6,NA
"15","CKM2017010108",2.3,"B",19.8,45.6,7.9,29.6,6.6,NA
"16","CKM2017010201",0.2,"B",18.9,47,7.9,30.6,8.2,NA
"17","CKM2017010201",1,"B",18.9,47,7.9,30.7,8,NA
"18","CKM2017010201",2,"B",18.9,47.1,7.9,30.7,8,NA
"19","CKM2017010201",2.5,"B",18.9,47.1,7.9,30.7,7.9,NA
"20","CKM2017010202",0.2,"B",19,45.5,7.9,29.5,7.5,NA
"21","CKM2017010202",1,"B",19,45.5,7.9,29.5,7.4,NA
"22","CKM2017010202",2,"B",19,45.5,7.9,29.5,7.4,NA
"23","CKM2017010202",2.1,"B",19,45.5,7.9,29.5,7.4,NA
"24","CKM2017010203",0.2,"B",19.3,47.8,8,31.2,7.8,NA
"25","CKM2017010203",0.4,"B",19.3,47.8,8,31.2,7.8,NA
"26","CKM2017010204",0.2,"B",19.2,48.6,8,31.8,8,NA
"27","CKM2017010204",0.3,"B",19.2,48.6,8,31.8,8,NA
"28","CKM2017010205",0.2,"B",19,48.4,8,31.6,8,NA
"29","CKM2017010205",1,"B",19,48.4,8,31.6,7.8,NA
"30","CKM2017010205",2,"B",18.9,48.5,7.9,31.7,7.7,NA
"31","CKM2017010205",3,"B",18.6,48.9,7.9,32.1,7.6,NA
"32","CKM2017010205",4,"B",18.5,49.1,7.9,32.2,7.4,NA
"33","CKM2017010205",4.3,"B",18.5,49.1,7.9,32.2,7.4,NA
"34","CKM2017010206",0.2,"B",19.1,49.1,8,32.2,7.8,NA
